State	Species	No.Regions	StrainID	Region
Illinois	Kluyveromyces marxianus	4	yHQL361	Ohio Valley
Illinois	Kluyveromyces marxianus	4	yHKB139	Ohio Valley
Illinois	Kluyveromyces marxianus	4	yHKB88	Ohio Valley
Illinois	Kluyveromyces marxianus	4	yHKB80	Ohio Valley
Mississippi	Kluyveromyces marxianus	4	yHKB317	South
Mississippi	Kluyveromyces marxianus	4	yHKB352	South
Mississippi	Kluyveromyces marxianus	4	yHKB308	South
North Carolina	Kluyveromyces marxianus	4	YHMH60	Southeast
North Carolina	Kluyveromyces marxianus	4	YHMH61	Southeast
North Carolina	Kluyveromyces marxianus	4	YHMH65	Southeast
North Carolina	Kluyveromyces marxianus	4	YHMH69	Southeast
North Carolina	Kluyveromyces marxianus	4	YHMH71	Southeast
Wisconsin	Kluyveromyces marxianus	4	yHKS46	Upper Midwest
Wisconsin	Kluyveromyces marxianus	4	yHRVM187	Upper Midwest
Wisconsin	Kluyveromyces marxianus	4	yHKS43	Upper Midwest
Wisconsin	Kluyveromyces marxianus	4	yHKS42	Upper Midwest
Wisconsin	Kluyveromyces marxianus	4	yHKS108	Upper Midwest
New Hampshire	Kluyveromyces lactis	2	yHKS227	Northeast
New Hampshire	Kluyveromyces lactis	2	yHMJ570	Northeast
New Hampshire	Kluyveromyces lactis	2	yHMJ563	Northeast
New Hampshire	Kluyveromyces lactis	2	yHMJ555	Northeast
New Hampshire	Kluyveromyces lactis	2	yHKS266	Northeast
New Hampshire	Kluyveromyces lactis	2	yHKS219	Northeast
New Hampshire	Kluyveromyces lactis	2	yHMJ556	Northeast
New Hampshire	Kluyveromyces lactis	2	yHKS234	Northeast
New Hampshire	Kluyveromyces lactis	2	yHKS233	Northeast
New Hampshire	Kluyveromyces lactis	2	yHMJ572	Northeast
Illinois	Kluyveromyces lactis	2	yHRVM189	Ohio Valley
Michigan	Kluyveromyces lactis	2	yHKS16	Upper Midwest
Michigan	Kluyveromyces lactis	2	yHKS13	Upper Midwest
Michigan	Kluyveromyces lactis	2	yHKS14	Upper Midwest
Michigan	Kluyveromyces lactis	2	yHRVM54	Upper Midwest
Michigan	Kluyveromyces lactis	2	yHKS1	Upper Midwest
Michigan	Kluyveromyces lactis	2	yHKS12	Upper Midwest
Michigan	Kluyveromyces lactis	2	yHKS6	Upper Midwest
Wisconsin	Kluyveromyces lactis	2	yHKB120	Upper Midwest
Wisconsin	Kluyveromyces lactis	2	yHKS17	Upper Midwest
Wisconsin	Kluyveromyces lactis	2	yHKB70	Upper Midwest
Wisconsin	Kluyveromyces lactis	2	yHKB75	Upper Midwest
Wisconsin	Kluyveromyces lactis	2	yHKB129	Upper Midwest
Wisconsin	Kluyveromyces lactis	2	yHKB63	Upper Midwest
Wisconsin	Kluyveromyces lactis	2	yHRVM273	Upper Midwest
Wisconsin	Kluyveromyces lactis	2	yHKS130	Upper Midwest
Wisconsin	Kluyveromyces lactis	2	yHRVM271	Upper Midwest
Wisconsin	Kluyveromyces lactis	2	yHRVM272	Upper Midwest
Wisconsin	Kluyveromyces lactis	2	YHMH116	Upper Midwest
Wisconsin	Kluyveromyces lactis	2	yHRVM266	Upper Midwest
Wisconsin	Kluyveromyces lactis	2	yHRVM53	Upper Midwest
Wisconsin	Kluyveromyces lactis	2	yHKS591	Upper Midwest
Wisconsin	Kluyveromyces lactis	2	yHKS592	Upper Midwest
Wisconsin	Kluyveromyces lactis	2	yHRVM267	Upper Midwest
Wisconsin	Kluyveromyces lactis	2	yHKS618	Upper Midwest
Wisconsin	Kluyveromyces lactis	2	yHRVM296	Upper Midwest
Wisconsin	Kluyveromyces lactis	2	yHKS615	Upper Midwest
Wisconsin	Kluyveromyces lactis	2	yHKS678	Upper Midwest
