State	StrainID	Species	Region
Wisconsin	yHKS365	Candida boleticola	Upper Midwest
Wisconsin	yHKS607	Candida boleticola	Upper Midwest
Wisconsin	yHKS609	Suhomyces bolitotheri	Upper Midwest
Wisconsin	yHQL133	Suhomyces bolitotheri	Upper Midwest
Wisconsin	yHRVM294	Rhodotorula nothofagi	Upper Midwest
Wisconsin	YHMH121	Rhodotorula nothofagi	Upper Midwest
Wisconsin	yHQL50	Hanseniaspora uvarum	Upper Midwest
Wisconsin	yHKS348	Kluyveromyces dobzhanskii	Upper Midwest
Wisconsin	yHQL688	Metschnikowia pulcherrima sp. complex	Upper Midwest
Wisconsin	yHQL690	Metschnikowia pulcherrima sp. complex	Upper Midwest
Wisconsin	yHQL691	Metschnikowia pulcherrima sp. complex	Upper Midwest
Wisconsin	yHRM 1	Metschnikowia pulcherrima sp. complex	Upper Midwest
Wisconsin	yHRM4	Metschnikowia pulcherrima sp. complex	Upper Midwest
Wisconsin	yHKS27	Tausonia pullulans	Upper Midwest
Wisconsin	yHQL76	Hanseniaspora uvarum	Upper Midwest
Wisconsin	yHQL87	Hanseniaspora uvarum	Upper Midwest
Wisconsin	yHQL88	Hanseniaspora uvarum	Upper Midwest
Wisconsin	yHKS606	Tausonia pullulans	Upper Midwest
Wisconsin	yHRM24	Cystofilobasidium capitatum	Upper Midwest
Wisconsin	yHRVM15	Candida glabrata	Upper Midwest
Wisconsin	yHQL94	Hanseniaspora uvarum	Upper Midwest
Wisconsin	yHRM67	Candida inconspicua	Upper Midwest
Wisconsin	yHRM77	Candida inconspicua	Upper Midwest
Wisconsin	yHRM36	Cystofilobasidium capitatum	Upper Midwest
Wisconsin	yHRM37	Cystofilobasidium capitatum	Upper Midwest
Wisconsin	yHRM39	Cystofilobasidium capitatum	Upper Midwest
Wisconsin	yHKS681	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHRVM8	Hanseniaspora uvarum	Upper Midwest
Wisconsin	yHKS616	Metschnikowia sp.	Upper Midwest
Wisconsin	yHKB379	Teunomyces cretensis/kruisii complex	Upper Midwest
Wisconsin	yHKB83	Teunomyces cretensis/kruisii complex	Upper Midwest
Wisconsin	yHKS231	Metschnikowia viticola	Upper Midwest
Wisconsin	yHKS3	Hanseniaspora vineae	Upper Midwest
Wisconsin	YHMH85	Cystofilobasidium capitatum	Upper Midwest
Wisconsin	yHKS329	Hanseniaspora vineae	Upper Midwest
Wisconsin	yHKS330	Hanseniaspora vineae	Upper Midwest
Wisconsin	yHKS347	Hanseniaspora vineae	Upper Midwest
Wisconsin	yHKS361	Hanseniaspora vineae	Upper Midwest
Wisconsin	yHKS273	Candida norvegica	Upper Midwest
Wisconsin	yHKS383	Candida norvegica	Upper Midwest
Wisconsin	yHRVM63	Candida sake	Upper Midwest
Wisconsin	yHQL676	Candida norvegica	Upper Midwest
Wisconsin	yHKS571	Hanseniaspora vineae	Upper Midwest
Wisconsin	yHKS318	Meyerozyma caribbica	Upper Midwest
Wisconsin	yHQL186	Hanseniaspora vineae	Upper Midwest
Wisconsin	yHQL188	Hanseniaspora vineae	Upper Midwest
Wisconsin	yHQL255	Hanseniaspora vineae	Upper Midwest
Wisconsin	yHKB415	Candida pseudoglaebosa	Upper Midwest
Wisconsin	yHKB417	Candida pseudoglaebosa	Upper Midwest
Wisconsin	yHKB419	Candida pseudoglaebosa	Upper Midwest
Wisconsin	yHQL65	Hanseniaspora vineae	Upper Midwest
Wisconsin	yHQL66	Hanseniaspora vineae	Upper Midwest
Wisconsin	yHQL82	Hanseniaspora vineae	Upper Midwest
Wisconsin	yHRM63	Hanseniaspora vineae	Upper Midwest
Wisconsin	yHKS310	Candida pseudolambica	Upper Midwest
Wisconsin	yHKS47	Candida pseudolambica	Upper Midwest
Wisconsin	yHQL234	Meyerozyma guilliermondii	Upper Midwest
Wisconsin	yHQL92	Candida sorboxylosa	Upper Midwest
Wisconsin	yHKS124	Holtermanniella takashimae	Upper Midwest
Wisconsin	yHRVM267	Kluyveromyces lactis	Upper Midwest
Wisconsin	yHRVM271	Kluyveromyces lactis	Upper Midwest
Wisconsin	yHRM13	Kazachstania aerobia	Upper Midwest
Wisconsin	yHKS131	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKB110	Candida railenensis	Upper Midwest
Wisconsin	yHKB111	Candida railenensis	Upper Midwest
Wisconsin	yHKS136	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKB132	Candida railenensis	Upper Midwest
Wisconsin	yHKB165	Candida railenensis	Upper Midwest
Wisconsin	yHKB166	Candida railenensis	Upper Midwest
Wisconsin	yHKB109	Kazachstania martiniae	Upper Midwest
Wisconsin	yHKB126	Kazachstania martiniae	Upper Midwest
Wisconsin	yHKB140	Kazachstania martiniae	Upper Midwest
Wisconsin	yHKB402	Candida railenensis	Upper Midwest
Wisconsin	yHRVM275	Nakazawaea anatomiae/populi sp. complex	Upper Midwest
Wisconsin	yHKS43	Kluyveromyces marxianus	Upper Midwest
Wisconsin	yHKS46	Kluyveromyces marxianus	Upper Midwest
Wisconsin	yHKB38	Kazachstania martiniae	Upper Midwest
Wisconsin	yHKS200	Candida railenensis	Upper Midwest
Wisconsin	yHKS201	Candida railenensis	Upper Midwest
Wisconsin	yHKS203	Candida railenensis	Upper Midwest
Wisconsin	yHKS205	Candida railenensis	Upper Midwest
Wisconsin	yHKS322	Nakazawaea holstii	Upper Midwest
Wisconsin	yHKS279	Candida railenensis	Upper Midwest
Wisconsin	yHKS354	Candida railenensis	Upper Midwest
Wisconsin	yHKS366	Candida railenensis	Upper Midwest
Wisconsin	yHKS368	Candida railenensis	Upper Midwest
Wisconsin	yHKS353	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKS597	Candida railenensis	Upper Midwest
Wisconsin	yHKS121	Cystofilobasidium capitatum	Upper Midwest
Wisconsin	yHKS611	Candida railenensis	Upper Midwest
Wisconsin	yHKS621	Candida railenensis	Upper Midwest
Wisconsin	yHKS696	Candida railenensis	Upper Midwest
Wisconsin	YHMH124	Cyberlindnera misumaiensis	Upper Midwest
Wisconsin	YHMH95	Candida railenensis	Upper Midwest
Wisconsin	yHKS45	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKS48	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKS679	Nakazawaea molendini-olei	Upper Midwest
Wisconsin	yHKS143	Lachancea fermentati	Upper Midwest
Wisconsin	yHKS118	Mrakia blollopis	Upper Midwest
Wisconsin	yHKS572	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKS236	Ogataea naganishii	Upper Midwest
Wisconsin	yHKS575	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKS580	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHRM8	Candida railenensis	Upper Midwest
Wisconsin	yHQL679	Ogataea zsoltii	Upper Midwest
Wisconsin	yHRVM312	Candida railenensis	Upper Midwest
Wisconsin	yHKS601	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKS595	Cyberlindnera saturnus	Upper Midwest
Wisconsin	yHKS685	Cyberlindnera saturnus	Upper Midwest
Wisconsin	yHKS688	Torulaspora delbrueckii	Upper Midwest
Wisconsin	YHMH82	Pichia fermentans	Upper Midwest
Wisconsin	yHQL163	Pichia fermentans	Upper Midwest
Wisconsin	yHKS709	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKS710	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHQL67	Pichia fermentans	Upper Midwest
Wisconsin	yHQL68	Pichia fermentans	Upper Midwest
Wisconsin	yHQL683	Pichia fermentans	Upper Midwest
Wisconsin	yHQL687	Pichia fermentans	Upper Midwest
Wisconsin	yHQL245	Cyberlindnera saturnus	Upper Midwest
Wisconsin	yHKS83	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHQL84	Pichia fermentans	Upper Midwest
Wisconsin	yHQL98	Pichia fermentans	Upper Midwest
Wisconsin	yHQL677	Pichia fermentans	Upper Midwest
Wisconsin	yHKB431	Candida sake	Upper Midwest
Wisconsin	YHMH111	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKB142	Kluyveromyces dobzhanskii	Upper Midwest
Wisconsin	yHKS308	Kluyveromyces dobzhanskii	Upper Midwest
Wisconsin	yHKS213	Candida sake	Upper Midwest
Wisconsin	yHKS96	Lachancea kluyveri	Upper Midwest
Wisconsin	yHKS416	Candida sake	Upper Midwest
Wisconsin	yHKS367	Kluyveromyces dobzhanskii	Upper Midwest
Wisconsin	yHKS374	Kluyveromyces dobzhanskii	Upper Midwest
Wisconsin	yHKS378	Kluyveromyces dobzhanskii	Upper Midwest
Wisconsin	yHKS379	Kluyveromyces dobzhanskii	Upper Midwest
Wisconsin	yHKS384	Kluyveromyces dobzhanskii	Upper Midwest
Wisconsin	yHKS385	Kluyveromyces dobzhanskii	Upper Midwest
Wisconsin	yHKS392	Kluyveromyces dobzhanskii	Upper Midwest
Wisconsin	yHKS396	Kluyveromyces dobzhanskii	Upper Midwest
Wisconsin	yHKS684	Candida sake	Upper Midwest
Wisconsin	yHKS690	Candida sake	Upper Midwest
Wisconsin	yHKS692	Candida sake	Upper Midwest
Wisconsin	yHKS693	Candida sake	Upper Midwest
Wisconsin	yHKS703	Candida sake	Upper Midwest
Wisconsin	yHKS708	Candida sake	Upper Midwest
Wisconsin	YHMH100	Kluyveromyces dobzhanskii	Upper Midwest
Wisconsin	yHKS779	Candida sake	Upper Midwest
Wisconsin	YHMH98	Kluyveromyces dobzhanskii	Upper Midwest
Wisconsin	yHRVM59	Hanseniaspora uvarum	Upper Midwest
Wisconsin	yHKB127	Teunomyces cretensis/kruisii complex	Upper Midwest
Wisconsin	yHKB120	Kluyveromyces lactis	Upper Midwest
Wisconsin	yHKB129	Kluyveromyces lactis	Upper Midwest
Wisconsin	yHKB63	Kluyveromyces lactis	Upper Midwest
Wisconsin	yHKB70	Kluyveromyces lactis	Upper Midwest
Wisconsin	yHKB75	Kluyveromyces lactis	Upper Midwest
Wisconsin	yHKS325	Hanseniaspora vineae	Upper Midwest
Wisconsin	yHRVM5	Pichia manshurica	Upper Midwest
Wisconsin	yHRVM18	Pichia manshurica	Upper Midwest
Wisconsin	yHKS130	Kluyveromyces lactis	Upper Midwest
Wisconsin	yHRVM50	Candida sake	Upper Midwest
Wisconsin	yHRVM56	Candida sake	Upper Midwest
Wisconsin	yHRVM61	Candida sake	Upper Midwest
Wisconsin	yHKS218	Cryptococcus sp.	Upper Midwest
Wisconsin	yHKS598	Pichia membranifaciens	Upper Midwest
Wisconsin	yHKS619	Pichia membranifaciens	Upper Midwest
Wisconsin	yHQL680	Pichia membranifaciens	Upper Midwest
Wisconsin	yHQL682	Pichia membranifaciens	Upper Midwest
Wisconsin	yHKS591	Kluyveromyces lactis	Upper Midwest
Wisconsin	yHKS592	Kluyveromyces lactis	Upper Midwest
Wisconsin	yHKB194	Cryptococcus victoriae	Upper Midwest
Wisconsin	yHKS615	Kluyveromyces lactis	Upper Midwest
Wisconsin	yHKS618	Kluyveromyces lactis	Upper Midwest
Wisconsin	yHKS678	Kluyveromyces lactis	Upper Midwest
Wisconsin	YHMH116	Kluyveromyces lactis	Upper Midwest
Wisconsin	yHRVM280	Mrakia gelida	Upper Midwest
Wisconsin	yHRVM281	Mrakia gelida	Upper Midwest
Wisconsin	yHQL233	Pichia sp.	Upper Midwest
Wisconsin	yHQL129	Pichia sporocuriosa	Upper Midwest
Wisconsin	yHQL239	Vanrija humicola	Upper Midwest
Wisconsin	yHQL264	Goffeauzyma gastrica	Upper Midwest
Wisconsin	yHRVM266	Kluyveromyces lactis	Upper Midwest
Wisconsin	yHKS278	Mrakia sp.	Upper Midwest
Wisconsin	yHKB115	Saccharomyces paradoxus	Upper Midwest
Wisconsin	yHKS315	Candida sp.	Upper Midwest
Wisconsin	yHRVM273	Kluyveromyces lactis	Upper Midwest
Wisconsin	yHRVM296	Kluyveromyces lactis	Upper Midwest
Wisconsin	yHRVM53	Kluyveromyces lactis	Upper Midwest
Wisconsin	yHKS676	Candida sp.	Upper Midwest
Wisconsin	yHKS417	Curvibasidium cygneicollum	Upper Midwest
Wisconsin	yHRVM200	Papiliotrema flavescens	Upper Midwest
Wisconsin	yHKS138	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHQL207	Torulaspora microellipsoides	Upper Midwest
Wisconsin	yHQL220	Torulaspora microellipsoides	Upper Midwest
Wisconsin	yHKS577	Candida subhashii	Upper Midwest
Wisconsin	yHKS108	Kluyveromyces marxianus	Upper Midwest
Wisconsin	yHKS42	Kluyveromyces marxianus	Upper Midwest
Wisconsin	yHKB160	Leucosporidium drummii	Upper Midwest
Wisconsin	yHRVM211	Pueraria montana	Upper Midwest
Wisconsin	yHQL236	Cyberlindnera saturnus	Upper Midwest
Wisconsin	yHRVM127	Saccharomyces cerevisiae	Upper Midwest
Wisconsin	yHRVM128	Saccharomyces cerevisiae	Upper Midwest
Wisconsin	yHKB157	Mrakia sp.	Upper Midwest
Wisconsin	yHRM19	Candida xestobii	Upper Midwest
Wisconsin	yHRM41	Candida xestobii	Upper Midwest
Wisconsin	yHRVM187	Kluyveromyces marxianus	Upper Midwest
Wisconsin	yHRVM223	Saccharomyces cerevisiae	Upper Midwest
Wisconsin	yHKB101	Cyberlindnera culbertsonii	Upper Midwest
Wisconsin	yHQL224	Wickerhamomyces anomalus	Upper Midwest
Wisconsin	yHQL262	Wickerhamomyces anomalus	Upper Midwest
Wisconsin	yHKB173	Mrakia blollopis	Upper Midwest
Wisconsin	yHKS600	Candida railenensis	Upper Midwest
Wisconsin	yHKS210	Saccharomyces eubayanus	Upper Midwest
Wisconsin	yHKB76	Cyberlindnera japonica	Upper Midwest
Wisconsin	yHKB416	Cyberlindnera misumaiensis	Upper Midwest
Wisconsin	yHKS199	Cystofilobasidium capitatum	Upper Midwest
Wisconsin	yHKS327	Kuraishia ogatae	Upper Midwest
Wisconsin	yHKS689	Saccharomyces eubayanus	Upper Midwest
Wisconsin	yHKS694	Saccharomyces eubayanus	Upper Midwest
Wisconsin	yHKS578	Wickerhamomyces hampsirensis	Upper Midwest
Wisconsin	yHKS80	Metschnikowia pulcherrima sp. complex	Upper Midwest
Wisconsin	yHKS2	Lachancea fermentati	Upper Midwest
Wisconsin	yHQL689	Saccharomyces paradoxus	Upper Midwest
Wisconsin	yHRM69	Saccharomyces paradoxus	Upper Midwest
Wisconsin	yHKB128	Saccharomyces paradoxus	Upper Midwest
Wisconsin	yHKS10	Saccharomyces paradoxus	Upper Midwest
Wisconsin	YHMH87	Metschnikowia pulcherrima sp. complex	Upper Midwest
Wisconsin	yHQL201	Lachancea fermentati	Upper Midwest
Wisconsin	yHQL227	Lachancea fermentati	Upper Midwest
Wisconsin	yHKS594	Cyberlindnera saturnus	Upper Midwest
Wisconsin	yHRM22	Mrakia frigida	Upper Midwest
Wisconsin	yHRM32	Mrakia frigida	Upper Midwest
Wisconsin	yHRM47	Mrakia frigida	Upper Midwest
Wisconsin	yHKS377	Mrakia sp.	Upper Midwest
Wisconsin	yHQL199	Cyberlindnera saturnus	Upper Midwest
Wisconsin	yHQL205	Cyberlindnera saturnus	Upper Midwest
Wisconsin	yHQL208	Cyberlindnera saturnus	Upper Midwest
Wisconsin	yHQL217	Cyberlindnera saturnus	Upper Midwest
Wisconsin	yHQL218	Cyberlindnera saturnus	Upper Midwest
Wisconsin	yHQL278	Trichosporon porosum	Upper Midwest
Wisconsin	yHQL241	Cyberlindnera saturnus	Upper Midwest
Wisconsin	yHKB180	Mrakia gelida	Upper Midwest
Wisconsin	yHQL272	Cyberlindnera saturnus	Upper Midwest
Wisconsin	yHQL279	Cyberlindnera saturnus	Upper Midwest
Wisconsin	YHMH125	Cryptococcus carnescens	Upper Midwest
Wisconsin	yHKS309	Lachancea kluyveri	Upper Midwest
Wisconsin	yHKS82	Lachancea kluyveri	Upper Midwest
Wisconsin	yHKS84	Lachancea kluyveri	Upper Midwest
Wisconsin	yHKS85	Lachancea kluyveri	Upper Midwest
Wisconsin	yHKS86	Lachancea kluyveri	Upper Midwest
Wisconsin	yHKS88	Lachancea kluyveri	Upper Midwest
Wisconsin	yHKS346	Kluyveromyces dobzhanskii	Upper Midwest
Wisconsin	yHQL231	Saccharomyces paradoxus	Upper Midwest
Wisconsin	yHQL237	Saccharomyces paradoxus	Upper Midwest
Wisconsin	yHQL173	Pichia kluyveri	Upper Midwest
Wisconsin	yHQL131	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHQL219	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHQL681	Lachancea kluyveri	Upper Midwest
Wisconsin	yHRM2	Lachancea kluyveri	Upper Midwest
Wisconsin	yHRM43	Lachancea kluyveri	Upper Midwest
Wisconsin	yHQL675	Saccharomyces paradoxus	Upper Midwest
Wisconsin	yHKS614	Lachancea lanzarotensis	Upper Midwest
Wisconsin	yHKS686	Scheffersomyces ergatensis	Upper Midwest
Wisconsin	yHKS617	Sugiyamaella lignohabitans	Upper Midwest
Wisconsin	yHRM71	Saccharomyces paradoxus	Upper Midwest
Wisconsin	yHRM73	Saccharomyces paradoxus	Upper Midwest
Wisconsin	yHKB107	Cyberlindnera veronae	Upper Midwest
Wisconsin	yHKB170	Cyberlindnera veronae	Upper Midwest
Wisconsin	yHKS323	Lachancea quebecensis	Upper Midwest
Wisconsin	yHKS95	Cyberlindnera veronae	Upper Midwest
Wisconsin	YHMH99	Kluyveromyces dobzhanskii	Upper Midwest
Wisconsin	yHKS137	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKB168	Teunomyces cretensis/kruisii complex	Upper Midwest
Wisconsin	yHKB174	Teunomyces cretensis/kruisii complex	Upper Midwest
Wisconsin	yHKB103	Trichosporon moniliiforme	Upper Midwest
Wisconsin	yHQL286	Trichosporon porosum	Upper Midwest
Wisconsin	yHKS11	Lachancea thermotolerans	Upper Midwest
Wisconsin	yHKS623	Debaryomyces hansenii	Upper Midwest
Wisconsin	yHKS624	Debaryomyces hansenii	Upper Midwest
Wisconsin	YHMH119	Rhodotorula nothofagi	Upper Midwest
Wisconsin	YHMH120	Rhodotorula nothofagi	Upper Midwest
Wisconsin	yHKS324	Scheffersomyces cyptocercus	Upper Midwest
Wisconsin	yHKS677	Lachancea thermotolerans	Upper Midwest
Wisconsin	yHKS701	Scheffersomyces cyptocercus	Upper Midwest
Wisconsin	yHKS386	Hanseniaspora vineae	Upper Midwest
Wisconsin	yHKS415	Hanseniaspora vineae	Upper Midwest
Wisconsin	yHRM16	Cryptococcus sp.	Upper Midwest
Wisconsin	yHKS372	Scheffersomyces ergatensis	Upper Midwest
Wisconsin	yHKS389	Scheffersomyces ergatensis	Upper Midwest
Wisconsin	yHKS395	Cryptococcus surugaensis	Upper Midwest
Wisconsin	yHKS394	Scheffersomyces ergatensis	Upper Midwest
Wisconsin	yHQL215	Vanrija albida	Upper Midwest
Wisconsin	yHKS122	Mrakiella aquatica	Upper Midwest
Wisconsin	yHQL172	Cryptococcus victoriae	Upper Midwest
Wisconsin	yHKS370	Hanseniaspora osmophila	Upper Midwest
Wisconsin	yHRM18	Meyerozyma caribbica	Upper Midwest
Wisconsin	yHQL251	Lachancea thermotolerans	Upper Midwest
Wisconsin	yHKS301	Cryptococcus wisconsinensis	Upper Midwest
Wisconsin	yHRM6	Meyerozyma caribbica	Upper Midwest
Wisconsin	yHRM7	Meyerozyma caribbica	Upper Midwest
Wisconsin	yHKS78	Metschnikowia pulcherrima sp. complex	Upper Midwest
Wisconsin	yHKS274	Mrakia sp.	Upper Midwest
Wisconsin	yHKS87	Metschnikowia pulcherrima sp. complex	Upper Midwest
Wisconsin	yHKS373	Mrakia gelida	Upper Midwest
Wisconsin	yHKS270	Cystofilobasidium capitatum	Upper Midwest
Wisconsin	yHKS271	Cystofilobasidium capitatum	Upper Midwest
Wisconsin	yHKS604	Scheffersomyces shehatae	Upper Midwest
Wisconsin	yHKS68	Mrakia frigida	Upper Midwest
Wisconsin	yHKS133	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKS704	Scheffersomyces shehatae	Upper Midwest
Wisconsin	yHKB135	Kwoniella heveanensis	Upper Midwest
Wisconsin	yHQL230	Lachancea fermentati	Upper Midwest
Wisconsin	yHRM72	Lachancea fermentati	Upper Midwest
Wisconsin	yHKB100	Kazachstania martiniae	Upper Midwest
Wisconsin	yHKS144	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHQL206	Lachancea waltii	Upper Midwest
Wisconsin	yHKS76	Cystofilobasidium capitatum	Upper Midwest
Wisconsin	yHKB98	Teunomyces cretensis/kruisii complex	Upper Midwest
Wisconsin	YHMH108	Rhodotorula nothofagi	Upper Midwest
Wisconsin	yHQL274	Trichosporon porosum	Upper Midwest
Wisconsin	yHKS390	Saturnispora dispora	Upper Midwest
Wisconsin	YHMH92	Rhodotorula nothofagi	Upper Midwest
Wisconsin	yHKS307	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKS109	Metschnikowia pulcherrima sp. complex	Upper Midwest
Wisconsin	yHKS111	Metschnikowia pulcherrima sp. complex	Upper Midwest
Wisconsin	yHKB74	Kazachstania martiniae	Upper Midwest
Wisconsin	yHKS19	Metschnikowia pulcherrima sp. complex	Upper Midwest
Wisconsin	yHKS393	Nakazawaea holstii	Upper Midwest
Wisconsin	yHKS350	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKS706	Nakazawaea holstii	Upper Midwest
Wisconsin	yHKS352	Torulaspora delbrueckii	Upper Midwest
Wisconsin	YHMH113	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKS37	Metschnikowia pulcherrima sp. complex	Upper Midwest
Wisconsin	yHRM38	Rhodotorula fujisanensis	Upper Midwest
Wisconsin	yHKS360	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKS375	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKS388	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKS418	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKS44	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKS204	Cystofilobasidium capitatum	Upper Midwest
Wisconsin	yHRM65	Metschnikowia pulcherrima sp. complex	Upper Midwest
Wisconsin	yHRVM138	Metschnikowia pulcherrima sp. complex	Upper Midwest
Wisconsin	yHKS605	Tausonia pullulans	Upper Midwest
Wisconsin	yHKS276	Mrakia sp.	Upper Midwest
Wisconsin	yHKS277	Mrakia sp.	Upper Midwest
Wisconsin	yHRM30	Cystofilobasidium capitatum	Upper Midwest
Wisconsin	yHQL189	Hanseniaspora uvarum	Upper Midwest
Wisconsin	yHRM33	Cystofilobasidium capitatum	Upper Midwest
Wisconsin	yHQL192	Hanseniaspora uvarum	Upper Midwest
Wisconsin	yHKS583	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKS599	Torulaspora delbrueckii	Upper Midwest
Wisconsin	YHMH91	Mrakia gelida	Upper Midwest
Wisconsin	yHRVM157	Saccharomyces paradoxus	Upper Midwest
Wisconsin	yHRM42	Cystofilobasidium capitatum	Upper Midwest
Wisconsin	yHRM44	Cystofilobasidium capitatum	Upper Midwest
Wisconsin	yHKS75	Cystofilobasidium capitatum	Upper Midwest
Wisconsin	yHQL114	Pichia manshurica	Upper Midwest
Wisconsin	yHKS705	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHQL213	Trichosporon porosum	Upper Midwest
Wisconsin	yHKB153	Mrakia gelida	Upper Midwest
Wisconsin	yHKS711	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKS713	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKS105	Lachancea kluyveri	Upper Midwest
Wisconsin	yHKS135	Lachancea kluyveri	Upper Midwest
Wisconsin	yHKS316	Suhomyces bolitotheri	Upper Midwest
Wisconsin	yHQL40	Hanseniaspora uvarum	Upper Midwest
Wisconsin	yHKS380	Suhomyces bolitotheri	Upper Midwest
Wisconsin	yHKS381	Suhomyces bolitotheri	Upper Midwest
Wisconsin	yHRM9	Rhodotorula nothofagi	Upper Midwest
Wisconsin	yHRVM259	Rhodotorula nothofagi	Upper Midwest
Wisconsin	YHMH112	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHQL684	Pichia membranifaciens	Upper Midwest
Wisconsin	YHMH117	Saccharomyces paradoxus	Upper Midwest
Wisconsin	yHQL162	Pichia kluyveri	Upper Midwest
Wisconsin	yHKS358	Kluyveromyces dobzhanskii	Upper Midwest
Wisconsin	yHQL171	Pichia kluyveri	Upper Midwest
Wisconsin	yHKS119	Mrakia gelida	Upper Midwest
Wisconsin	yHRM20	Meyerozyma caribbica	Upper Midwest
Wisconsin	yHQL225	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHQL228	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHQL235	Fibulobasidium inconspicuum	Upper Midwest
Wisconsin	yHKS356	Wickerhamomyces hampshirensis	Upper Midwest
Wisconsin	yHKS206	Cystofilobasidium capitatum	Upper Midwest
Wisconsin	yHQL191	Pichia kudriavzevii	Upper Midwest
Wisconsin	yHKS35	Mrakia gelida	Upper Midwest
Wisconsin	yHKS26	Cystofilobasidium capitatum	Upper Midwest
Wisconsin	yHRVM7	Metschnikowia pulcherrima sp. complex	Upper Midwest
Wisconsin	yHKS110	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHRM17	Hanseniaspora uvarum	Upper Midwest
Wisconsin	yHQL45	Pichia kudriavzevii	Upper Midwest
Wisconsin	YHMH97	Kluyveromyces dobzhanskii	Upper Midwest
Wisconsin	yHRVM43	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKS387	Cystofilobasidium capitatum	Upper Midwest
Wisconsin	yHKS700	Yamadazyma mexicana	Upper Midwest
Wisconsin	YHMH123	Mrakia gelida	Upper Midwest
Wisconsin	yHRM46	Cystofilobasidium capitatum	Upper Midwest
Wisconsin	yHKS217	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKS77	Cystofilobasidium infirmominatum	Upper Midwest
Wisconsin	yHKS382	Mrakia sp.	Upper Midwest
Wisconsin	yHQL85	Pichia manshurica	Upper Midwest
Wisconsin	yHRVM201	Candida sake	Upper Midwest
Wisconsin	yHQL216	Cryptococcus pseudolongus	Upper Midwest
Wisconsin	yHKB113	Trichosporon porosum	Upper Midwest
Wisconsin	yHRVM197	Cystofilobasidium capitatum	Upper Midwest
Wisconsin	yHKS371	Hanseniaspora vineae	Upper Midwest
Wisconsin	yHKS17	Kluyveromyces lactis	Upper Midwest
Wisconsin	yHKS581	Pichia membranifaciens	Upper Midwest
Wisconsin	yHKS430	Hanseniaspora vineae	Upper Midwest
Wisconsin	yHKS314	Meyerozyma caribbica	Upper Midwest
Wisconsin	yHKS36	Cystofilobasidium infirmominatum	Upper Midwest
Wisconsin	yHKS272	Mrakia sp.	Upper Midwest
Wisconsin	yHKS351	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHQL685	Pichia membranifaciens	Upper Midwest
Wisconsin	yHQL276	Hanseniaspora vineae	Upper Midwest
Wisconsin	yHRM14	Meyerozyma caribbica	Upper Midwest
Wisconsin	yHQL63	Hanseniaspora vineae	Upper Midwest
Wisconsin	yHRM66	Torulaspora delbrueckii	Upper Midwest
Wisconsin	yHKS212	Saccharomyces eubayanus	Upper Midwest
Wisconsin	yHRM21	Meyerozyma caribbica	Upper Midwest
Wisconsin	yHQL226	Vanrija humicola	Upper Midwest
Wisconsin	yHQL257	Mrakia blollopis	Upper Midwest
Wisconsin	yHQL113	Pichia kudriavzevii	Upper Midwest
Wisconsin	yHQL130	Pichia kudriavzevii	Upper Midwest
Wisconsin	yHKS698	Torulaspora delbrueckii	Upper Midwest
