StrainID	Species_Old	Genus_Old	Phylum	GPS	Lat	Long	Associated	General	Specific	Fruits	Fruit.Family	Fruit.Type	Rotting	Plant.Genus	Plant.Species	Common.Name	Other.Associations	Notes	Set	Morpho	SetID	IsoTemp	Specific.Location	State	Collected.By	X	X.1	Species	Subphylum	Genus	gluc_percent
yHAB251	Mrakia sp.	Mrakia	Basidiomycota	45.717810, -86.669512	45.71781	-86.669512	Tree	Soil	Soil	NA	NA	NA	NA	Betula	Betula papyrifera	White Birch	NA	NA	3.4	b	YHAB_3.4	10	Fayette, MI	Michigan	ABH/CTH	TRUE	yHAB251	Mrakia sp.	Basidiomycota	Mrakia	NA
yHAB252	Mrakia sp.	Mrakia	Basidiomycota	45.717810, -86.669512	45.71781	-86.669512	Tree	Soil	Soil	NA	NA	NA	NA	Thuja	Thuja plicata	Pacific Redcedar	NA	NA	3.5	a	YHAB_3.5	10	Fayette, MI	Michigan	ABH/CTH	TRUE	yHAB252	Mrakia sp.	Basidiomycota	Mrakia	NA
yHAB253	Mrakia sp.	Mrakia	Basidiomycota	45.717810, -86.669512	45.71781	-86.669512	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	3.7	a	YHAB_3.7	10	Fayette, MI	Michigan	ABH/CTH	TRUE	yHAB253	Mrakia sp.	Basidiomycota	Mrakia	NA
yHAB254	Mrakia sp.	Mrakia	Basidiomycota	45.717810, -86.669512	45.71781	-86.669512	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	3.7	c	YHAB_3.7	10	Fayette, MI	Michigan	ABH/CTH	TRUE	yHAB254	Mrakia sp.	Basidiomycota	Mrakia	NA
yHAB255	Mrakia gelida	Mrakia	Basidiomycota	45.717810, -86.669512	45.71781	-86.669512	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	3.8	a	YHAB_3.8	10	Fayette, MI	Michigan	ABH/CTH	TRUE	yHAB255	Mrakia gelida	Basidiomycota	Mrakia	NA
yHAB256	Candida sake	Candida	Ascomycota	45.717810, -86.669512	45.71781	-86.669512	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	3.8	b	YHAB_3.8	10	Fayette, MI	Michigan	ABH/CTH	TRUE	yHAB256	Candida sake	Saccharomycotina	Candida	NA
yHAB257	Mrakia sp.	Mrakia	Basidiomycota	45.948334, -86.243976	45.948334	-86.243976	Soil	Sand	Sand	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.9	a	YHAB_3.9	10	Manistique, MI Boardwalk	Michigan	ABH/CTH	TRUE	yHAB257	Mrakia sp.	Basidiomycota	Mrakia	NA
yHAB258	Leucosporidiella creatinivora	Leucosporidiella	Basidiomycota	45.948334, -86.243976	45.948334	-86.243976	Soil	Sand	Sand	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.1	a	YHAB_3.1	10	Manistique, MI Boardwalk	Michigan	ABH/CTH	TRUE	yHAB258	Leucosporidium creatinivora	Basidiomycota	Leucosporidium	NA
yHAB259	Rhodotorula sp.	Rhodotorula	Basidiomycota	45.948334, -86.243976	45.948334	-86.243976	Soil	Sand	Sand	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.1	b	YHAB_3.1	10	Manistique, MI Boardwalk	Michigan	ABH/CTH	TRUE	yHAB259	Rhodotorula babjevae	Basidiomycota	Rhodotorula	NA
yHAB260	Rhodotorula babjevae	Rhodotorula	Basidiomycota	45.948334, -86.243976	45.948334	-86.243976	Miscellaneous	Miscellaneous	Wood	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.11	a	YHAB_3.11	10	Manistique, MI, Boardwoalk	Michigan	ABH/CTH	TRUE	yHAB260	Rhodotorula babjevae	Basidiomycota	Rhodotorula	NA
yHAB261	Rhodotorula araqucariae	Rhodotorula	Basidiomycota	45.948334, -86.243976	45.948334	-86.243976	Miscellaneous	Miscellaneous	Sawdust	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.13	a	YHAB_3.13	10	Manistique, MI Boardwalk	Michigan	ABH/CTH	TRUE	yHAB261	Rhodotorula araqucariae	Basidiomycota	Rhodotorula	NA
yHAB262	Zygosaccharomyces florentinus	Zygosaccharomyces	Ascomycota	45.717810, -86.669512	45.71781	-86.669512	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	3.7	b	YHAB_3.7	10	Fayette, MI	Michigan	ABH/CTH	TRUE	yHAB262	Zygosaccharomyces florentinus	Saccharomycotina	Zygosaccharomyces	NA
yHAB263	Rhodotorula fujisanensis	Rhodotorula	Basidiomycota	46.603602, -85.206239	46.603602	-85.206239	Tree	Plant Matter	Pine Cone	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.12	a	YHAB_2.12	10	Tahquamenon Falls, MI, lower falls - Island	Michigan	ABH/CTH	TRUE	yHAB263	Rhodotorula fujisanensis	Basidiomycota	Rhodotorula	NA
yHAB264	Mrakia sp.	Mrakia	Basidiomycota	46.601361, -85.190790	46.601361	-85.19079	Tree	Soil	Soil	NA	NA	NA	NA	Betula	Betula alleghaniensis	Yellow Birch	NA	NA	1.13	a	YHAB_1.13	10	Tahquamenon Falls, MI, Upper Falls	Michigan	ABH/CTH	TRUE	yHAB264	Mrakia sp.	Basidiomycota	Mrakia	NA
yHAGB10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHAGB11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHAGB12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHAGB13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHAGB14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHAGB15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHAGB16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHAGB17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHAGB19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHAGB22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHAGB23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHAGB24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHAGB26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHAGB27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHAGB29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHAGB3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHAGB30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHAGB31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHAGB33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
