StrainID	Species_Old	Genus_Old	Phylum	GPS	Lat	Long	Associated	General	Specific	Fruits	Fruit.Family	Fruit.Type	Rotting	Plant.Genus	Plant.Species	Common.Name	Other.Associations	Notes	Set	Morpho	SetID	IsoTemp	Specific.Location	State	Collected.By	X	X.1	Species	Subphylum	Genus	gluc_percent
yHAB226	Hanseniaspora uvarum	Hanseniaspora	Ascomycota	46.601361, -85.190790	46.601361	-85.19079	Tree	Plant Matter	Fruit	Raspberry	Rosaceae	Drupe	NA	Rubus	Rubus sp.	Raspberry	NA	NA	1.1	b	YHAB_1.1	10	Tahquamenon Falls, MI, Upper Falls	Michigan	ABH/CTH	TRUE	yHAB226	Hanseniaspora uvarum	Saccharomycotina	Hanseniaspora	NA
yHAB227	Mrakia sp.	Mrakia	Basidiomycota	46.601361, -85.190790	46.601361	-85.19079	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	1.11	a	YHAB_1.11	10	Tahquamenon Falls, MI, Upper Falls	Michigan	ABH/CTH	TRUE	yHAB227	Mrakia sp.	Basidiomycota	Mrakia	NA
yHAB228	Mrakia sp.	Mrakia	Basidiomycota	46.601361, -85.190790	46.601361	-85.19079	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	1.14	a	YHAB_1.14	10	Tahquamenon Falls, MI, Upper Falls	Michigan	ABH/CTH	TRUE	yHAB228	Mrakia sp.	Basidiomycota	Mrakia	NA
yHAB229	Mrakia sp.	Mrakia	Basidiomycota	46.601361, -85.190790	46.601361	-85.19079	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer saccharum	Sugar Maple	NA	NA	1.15	a	YHAB_1.15	10	Tahquamenon Falls, MI, Upper Falls	Michigan	ABH/CTH	TRUE	yHAB229	Mrakia sp.	Basidiomycota	Mrakia	NA
yHAB230	Trichosporon porosum	Trichosporon	Basidiomycota	46.601361, -85.190790	46.601361	-85.19079	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	1.16	a	YHAB_1.16	10	Tahquamenon Falls, MI, Upper Falls	Michigan	ABH/CTH	TRUE	yHAB230	Trichosporon porosum	Basidiomycota	Trichosporon	NA
yHAB231	Mrakia sp.	Mrakia	Basidiomycota	46.601361, -85.190790	46.601361	-85.19079	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer saccharum	Sugar Maple	NA	NA	1.2	a	YHAB_1.2	10	Tahquamenon Falls, MI, Upper Falls	Michigan	ABH/CTH	TRUE	yHAB231	Mrakia sp.	Basidiomycota	Mrakia	NA
yHAB232	Mrakia gelida	Mrakia	Basidiomycota	46.601361, -85.190790	46.601361	-85.19079	Fungus	Fungus	Fungus	NA	NA	NA	NA	Unknown	Unknown	Unknown	Fungus	NA	1.23	a	YHAB_1.23	10	Tahquamenon Falls, MI, Upper Falls	Michigan	ABH/CTH	TRUE	yHAB232	Mrakia gelida	Basidiomycota	Mrakia	NA
yHAB233	Mrakia sp.	Mrakia	Basidiomycota	46.601361, -85.190790	46.601361	-85.19079	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	1.24	a	YHAB_1.24	10	Tahquamenon Falls, MI, Upper Falls	Michigan	ABH/CTH	TRUE	yHAB233	Mrakia sp.	Basidiomycota	Mrakia	NA
yHAB234	Mrakia sp.	Mrakia	Basidiomycota	46.603602, -85.206239	46.603602	-85.206239	Tree	Plant Matter	Bark	NA	NA	NA	Rotting	Fagus	Fagus grandifolia	American Beech	NA	NA	2.2	a	YHAB_2.2	10	Tahquamenon Falls, MI, lower falls	Michigan	ABH/CTH	TRUE	yHAB234	Mrakia sp.	Basidiomycota	Mrakia	NA
yHAB235	Mrakia sp.	Mrakia	Basidiomycota	46.601361, -85.190790	46.601361	-85.19079	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	2.5	a	YHAB_2.5	10	Tahquamenon Falls, MI, Upper Falls	Michigan	ABH/CTH	TRUE	yHAB235	Mrakia sp.	Basidiomycota	Mrakia	NA
yHAB236	Mrakia sp.	Mrakia	Basidiomycota	46.601361, -85.190790	46.601361	-85.19079	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	2.9	a	YHAB_2.9	10	Tahquamenon falls, mi upper falls	Michigan	ABH/CTH	TRUE	yHAB236	Mrakia sp.	Basidiomycota	Mrakia	NA
yHAB237	Mrakia sp.	Mrakia	Basidiomycota	46.603602, -85.206239	46.603602	-85.206239	Tree	Plant Matter	Pine Cone	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	2.1	a	YHAB_2.1	10	Tahquamenon Falls, MI, lower falls - Island	Michigan	ABH/CTH	TRUE	yHAB237	Mrakia sp.	Basidiomycota	Mrakia	NA
yHAB238	Mrakia gelida	Mrakia	Basidiomycota	46.603602, -85.206239	46.603602	-85.206239	Tree	Soil	Soil	NA	NA	NA	NA	Tsuga	Tsuga sp.	Hemlock	NA	NA	2.13	a	YHAB_2.13	10	Tahquamenon Falls, MI, lower falls - Island	Michigan	ABH/CTH	TRUE	yHAB238	Mrakia gelida	Basidiomycota	Mrakia	NA
yHAB239	Kodamaea meredithiae	Kodamaea	Ascomycota	46.603602, -85.206239	46.603602	-85.206239	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	2.14	a	YHAB_2.14	10	Tahquamenon Falls, MI, lower falls - Island	Michigan	ABH/CTH	TRUE	yHAB239	Kodamaea meredithiae	Saccharomycotina	Kodamaea	NA
yHAB240	Kodamaea meredithiae	Kodamaea	Ascomycota	46.603602, -85.206239	46.603602	-85.206239	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	2.14	b	YHAB_2.14	10	Tahquamenon Falls, MI, lower falls - Island	Michigan	ABH/CTH	TRUE	yHAB240	Kodamaea meredithiae	Saccharomycotina	Kodamaea	NA
yHAB242	Cryptococcus tahquamenonensis	Cryptococcus	Basidiomycota	46.603602, -85.206239	46.603602	-85.206239	Tree	Soil	Soil	NA	NA	NA	NA	Tsuga	Tsuga sp.	Hemlock	NA	NA	2.16	a	YHAB_2.16	10	Tahquamenon Falls, MI, lower falls - Island	Michigan	ABH/CTH	TRUE	yHAB242	Cryptococcus tahquamenonensis	Basidiomycota	Cryptococcus	NA
yHAB243	Cryptococcus musci	Cryptococcus	Basidiomycota	46.603602, -85.206239	46.603602	-85.206239	Tree	Fungus	Fungus	NA	NA	NA	NA	Tsuga	Tsuga sp.	Hemlock	Fungus	NA	2.2	a	YHAB_2.2	10	Tahquamenon Falls, MI, lower falls - Island	Michigan	ABH/CTH	TRUE	yHAB243	Cryptococcus musci	Basidiomycota	Cryptococcus	NA
yHAB244	Kodamaea meredithiae	Kodamaea	Ascomycota	46.603602, -85.206239	46.603602	-85.206239	Tree	Plant Matter	Bark	NA	NA	NA	Rotting	Unknown	Unknown	Unknown	NA	NA	2.21	a	YHAB_2.21	10	Tahquamenon Falls, MI, lower falls - Island	Michigan	ABH/CTH	TRUE	yHAB244	Kodamaea meredithiae	Saccharomycotina	Kodamaea	NA
yHAB245	Mrakia gelida	Mrakia	Basidiomycota	46.603602, -85.206239	46.603602	-85.206239	Tree	Soil	Soil	NA	NA	NA	NA	Tsuga	Tsuga sp.	Hemlock	NA	NA	2.22	a	YHAB_2.22	10	Tahquamenon falls, MI, lower falls, Island	Michigan	ABH/CTH	TRUE	yHAB245	Mrakia gelida	Basidiomycota	Mrakia	NA
yHAB246	Rhodosporidium babjevae	Rhodosporidium	Basidiomycota	46.603602, -85.206239	46.603602	-85.206239	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	White Rot	NA	2.24	a	YHAB_2.24	10	Tahquamenon falls, MI, lower falls, Island	Michigan	ABH/CTH	TRUE	yHAB246	Rhodosporidium babjevae	Basidiomycota	Rhodosporidium	NA
yHAB248	Mrakia sp.	Mrakia	Basidiomycota	45.717810, -86.669512	45.71781	-86.669512	Tree	Soil	Soil	NA	NA	NA	NA	Thuja	Thuja plicata	Pacific Redcedar	NA	NA	3.2	a	YHAB_3.2	10	Fayette, MI	Michigan	ABH/CTH	TRUE	yHAB248	Mrakia sp.	Basidiomycota	Mrakia	NA
yHAB249	Mrakia sp.	Mrakia	Basidiomycota	45.717810, -86.669512	45.71781	-86.669512	Tree	Plant Matter	Bark	NA	NA	NA	NA	Betula	Betula papyrifera	White Birch	NA	NA	3.3	a	YHAB_3.3	10	Fayette, MI	Michigan	ABH/CTH	TRUE	yHAB249	Mrakia sp.	Basidiomycota	Mrakia	NA
yHAB250	Mrakia sp.	Mrakia	Basidiomycota	45.717810, -86.669512	45.71781	-86.669512	Tree	Soil	Soil	NA	NA	NA	NA	Betula	Betula papyrifera	White Birch	NA	NA	3.4	a	YHAB_3.4	10	Fayette, MI	Michigan	ABH/CTH	TRUE	yHAB250	Mrakia sp.	Basidiomycota	Mrakia	NA
