IsoTemp	Yeast_sp	pval	Observed	Expected	Difference	BH_Padj
22	Suhomyces ambrosiae	0.1011	3	1.296	1.704	0.505116304347826
10	Kluyveromyces dobzhanskii	0.1015	11	7.724	3.276	0.505116304347826
22	Saturnispora zaruensis	0.1022	2	0.6414	1.3586	0.505116304347826
4	Goffeauzyma gastrica	0.1022	1	0.1047	0.8953	0.505116304347826
22	Cryptococcus pseudolongus	0.1026	2	0.6379	1.3621	0.505116304347826
22	Lachancea waltii	0.1039	2	0.6512	1.3488	0.505116304347826
4	Leucosporidium fellii	0.104	1	0.1068	0.8932	0.505116304347826
22	Lachancea thermotolerans/quebecensis	0.1049	3	1.2846	1.7154	0.505116304347826
22	Scleroconidioma sphagnicola	0.1062	2	0.6467	1.3533	0.505877419354839
10	Mrakia blollopis	0.1091	7	4.3987	2.6013	0.512947368421053
22	Vanrija albida	0.11	2	0.6514	1.3486	0.512947368421053
22	Scheffersomyces ergatensis	0.1119	9	6.0805	2.9195	0.516371875
30	Cyberlindnera veronae	0.1156	3	1.2891	1.7109	0.523545454545455
30	Lachancea thermotolerans	0.116	14	10.167	3.833	0.523545454545455
30	Candida mycetangii	0.117	3	1.3135	1.6865	0.523545454545455
30	Candida albicans	0.1215	3	1.328	1.672	0.538245
22	Trichosporon porosum	0.1254	7	4.4826	2.5174	0.550021782178218
22	Candida santamariae	0.1275	5	2.8938	2.1062	0.550058333333333
10	Cryptococcus wisconsinensis	0.1283	2	0.7269	1.2731	0.550058333333333
10	Cyberlindnera misumaiensis	0.1307	2	0.7222	1.2778	0.550058333333333
10	Mrakia robertii	0.1333	2	0.7405	1.2595	0.550058333333333
10	Cryptococcus gastricus	0.1337	4	2.1941	1.8059	0.550058333333333
10	Piskurozyma taiwanensis	0.1339	2	0.731	1.269	0.550058333333333
22	Teunomyces cretensis/kruisii complex	0.1341	10	7.0474	2.9526	0.550058333333333
4	Mrakiella aquatica	0.1412	1	0.1481	0.8519	0.554713043478261
10	Yamadazyma mexicana	0.1416	4	2.2217	1.7783	0.554713043478261
10	Candida norvegica	0.1417	3	1.4722	1.5278	0.554713043478261
10	Hanseniaspora osmophila	0.1419	4	2.221	1.779	0.554713043478261
10	Candida vartiovaarae	0.1438	3	1.4646	1.5354	0.554713043478261
10	Lachancea nothofagi	0.1439	3	1.465	1.535	0.554713043478261
10	Ambrosiozyma oregonensis	0.144	2	0.7518	1.2482	0.554713043478261
4	Kwoniella shandongensis	0.1492	1	0.1576	0.8424	0.569789655172414
22	Aureobasidium pullulans	0.1532	6	3.8503	2.1497	0.580064957264957
22	Schwanniomyces pseudopolymorphus	0.1614	4	2.2826	1.7174	0.605933898305085
30	Groenewaldozyma salmanticensis	0.1657	2	0.7781	1.2219	0.616849579831933
30	Suhomyces xylopsoci/prunicola/pyralidae	0.1682	2	0.7794	1.2206	0.619110655737705
30	Cyberlindnera culbertsonii	0.1692	2	0.7954	1.2046	0.619110655737705
30	Pichia sp.	0.1705	2	0.7839	1.2161	0.619110655737705
30	Sugiyamaella paludigena	0.1719	2	0.7794	1.2206	0.619119512195122
10	Saccharomyces eubayanus	0.1785	6	4.0428	1.9572	0.636148
22	Scheffersomyces shehatae	0.1795	3	1.5759	1.4241	0.636148
22	Candida boidinii	0.186	3	1.5923	1.4077	0.640986923076923
22	Rhodotorula mucilaginosa	0.1896	3	1.6041	1.3959	0.640986923076923
22	Cryptococcus flavescens	0.191	5	3.223	1.777	0.640986923076923
22	Metschnikowia viticola	0.1925	3	1.6059	1.3941	0.640986923076923
22	Lachancea fermentati	0.201	8	5.822	2.178	0.640986923076923
30	Nakazawaea holstii	0.2038	7	4.9424	2.0576	0.640986923076923
10	Trichosporon porosum	0.2221	7	5.1428	1.8572	0.640986923076923
10	Scheffersomyces ergatensis	0.2287	9	6.9688	2.0312	0.640986923076923
4	Papiliotrema flavescens	0.2301	1	0.2541	0.7459	0.640986923076923
22	Pichia fermentans	0.2307	7	5.1568	1.8432	0.640986923076923
22	Nakazawaea molendini-olei	0.2393	2	0.954	1.046	0.640986923076923
22	Suhomyces tanzawaensis	0.2397	2	0.9566	1.0434	0.640986923076923
22	Candida germanica	0.2398	2	0.9547	1.0453	0.640986923076923
22	Candida savonica	0.2399	2	0.9578	1.0422	0.640986923076923
22	Zygosaccharomyces florentinus	0.2416	2	0.9621	1.0379	0.640986923076923
22	Schwanniomyces vanrijiae	0.2421	2	0.9575	1.0425	0.640986923076923
10	Candida sp.	0.2487	6	4.4162	1.5838	0.640986923076923
22	Kazachstania kunashirensis	0.2493	2	0.974	1.026	0.640986923076923
30	Schwanniomyces pseudopolymorphus	0.2563	3	1.7995	1.2005	0.640986923076923
30	Trichosporon japonicum	0.2564	1	0.2564	0.7436	0.640986923076923
30	Coniochaeta hoffmannii	0.257	1	0.257	0.743	0.640986923076923
