StrainID	Species_Old	Genus_Old	Phylum	GPS	Lat	Long	Associated	General	Specific	Fruits	Fruit.Family	Fruit.Type	Rotting	Plant.Genus	Plant.Species	Common.Name	Other.Associations	Notes	Set	Morpho	SetID	IsoTemp	Specific.Location	State	Collected.By	X	X.1	Species	Subphylum	Genus
yHKB306	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	40.0728,-94.1048	40.0728	-94.1048	Plant	Plant Matter	Twigs	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	RT8	b	YHKB_RT8	30	Pattonsburg, MO	Missouri	Kelly Buh	TRUE	yHKB306	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHKB307	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	40.0728,-94.1048	40.0728	-94.1048	Plant	Plant Matter	Twigs	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	RT8	a	YHKB_RT8	30	Pattonsburg, MO	Missouri	Kelly Buh	TRUE	yHKB307	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHKB315	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	40.0728,-94.1048	40.0728	-94.1048	Soil	Soil/Plant Matter	Soil/Grass	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	RT7	a	YHKB_RT7	30	Pattonsburg, MO	Missouri	Kelly Buh	TRUE	yHKB315	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHKB318	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	40.0728,-94.1048	40.0728	-94.1048	Soil	Soil/Plant Matter	Soil/Grass/Twigs	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	RT10	a	YHKB_RT10	30	Pattonsburg, MO	Missouri	Kelly Buh	TRUE	yHKB318	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHKB335	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	40.0728,-94.1048	40.0728	-94.1048	Soil	Soil/Plant Matter	Soil/Grass	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	RT7	a	YHKB_RT7	22	Pattonsburg, MO	Missouri	Kelly Buh	TRUE	yHKB335	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHKB450	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	40.0728,-94.1048	40.0728	-94.1048	Soil	Soil/Plant Matter	Soil/Grass/Twigs	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	RT10	a	YHKB_RT10	10	Pattonsburg, MO	Missouri	Kelly Buh	TRUE	yHKB450	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHKS235	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Betula	Betula papyrifera	White Birch	NA	NA	#113	b	YHKS_#113	30	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS235	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHKS497	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	47.855571, -121.971572	47.855571	-121.971572	Tree	Plant Matter	Seed	NA	NA	NA	NA	Rhododendron	Rhododendron sp.	Rhododendron sp.	NA	In Ivy Bed	#185	a	YHKS_#185	30	Monroe, WA	Washington	Emily Baker	TRUE	yHKS497	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHKS515	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	47.855571, -121.971572	47.855571	-121.971572	Tree	Soil/Plant Matter	Duff	NA	NA	NA	NA	Ilex	Ilex sp.	Holly	NA	NA	#192	b	YHKS_#192	22	Monroe, WA	Washington	Emily Baker	TRUE	yHKS515	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHKS560	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	60.476499, -150.330873	60.476499	-150.330873	Soil	Soil	Soil	NA	NA	NA	NA	Unknown	Unknown	Unknown	Moss	NA	#202	a	YHKS_#202	30	Kenai Wildlife Reserve, Alaska (Engineer Lake)	Alaska	Jacob Barnes	TRUE	yHKS560	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
