StrainID	Species_Old	Genus_Old	Phylum	GPS	Lat	Long	Associated	General	Specific	Fruits	Fruit.Family	Fruit.Type	Rotting	Plant.Genus	Plant.Species	Common.Name	Other.Associations	Notes	Set	Morpho	SetID	IsoTemp	Specific.Location	State	Collected.By	X	X.1	Species	Subphylum	Genus
yHMJ12	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	45.027429, -93.438540	45.027429	-93.43854	Tree	Plant Matter	Leaves/Bark	NA	NA	NA	NA	Prunus	Prunus cerasus	Cherry	NA	NA	1	a	YHMJ_1	22	french park, plymouth mn	Minnesota	martin jarzyna	TRUE	yHMJ12	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHMJ27	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	43.312305, -91.781281 	43.312305	-91.781281	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Populus	Populus deltoides	Eastern Cottonwood	Pinus	NA	15	a	YHMJ_15	22	Decorah, IA ice caves	Iowa	martin jarzyna	TRUE	yHMJ27	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHMJ28	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	43.312305, -91.781281 	43.312305	-91.781281	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Populus	Populus deltoides	Eastern Cottonwood	Pinus	NA	15	b	YHMJ_15	22	Decorah, IA ice caves	Iowa	martin jarzyna	TRUE	yHMJ28	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHQL200	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	43.122028, -89.484072	43.122028	-89.484072	Tree	Plant Matter	Bark	NA	NA	NA	Rotting	Unknown	Unknown	Unknown	NA	NA	11	a	YHQL_11	30	Pheasant Branch Conservancy	Wisconsin	Sarah Wright	TRUE	yHQL200	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHQL224	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	43.122028, -89.484072	43.122028	-89.484072	Plant	Plant Matter	Grass	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	12	a	YHQL_12	22	Pheasant Branch Conservancy	Wisconsin	Sarah Wright	TRUE	yHQL224	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHQL262	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	43.122028, -89.484072	43.122028	-89.484072	Plant	Plant Matter	Grass	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	12	a	YHQL_12	10	Pheasant Branch Conservancy	Wisconsin	Sarah Wright	TRUE	yHQL262	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHQL343	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Miscellaneous	Wood	NA	NA	NA	NA	Morus	Morus alba	White Mulberry	NA	mulberry	AS#4	a	YHQL_AS#4	22	Chadwick, Illinois-Sheddan property	Illinois	Angela Sheddan	TRUE	yHQL343	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHQL369	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Plant Matter	Wood	NA	NA	NA	NA	Betula	Betula sp.	Unknown	Lilly of the Valley	birch/assoc w/ lilly of the valley	AS#14	a	YHQL_AS#14	30	Chadwick, Illinois-Sheddan property	Illinois	Angela Sheddan	TRUE	yHQL369	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHQL370	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Plant Matter	Wood	NA	NA	NA	NA	Betula	Betula sp.	Unknown	Lilly of the Valley	birch/assoc w/ lilly of the valley	AS#14	b	YHQL_AS#14	30	Chadwick, Illinois-Sheddan property	Illinois	Angela Sheddan	TRUE	yHQL370	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHQL377	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Plant	Plant Matter	Twigs	NA	NA	NA	NA	Unknown	Unknown	Unknown	Bird	bird nest	AS#20	a	YHQL_AS#20	30	Chadwick, Illinois-Sheddan property	Illinois	Angela Sheddan	TRUE	yHQL377	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHQL505	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Miscellaneous	Wood	NA	NA	NA	NA	Morus	Morus alba	White Mulberry	NA	mulberry	AS#4	a	YHQL_AS#4	10	Chadwick, Illinois-Sheddan property	Illinois	Angela Sheddan	TRUE	yHQL505	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHRM12	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	NA	NA	NA	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer negundo	Boxelder Maple	NA	NA	2.1	a	YHRM_2.1	22	Picnic Point, Madison WI	Wisconsin	RM	TRUE	yHRM12	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHRM29	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	NA	NA	NA	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.10.	a	YHRM_1.10.	10	Picnic Point, Madison WI	Wisconsin	RM	TRUE	yHRM29	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHQL319	Torulaspora delbrueckii	Torulaspora	Ascomycota	39.871665, -79.492928	39.871665	-79.492928	Tree	Plant Matter	Needles	NA	NA	NA	Rotting	Pinus	Pinus sp.	Pine	NA	NA	QL#13	c	YHQL_QL#13	22	Ohiopyle, PA	Pennsylvania	Scott Zasadil	TRUE	yHQL319	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHAB188	Torulaspora delbrueckii	Torulaspora	Ascomycota	46.603602, -85.206239	46.603602	-85.206239	Tree	Soil	Soil	NA	NA	NA	NA	Tsuga	Tsuga sp.	Hemlock	NA	NA	2.22	a	YHAB_2.22	22	Tahquamenon falls, MI, lower falls, Island	Michigan	ABH/CTH	TRUE	yHAB188	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHAB200	Torulaspora delbrueckii	Torulaspora	Ascomycota	45.717810, -86.669512	45.71781	-86.669512	Tree	Soil	Soil	NA	NA	NA	NA	Betula	Betula papyrifera	White Birch	NA	NA	3.4	a	YHAB_3.4	30	Fayette, MI	Michigan	ABH/CTH	TRUE	yHAB200	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHAB207	Torulaspora delbrueckii	Torulaspora	Ascomycota	46.601361, -85.190790	46.601361	-85.19079	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	2.9	a	YHAB_2.9	30	Tahquamenon Falls, MI, Upper Falls	Michigan	ABH/CTH	TRUE	yHAB207	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKB150	Torulaspora delbrueckii	Torulaspora	Ascomycota	36.0999,-80.2442	36.0999	-80.2442	Tree	Soil	Soil	NA	NA	NA	NA	Quercus	Quercus alba	White Oak	NA	NA	S2	a	YHKB_S2	22	Winston-Salem, NC	North Carolina	Leslie Shown	TRUE	yHKB150	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKB16	Torulaspora delbrueckii	Torulaspora	Ascomycota	29.9403:-90.1207	29.9403	-90.1207	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	BFF3	a	YHKB_BFF3	22	New Orleans, LA (Tulane campus)	Louisiana	Katie Burjek	TRUE	yHKB16	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKB2	Torulaspora delbrueckii	Torulaspora	Ascomycota	34.888:-84.436	34.888	-84.436	Soil	Soil/Plant Matter	Soil	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	Wildlife refuge	AK4A	a	YHKB_AK4A	22	Red Top Mountain State Park (Cantersville, GA)	Georgia	Kurt and Anna (Quinn's friends)	TRUE	yHKB2	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKB269	Torulaspora delbrueckii	Torulaspora	Ascomycota	NA	NA	NA	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	GLSC11	a	YHKB_GLSC11	22	Pennsylvania	Pennsylvania	NA	TRUE	yHKB269	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKB324	Torulaspora delbrueckii	Torulaspora	Ascomycota	40.0728,-94.1048	40.0728	-94.1048	Soil	Soil/Plant Matter	Soil/Grass	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	RT9	a	YHKB_RT9	22	Pattonsburg, MO	Missouri	Kelly Buh	TRUE	yHKB324	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKB325	Torulaspora delbrueckii	Torulaspora	Ascomycota	31.7013,-90.3976	31.7013	-90.3976	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	RT20	a	YHKB_RT20	22	Wesson, MS	Mississippi	Kelly Buh	TRUE	yHKB325	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKB39	Torulaspora delbrueckii	Torulaspora	Ascomycota	37.5057:-76.3969	37.5057	-76.3969	Tree	Soil	Soil	NA	NA	NA	NA	Quercus	Quercus alba	White Oak	NA	NA	9G	a	YHKB_9G	22	Cobbs Creek, VA	Virginia	NA	TRUE	yHKB39	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKB40	Torulaspora delbrueckii	Torulaspora	Ascomycota	47.860107:-121.98317	47.860107	-121.98317	Tree	Plant Matter	Fruit	Holly Berry	Aquifoliaceae	Berry	NA	Ilex	Ilex sp.	Holly	NA	NA	14G	a	YHKB_14G	22	Monroe, WA	Washington	NA	TRUE	yHKB40	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS110	Torulaspora delbrueckii	Torulaspora	Ascomycota	45.084920, -87.586688	45.08492	-87.586688	Tree	Soil	Soil	NA	NA	NA	NA	Quercus	Quercus sp.	Oak	NA	NA	#36a	a	YHKS_#36a	30	Marinette, WI (Red Arrow Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS110	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS131	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695818, -87.718146	43.695818	-87.718146	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#51	a	YHKS_#51	30	Indian Mound Park, Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS131	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS133	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695818, -87.718146	43.695818	-87.718146	Tree	Plant Matter	Bark	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#54	a	YHKS_#54	30	Indian Mound Park, Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS133	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS134	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695818, -87.718146	43.695818	-87.718146	Tree	Plant Matter	Bark	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#56	a	YHKS_#56	30	Indian Mound Park, Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS134	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS136	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.795677, -88.442040	43.795677	-88.44204	Tree	Plant Matter	Bark	NA	NA	NA	NA	Fraxinus	Fraxinus sp.	Ash	NA	NA	#59	a	YHKS_#59	30	Fon du Lac, WI (Lakeside Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS136	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS137	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695818, -87.718146	43.695818	-87.718146	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	#49	a	YHKS_#49	30	Indian Mound Park, Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS137	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS138	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695818, -87.718146	43.695818	-87.718146	Tree	Plant Matter	Bark	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#52	a	YHKS_#52	30	Indian Mound Park, Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS138	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS142	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.089361, -89.415891	43.089361	-89.415891	Tree	Plant Matter	Bark	NA	NA	NA	NA	NA	NA	NA	NA	NA	#5	a	YHKS_#5	30	Madison, WI (Picnic Point Path)	Wisconsin	Ashanti Rogers	TRUE	yHKS142	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS144	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.089361, -89.415891	43.089361	-89.415891	Plant	Plant Matter	Fruit	Berry	Unknown	Unknown	NA	Unknown	Unknown	Unknown	NA	NA	#11	a	YHKS_#11	30	Madison, WI (Picnic Point Path)	Wisconsin	Ashanti Rogers	TRUE	yHKS144	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS217	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.395533, -87.866440	43.395533	-87.86644	Tree	Soil	Soil	NA	NA	NA	NA	Fraxinus	Fraxinus pennsylvanica	Green Ash	NA	NA	#72	a	YHKS_#72	30	Port Washington, WI (Upper Lake Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS217	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS237	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#108	a	YHKS_#108	30	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS237	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS249	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#106	a	YHKS_#106	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS249	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS252	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Betula	Betula papyrifera	White Birch	NA	NA	#111	a	YHKS_#111	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS252	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS255	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Betula	Betula alleghaniensis	Yellow Birch	NA	NA	#115	a	YHKS_#115	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS255	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS265	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#104	a	YHKS_#104	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS265	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS304	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#102	a	YHKS_#102	10	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS304	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS307	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Soil	Soil	NA	NA	NA	NA	Quercus	Quercus sp.	Oak	NA	NA	#123	a	YHKS_#123	30	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS307	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS311	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#126	b	YHKS_#126	30	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS311	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS312	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer saccharum	Sugar Maple	NA	NA	#127	a	YHKS_#127	30	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS312	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS313	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer saccharum	Sugar Maple	NA	NA	#128	a	YHKS_#128	30	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS313	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS319	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	NA	Acer	Acer saccharum	Sugar Maple	NA	NA	#133	a	YHKS_#133	30	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS319	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS326	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	NA	Acer	Acer saccharum	Sugar Maple	NA	NA	#142	a	YHKS_#142	30	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS326	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS350	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#125	a	YHKS_#125	22	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS350	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS351	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#126	a	YHKS_#126	22	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS351	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS352	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer saccharum	Sugar Maple	NA	NA	#127	b	YHKS_#127	22	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS352	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS353	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer saccharum	Sugar Maple	NA	NA	#128	a	YHKS_#128	22	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS353	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS357	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#137	a	YHKS_#137	22	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS357	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS359	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	NA	Acer	Acer saccharum	Sugar Maple	NA	NA	#142	a	YHKS_#142	22	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS359	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS360	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	NA	Acer	Acer saccharum	Sugar Maple	NA	NA	#142	b	YHKS_#142	22	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS360	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS375	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#125	a	YHKS_#125	10	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS375	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS388	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#137	a	YHKS_#137	10	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS388	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS418	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	NA	Acer	Acer saccharum	Sugar Maple	NA	NA	#139	b	YHKS_#139	10	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS418	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS44	Torulaspora delbrueckii	Torulaspora	Ascomycota	44.293474, -88.401231	44.293474	-88.401231	Tree	Plant Matter	Bark	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	#25	b	YHKS_#25	30	Grand Chute, WI (Einstein Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS44	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS45	Torulaspora delbrueckii	Torulaspora	Ascomycota	45.084920, -87.586688	45.08492	-87.586688	Tree	Plant Matter	Bark	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	#26	a	YHKS_#26	30	Marinette, WI (Red Arrow Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS45	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
