Specific	NonsingletonObs	SingletonObs	NoncosmopolitanObs	CosmopolitanObs	SingletonEnrichment	CosmopolitanEnrichment	SingletonEnrichmentBHadj	CosmopolitanEnrichmentBHadju
Ash	3	0	1	2	1	0.703837132851895	1	1
Bark	280	22	97	205	0.636502769218277	0.0628342689354542	1	1
Berries/Needles	1	0	0	1	1	0.639419907712591	1	1
Bulb	4	0	1	3	1	0.544185470479182	1	1
Compost	1	0	0	1	1	0.639419907712591	1	1
Duff	50	7	22	35	0.137389420753391	0.710704611018911	0.868126578013494	1
Feather	1	1	2	0	0.146668498230209	1	0.868126578013494	1
Flotsam	4	0	0	4	1	0.166791553075553	1	1
Flower	7	1	6	2	0.470453736410812	0.99574994623871	0.990428918759605	1
Flower/Leaves	5	1	2	4	0.379030896846814	0.625746983637676	0.990428918759605	1
Fruit	99	11	44	66	0.20971411919697	0.840689849529422	0.932062751986535	1
Fruit/Leaves	16	2	9	9	0.404140940941963	0.929031207388454	0.990428918759605	1
Fungus	84	10	45	49	0.172054190941768	0.994397757832464	0.868126578013494	1
Grass	4	0	2	2	1	0.863488795224609	1	1
Humus	6	1	5	2	0.426545683103918	0.989522462279298	0.990428918759605	1
Leaves	133	6	47	92	0.9647770163921	0.315579180492553	1	1
Leaves/Bark	6	1	3	4	0.426545683103918	0.782828590807126	0.990428918759605	1
Lichen	8	0	4	4	1	0.881862822611972	1	1
Mold	2	0	1	1	1	0.870134082856909	1	1
Moss	23	5	12	16	0.0562275367607393	0.830626229331913	0.749700490143191	1
Needles	13	2	6	9	0.318832109273805	0.727110872927348	0.990428918759605	1
Nut	19	0	8	11	1	0.788164796974485	1	1
Pine Cone	18	1	10	9	0.780323939641374	0.957885015046327	1	1
Plant Matter	48	3	22	29	0.761266600762596	0.88771104061943	1	1
Sand	29	3	16	16	0.445943952886345	0.965549322201165	0.990428918759605	1
Sap	4	3	5	2	0.0120376762271693	0.989522462279298	0.481507049086771	1
Sawdust	3	2	3	2	0.0494541413581362	0.940166615002647	0.749700490143191	1
Sea Grass	1	0	1	0	1	1	1	1
Seed	8	2	2	8	0.173625315602699	0.238506386491614	0.868126578013494	1
Soil	467	25	145	342	0.997176110756948	0.00025734436492412	1	0.0102937745969648
Soil/Bark	5	0	2	3	1	0.748472065557552	1	1
Soil/Grass	7	0	1	6	1	0.215591055045958	1	1
Soil/Grass/Twigs	4	0	0	4	1	0.166791553075553	1	1
Soil/Plant Matter	10	1	3	8	0.583153355865155	0.396014730801726	1	1
Soil/Twigs/Fungus	3	1	3	1	0.271983545197604	0.983213812071019	0.990428918759605	1
Spider	2	0	0	2	1	0.408705732568272	1	1
Twigs	13	2	8	7	0.318832109273805	0.949970067838941	0.990428918759605	1
Water	1	0	1	0	1	1	1	1
Wood	14	2	7	9	0.347710051997949	0.818564935650224	0.990428918759605	1
Insect	0	1	1	0	0.0762155059132719	1	0.762155059132719	1
