IsoTemp	Yeast_sp	Observed	pval
22	Candida mycetangii	1	0.8489
22	Candida nitratophila	1	0.5427
22	Candida pseudoglaebosa	1	0.938
22	Candida pseudolambica	1	0.9683
22	Candida pseudorhagii	1	0.331
22	Candida railenensis	22	0.0039
22	Candida sake	6	0.9977
22	Candida santamariae	5	0.1275
22	Candida savonica	2	0.2399
22	Candida silvanorum	1	0.3228
22	Candida sorboxylosa	1	0.3185
22	Candida sp.	4	0.5742
22	Candida tropicalis	2	0.3861
22	Candida vartiovaarae	1	0.7917
22	Candida xestobii	1	0.5342
22	Candida zeylanoides	1	0.3276
22	Cryptococcus flavescens	5	0.191
22	Cryptococcus heveanensis	1	0.3136
22	Cryptococcus musci	1	0.5398
22	Cryptococcus pinus	5	0.0124
22	Cryptococcus pseudolongus	2	0.1026
22	Cryptococcus sp.	2	0.8389
22	Cryptococcus surugaensis	1	0.5426
22	Curvibasidium cygneicollum	4	0.945
22	Cyberlindnera culbertsonii	1	0.6936
22	Cyberlindnera fabianii	2	0.0979
22	Cyberlindnera saturnus	22	0.0047
22	Cyberlindnera veronae	1	0.8512
22	Cystofilobasidium capitatum	1	1
22	Debaryomyces hansenii	2	0.8336
22	Debaryomyces nepalensis	1	0.5305
22	Geotrichum candidum	1	0.8541
22	Hanseniaspora opuntiae	1	0.3263
22	Hanseniaspora osmophila	2	0.6184
22	Hanseniaspora sp.	1	0.6922
22	Hanseniaspora uvarum	36	0.0227
22	Hanseniaspora vineae	13	0.0585
22	Isaria sp.	1	0.316
22	Kazachstania aerobia	1	0.3167
22	Kazachstania kunashirensis	2	0.2493
22	Kazachstania martiniae	21	0.0126
22	Kazachstania serrabonitensis	4	0.0103
22	Kazachstania servazzii	7	0.0075
22	Kloeckera lindneri	1	0.3195
22	Kluyveromyces dobzhanskii	7	0.5373
22	Kluyveromyces lactis	12	0.3644
22	Kluyveromyces marxianus	3	0.8773
22	Kuraishia capsulata	1	0.3136
22	Kwoniella heveanensis	1	0.5422
22	Kwoniella newhampshirensis	1	0.3145
22	Kwoniella pini	1	0.3235
22	Lachancea fermentati	8	0.201
22	Lachancea kluyveri	5	0.9547
22	Lachancea lanzarotensis	1	0.3235
22	Lachancea nothofagi	1	0.7871
22	Lachancea quebecensis	1	0.6903
22	Lachancea thermotolerans	19	0.0193
22	Lachancea thermotolerans/quebecensis	3	0.1049
22	Lachancea waltii	2	0.1039
22	Leotiomycetes sp.	4	0.4911
22	Leucosporidium scottii	1	0.9701
22	Metschnikowia pulcherrima sp. complex	14	0.9653
22	Metschnikowia reukaufii	2	0.5228
22	Metschnikowia viticola	3	0.1925
22	Meyerozyma caribbica	7	0.4084
22	Meyerozyma guilliermondii	1	0.6863
22	Mrakia curviuscula	1	0.3227
22	Naganishia albida	1	0.5396
22	Nakazawaea anatomiae/populi sp. complex	7	0.2918
22	Nakazawaea holstii	4	0.9093
22	Nakazawaea molendini-olei	2	0.2393
22	Nakazawaea sp.	1	0.3137
22	Papiliotrema flavescens	1	0.8573
22	Papiliotrema wisconsinensis	1	0.534
22	Phialemoniopsis ocularis	1	0.3211
22	Pichia cecembensis	1	0.3189
22	Pichia fermentans	7	0.2307
22	Pichia galeiformis	2	0.0976
22	Pichia kluyveri	1	0.854
22	Pichia kudriavzevii	2	0.878
22	Pichia manshurica	4	0.5703
22	Pichia membranifaciens	1	0.9693
22	Pichia occidentalis	1	0.3184
22	Pichia scaptomyzae	1	0.5333
22	Pichia sp.	1	0.6904
22	Pichia sporocuriosa	1	0.3179
22	Pichia terricola	1	0.5408
22	Rhodosporidiobolus poonsookiae	1	0.3229
22	Rhodotorula babjevae	1	0.6849
22	Rhodotorula glutinis	2	0.3813
22	Rhodotorula graminis	1	0.3225
22	Rhodotorula mucilaginosa	3	0.1896
22	Rhodotorula nothofagi	6	0.4797
22	Rhodotorula paludigena	1	0.3172
22	Saccharomyces cerevisiae	9	0.4076
22	Saccharomyces eubayanus	5	0.2608
22	Saccharomyces paradoxus	24	0.0165
22	Saturnispora zaruensis	2	0.1022
22	Scheffersomyces cyptocercus	1	0.6869
22	Scheffersomyces ergatensis	9	0.1119
22	Scheffersomyces shehatae	3	0.1795
22	Scheffersomyces spartinae	1	0.7864
22	Schwanniomyces polymorphus	3	0.3034
22	Schwanniomyces pseudopolymorphus	4	0.1614
22	Schwanniomyces vanrijiae	2	0.2421
22	Scleroconidioma sphagnicola	2	0.1062
22	Starmerella bombicola	1	0.552
22	Sugiyamaella lignohabitans	1	0.5348
22	Sugiyamaella novakii	1	0.3239
22	Sugiyamaella paludigena	1	0.6885
22	Sugiyamaella smithiae	1	0.5423
22	Suhomyces ambrosiae	3	0.1011
22	Suhomyces anneliseae	1	0.3233
22	Suhomyces bolitotheri	7	0.0838
22	Suhomyces tanzawaensis	2	0.2397
22	Suhomyces vadensis	1	0.3222
22	Suhomyces xylopsoci/prunicola/pyralidae	1	0.6872
22	Sydowia polyspora	4	0.0109
22	Talaromyces amestolkiae	1	0.3198
22	Tausonia pullulans	1	0.9856
22	Teunomyces carpophila	1	0.9348
22	Teunomyces cretensis/kruisii complex	10	0.1341
22	Torulaspora delbrueckii	53	0.0137
22	Torulaspora microellipsoides	2	0.1006
22	Tremella encephala	1	0.3141
22	Tremella moriformis	1	0.3235
22	Trichosporon moniliiforme	1	0.3226
22	Trichosporon porosum	7	0.1254
22	Vanrija albida	2	0.11
22	Vanrija humicola	2	0.7806
22	Vanrija musci	1	0.322
22	Vishniacozyma dimennae	1	0.3206
22	Wickerhamomyces anomalus	7	0.4681
22	Wickerhamomyces hampshirensis	1	0.5461
22	Wickerhamomyces onychis	1	0.7922
22	Yamadazyma mexicana	2	0.6203
22	Zygosaccharomyces florentinus	2	0.2416
22	Zygowilliopsis californica	2	0.3837
30	Aureobasidium pullulans	3	0.6434
30	Barnettozyma californica	3	0.3443
30	Blastobotrys buckinghamii	1	0.2577
30	Candida albicans	3	0.1215
30	Candida boleticola	5	0.0925
30	Candida bombi	1	0.2571
30	Candida germanica	1	0.5972
30	Candida glabrata	2	0.0637
30	Candida intermedia	1	0.2642
30	Candida mycetangii	3	0.117
30	Candida norvegica	1	0.7102
30	Candida parapsilosis	1	0.4499
30	Candida pseudoglaebosa	1	0.8759
30	Candida pseudolambica	7	0.0018
30	Candida railenensis	3	0.9995
30	Candida sake	1	1
30	Candida sanyaensis	1	0.2641
30	Candida sp.	2	0.8634
30	Candida subhashii	1	0.2625
30	Candida tropicalis	2	0.2801
30	Coniochaeta hoffmannii	1	0.257
30	Coniochaeta ligniaria	1	0.4497
30	Cryptococcus gastricus	1	0.8338
30	Cryptococcus sp.	1	0.9342
30	Cyberlindnera culbertsonii	2	0.1692
30	Cyberlindnera jadinii	1	0.2717
30	Cyberlindnera japonica	1	0.2652
30	Cyberlindnera saturnus	10	0.6944
30	Cyberlindnera sp.	1	0.2663
30	Cyberlindnera suaveolens	1	0.2669
30	Cyberlindnera veronae	3	0.1156
30	Debaryomyces hansenii	6	0.0131
30	Debaryomyces nepalensis	1	0.4607
30	Debaryomyces sp.	1	0.2615
30	Fibulobasidium inconspicuum	1	0.2632
30	Geotrichum candidum	2	0.3933
30	Groenewaldozyma salmanticensis	2	0.1657
30	Hanseniaspora uvarum	22	0.5369
30	Hanseniaspora vineae	5	0.8729
30	Kazachstania martiniae	20	0.0024
30	Kazachstania servazzii	1	0.9388
30	Kluyveromyces dobzhanskii	3	0.9399
30	Kluyveromyces lactis	16	0.0043
30	Kluyveromyces marxianus	11	0
30	Kuraishia molischiana	3	0.0181
30	Kuraishia ogatae	1	0.2678
30	Lachancea fermentati	10	0.0084
30	Lachancea kluyveri	19	0
