StrainID	OTU	Phylum	Subphylum	Lattitude	Longitude	Sample Substrate Type	Substrate Genus	Substrate Species	Substrate Common Name	Sample ID	Isolation Temp (deg. C)	Enrichment Media Glucose %	State	Collected By
yHRVM47	Ambrosiozyma oregonensis	Ascomycota	Saccharomycotina	46.482739	-86.671216	Plant Matter	Fagus	Fagus sp.	Beech	YHRVM_9CAHD2	10	8	Michigan	"Chris Hittinger, Amanda Hulfachor"
yHRVM70	Ambrosiozyma oregonensis	Ascomycota	Saccharomycotina	43.072871	-89.407803	Bark	Unknown	Unknown	Unknown	YHRVM_7D1	10	8	Wisconsin	Ryan Moriarty
yHKS296	Aureobasidium pullulans	Ascomycota	Pezizomycotina	43.567496	-72.289615	Spider	Betula	Betula papyrifera	White Birch	YHKS_#122	10	8	New Hampshire	Alysha Heimberg
yHKS451	Aureobasidium pullulans	Ascomycota	Pezizomycotina	48.725722	-122.359948	Bark	Thuja	Thuja plicata	Pacific Redcedar	YHKS_#153	30	8	Washington	Mary B. O'Neill
yHKS569	Aureobasidium pullulans	Ascomycota	Pezizomycotina	43.060776	-88.402332	Leaves	Carya	Carya ovata	Shgbark Hickory	YHKS_#212	22	8	Wisconsin	Kayla Sylvester
yHQL301	Aureobasidium pullulans	Ascomycota	Pezizomycotina	41.152729	-122.311318	Fruit	Rosa	Rosa californica	California Wildrose	YHQL_QL#15	30	8	California	Bill Vagt
yHRVM207	Aureobasidium pullulans	Ascomycota	Pezizomycotina	42.866603	-88.33655	Fruit	Malus	Malus sp.	Crabapple	YHRVM_8D4	22	8	Wisconsin	Ryan Moriarty
yHRVM288	Aureobasidium pullulans	Ascomycota	Pezizomycotina	47.103651	-122.70796	Fruit	Rubus	Rubus ursinus	Blackberry	YHRVM_6D5	22	8	Washington	Quinn Langdon
yHRVM304	Aureobasidium pullulans	Ascomycota	Pezizomycotina	47.103651	-122.70796	Plant Matter	Populus	Populus sp.	Cottonwood	YHRVM_4D5	22	8	Washington	Quinn Langdon
yHRVM324	Aureobasidium pullulans	Ascomycota	Pezizomycotina	47.103651	-122.70796	Fruit	Rubus	Rubus spectabilis	Salmonberry	YHRVM_5D5	22	8	Washington	Quinn Langdon
yHKB430	Aureobasidium pullulans	Ascomycota	Pezizomycotina	44.89	-88.3073	Leaves	Malus	Malus sp.	NA	YHKB_LS13	10	0.8	Wisconsin	Lisa Sorlie
YHMH62	Aureobasidium pullulans	Ascomycota	Pezizomycotina	36.168237	-75.756593	Plant Matter	Rhododendron	Rhododendron sp.	Rhododendron	YHMH_21	30	0.8	North Carolina	Laura Beck
YHMH72	Aureobasidium pullulans	Ascomycota	Pezizomycotina	36.168237	-75.756593	Plant Matter	Rhododendron	Rhododendron sp.	Rhododendron	YHMH_21	22	0.8	North Carolina	Laura Beck
YHMH74	Aureobasidium pullulans	Ascomycota	Pezizomycotina	36.168237	-75.756593	Plant Matter	Rhododendron	Rhododendron sp.	Rhododendron	YHMH_21	22	0.8	North Carolina	Laura Beck
YHMH75	Aureobasidium pullulans	Ascomycota	Pezizomycotina	36.168237	-75.756593	Plant Matter	Rhododendron	Rhododendron sp.	Rhododendron	YHMH_21	22	0.8	North Carolina	Laura Beck
YHMH93	Aureobasidium pullulans	Ascomycota	Pezizomycotina	44.500476	-87.92386	Bark	Acer	Acer sp.	Maple	YHMH_63	10	0.8	Wisconsin	Max Haase
YHMH94	Aureobasidium pullulans	Ascomycota	Pezizomycotina	44.500476	-87.923861	Bark	Acer	Acer sp.	Maple	YHMH_63	10	0.8	Wisconsin	Max Haase
YHMH110	Aureobasidium sp.	Ascomycota	Pezizomycotina	44.499972	-87.922145	Soil	NA	NA	NA	YHMH_61	10	0.8	Wisconsin	Max Haase
yHKS584	Barnettozyma californica	Ascomycota	Saccharomycotina	43.695741	-87.718414	Soil	Fagus	Fagus grandifolia	American Beech	YHKS_#237	30	8	Wisconsin	Kayla Sylvester
yHKS610	Barnettozyma californica	Ascomycota	Saccharomycotina	43.695741	-87.718414	Soil	Fagus	Fagus grandifolia	American Beech	YHKS_#237	22	8	Wisconsin	Kayla Sylvester
yHKS70	Barnettozyma californica	Ascomycota	Saccharomycotina	40.196441	-92.579533	Soil	Quercus	Quercus alba	White Oak	YHKS_#4M	30	8	Missouri	William Alexander
yHQL202	Barnettozyma californica	Ascomycota	Saccharomycotina	43.122028	-89.484072	Soil	NA	NA	NA	YHQL_14	30	8	Wisconsin	Sarah Wright
yHQL261	Barnettozyma californica	Ascomycota	Saccharomycotina	43.122028	-89.484072	Bark	Unknown	Unknown	Unknown	YHQL_11	10	8	Wisconsin	Sarah Wright
yHQL267	Barnettozyma californica	Ascomycota	Saccharomycotina	43.189523	-89.622457	Soil	Quercus	Quercus macrocarpa	Bur Oak	YHQL_17	10	8	Wisconsin	Sarah Wright
yHQL275	Barnettozyma californica	Ascomycota	Saccharomycotina	43.025855	-89.844325	Soil	Quercus	Quercus alba	White Oak	YHQL_6	10	8	Wisconsin	Sarah Wright
yHMJ29	Barnettozyma californica	Ascomycota	Saccharomycotina	43.312305	-91.781281	Bark	Unknown	Unknown	Unknown	YHMJ_25	22	0.8	Iowa	Martin jarzyna
yHMJ37	Barnettozyma californica	Ascomycota	Saccharomycotina	43.312305	-91.781281	Bark	Unknown	Unknown	Unknown	YHMJ_25	22	0.8	Iowa	martin jarzyna
yHAB196	Blastobotrys buckinghamii	Ascomycota	Saccharomycotina	46.601361	-85.19079	Fungus	Fagus	Fagus grandifolia	American Beech	YHAB_2.3	30	8	Michigan	ABH/CTH
yHKS558	Cadophora malorum	Ascomycota	Pezizomycotina	60.69155	-151.289609	Sand	NA	NA	NA	YHKS_#209	22	8	Alaska	Jacob Barnes
yHKB465	Candida albicans	Ascomycota	Saccharomycotina	29.4241	-98.4936	Duff	Unknown	Unknown	Unknown	YHKB_TX1	30	8	Texas	Kelly Buh
yHQL539	Candida albicans	Ascomycota	Saccharomycotina	45.87153	-122.793825	Fruit	Arctostaphylos	Arctostaphylos uva-ursi	Manzanita	YHQL_Ql#28	22	8	Oregon	Bill Vagt
yHKB346	Candida albicans	Ascomycota	Saccharomycotina	47.173051	-88.449209	Fruit	Vaccinium	Vaccinium sp.	Bilberry	YHKB_RW10	22	0.8	Michigan	Russell Wrobel
yHKB351	Candida albicans	Ascomycota	Saccharomycotina	47.173051	-88.449209	Fruit	Vaccinium	Vaccinium sp.	Bilberry	YHKB_RW10	30	0.8	Michigan	Russell Wrobel
yHKB65	Candida albicans	Ascomycota	Saccharomycotina	44	-88	Soil	Quercus	Quercus rubra	Red Oak	YHKB_KBOCT6	30	0.8	Wisconsin	Bill Saucier
yHKB73	Candida albicans	Ascomycota	Saccharomycotina	44	-88	Soil	Quercus	Quercus rubra	Red Oak	YHKB_KBOCT6	30	0.8	Wisconsin	Bill Saucier
yHKB357	Candida argentea	Ascomycota	Saccharomycotina	47.173051	-88.449209	Fruit	Vaccinium	Vaccinium sp.	Blueberry	YHKB_RW9	22	0.8	Michigan	Russell Wrobel
yHKS467	Candida boidinii	Ascomycota	Saccharomycotina	48.725722	-122.359948	Soil	Thuja	Thuja plicata	Pacific Redcedar	YHKS_#155	22	8	Washington	Mary B. O'Neill
yHRVM146	Candida boidinii	Ascomycota	Saccharomycotina	42.866603	-88.33655	Soil	NA	NA	NA	YHRVM_1D4	22	8	Wisconsin	Ryan Moriarty
yHRVM68	Candida boidinii	Ascomycota	Saccharomycotina	43.072871	-89.407803	Soil	NA	NA	NA	YHRVM_5D1	10	8	Wisconsin	Ryan Moriarty
yHKB163	Candida boidinii	Ascomycota	Saccharomycotina	41.8089	-88.0112	Leaves	NA	NA	NA	YHKB_DG5	10	0.8	Illinois	Kelly Buh
yHKB93	Candida boidinii	Ascomycota	Saccharomycotina	41.795027	-88.021231	Duff	NA	NA	NA	YHKB_DG3	22	0.8	Illinois	Kelly Buh
yHAB194	Candida boleticola	Ascomycota	Saccharomycotina	46.614039	-85.254133	Leaves	Acer	Acer saccharum	Sugar Maple	YHAB_1.8	30	8	Michigan	ABH/CTH
yHKS317	Candida boleticola	Ascomycota	Saccharomycotina	43.695741	-87.718414	Plant Matter	Fagus	Fagus grandifolia	American Beech	YHKS_#131	30	8	Wisconsin	Kayla Sylvester
yHKS363	Candida boleticola	Ascomycota	Saccharomycotina	43.695741	-87.718414	Nut	Fagus	Fagus grandifolia	American Beech	YHKS_#129	22	8	Wisconsin	Kayla Sylvester
yHKS365	Candida boleticola	Ascomycota	Saccharomycotina	43.695741	-87.718414	Plant Matter	Fagus	Fagus grandifolia	American Beech	YHKS_#131	22	8	Wisconsin	Kayla Sylvester
yHKS607	Candida boleticola	Ascomycota	Saccharomycotina	43.695741	-87.718414	Bark	Fagus	Fagus grandifolia	American Beech	YHKS_#235	22	8	Wisconsin	Kayla Sylvester
yHKS665	Candida boleticola	Ascomycota	Saccharomycotina	47.4416	-87.878877	Fungus	Unknown	Unknown	Unknown	YHKS_#252	30	8	Michigan	Chris Hittinger
yHKS666	Candida boleticola	Ascomycota	Saccharomycotina	47.4416	-87.878877	Fungus	Unknown	Unknown	Unknown	YHKS_#252	30	8	Michigan	Chris Hittinger
yHKS667	Candida boleticola	Ascomycota	Saccharomycotina	47.4416	-87.878877	Fungus	Unknown	Unknown	Mushroom	YHKS_#253	30	8	Michigan	Chris Hittinger
yHQL159	Candida boleticola	Ascomycota	Saccharomycotina	46.485556	-86.660833	Nut	Fagus	Fagus sp.	Beech	YHQL_A&CH22	10	8	Michigan	Amanda Hulfachor & Chris Hittinger
yHQL160	Candida boleticola	Ascomycota	Saccharomycotina	46.525703	-86.671012	Fungus	Unknown	Unknown	Unknown	YHQL_A&CH25	10	8	Michigan	Amanda Hulfachor & Chris Hittinger
yHQL78	Candida boleticola	Ascomycota	Saccharomycotina	46.525703	-86.671012	Fungus	Unknown	Unknown	Unknown	YHQL_A&CH25	30	8	Michigan	Amanda Hulfachor & Chris Hittinger
yHQL111	Candida bombi	Ascomycota	Saccharomycotina	46.525703	-86.671012	Flower	Trifolium	Trifolium sp.	Clover	YHQL_A&CH5	30	8	Michigan	Amanda Hulfachor & Chris Hittinger
yHKB455	Candida californica	Ascomycota	Saccharomycotina	31.7013	-90.3976	Duff	Unknown	Unknown	Unknown	YHKB_RT18	10	0.8	Mississippi	Kelly Buh
yHRM58	Candida coipomoensis	Ascomycota	Saccharomycotina	NA	NA	Soil	Taxus	Taxus brevifolia	Pacific Yew	YHRM_48	22	8	Oregon	Quinn
yHQL119	Candida coipomoensis	Ascomycota	Saccharomycotina	44.703604	-123.202259	Soil	Taxus	Taxus brevifolia	Pacific Yew	YHQL_OR 7	10	8	Oregon	Quinn Langdon
yHQL148	Candida coipomoensis	Ascomycota	Saccharomycotina	44.703604	-123.202259	Soil	Taxus	Taxus brevifolia	Pacific Yew	YHQL_OR 7	10	8	Oregon	Quinn Langdon
yHQL449	Candida derodonti	Ascomycota	Saccharomycotina	37.657021	-119.626228	Fungus	Pinus	Pinus contorta	Lodgepole Pine	YHQL_QL#22	10	8	California	Bill Vagt
yHQL5	Candida friedrichii	Ascomycota	Saccharomycotina	45.208911	-123.961452	Soil	Pinus	Pinus contorta	Lodgepole Pine	YHQL_OR 6.1	22	8	Oregon	Quinn Langdon
yHKS261	Candida germanica	Ascomycota	Saccharomycotina	43.567496	-72.289615	Leaves	Fagus	Fagus grandifolia	American Beech	YHKS_#92	22	8	New Hampshire	Alysha Heimberg
yHMJ18	Candida germanica	Ascomycota	Saccharomycotina	45.027429	-93.43854	Fruit	Malus	Malus sp.	Crabapple	YHMJ_7	22	0.8	Minnesota	martin jarzyna
yHMJ7	Candida germanica	Ascomycota	Saccharomycotina	45.027429	-93.43854	Bark	Populus	Populus balsamifera	Balsam Poplar	YHMJ_8	30	0.8	Minnesota	Martin jarzyna
yHKS744	Candida glabrata	Ascomycota	Saccharomycotina	36.023225	-80.303844	Sand	Carya	Carya glabra	Pignit Hickory	YHKS_#268	30	8	North Carolina	Leslie Shown
yHRVM15	Candida glabrata	Ascomycota	Saccharomycotina	43.072871	-89.407803	Fungus	Unknown	Unknown	Fungus	YHRVM_6D1	30	8	Wisconsin	Ryan Moriarty
yHRM67	Candida inconspicua	Ascomycota	Saccharomycotina	NA	NA	Soil	NA	NA	NA	YHRM_3_R_9	22	8	Wisconsin	RM
yHRM77	Candida inconspicua	Ascomycota	Saccharomycotina	NA	NA	Moss	Unknown	Unknown	Unknown	YHRM_3_R_22	22	8	Wisconsin	RM
yHMJ3	Candida inconspicua	Ascomycota	Saccharomycotina	45.027429	-93.43854	Soil/Twigs/Fungus	Malus	Malus sp.	Crabapple	YHMJ_4	22	0.8	Minnesota	martin jarzyna
yHKB313	Candida intermedia	Ascomycota	Saccharomycotina	42.1872	-93.5956	Duff	Unknown	Unknown	Unknown	YHKB_RT6	30	0.8	Iowa	Kelly Buh
yHKB316	Candida intermedia	Ascomycota	Saccharomycotina	42.1872	-93.5956	Duff	Unknown	Unknown	Unknown	YHKB_RT6	30	0.8	Iowa	Kelly Buh
yHKB15	Candida jaroonii	Ascomycota	Saccharomycotina	29.9403	-90.1207	Soil	NA	NA	NA	YHKB_BFF4	22	0.8	Louisiana	Katie Burjek
yHKB20	Candida melibiosica	Ascomycota	Saccharomycotina	29.9403	-90.1207	Soil	NA	NA	NA	YHKB_BFF2	22	0.8	Louisiana	Katie Burjek
yHKB60	Candida melibiosica	Ascomycota	Saccharomycotina	29.9403	-90.1207	Soil	NA	NA	NA	YHKB_BFF2	10	0.8	Louisiana	Katie Burjek
yHRVM49	Candida montana	Ascomycota	Saccharomycotina	46.482739	-86.671216	Plant Matter	Fagus	Fagus sp.	Beech	YHRVM_8CAHD2	10	8	Michigan	"Chris Hittinger, Amanda Hulfachor "
yHQL157	Candida mycetangii	Ascomycota	Saccharomycotina	46.525703	-86.671012	Sap	Pinus	Pinus sp.	Pine	YHQL_A&CH13	10	8	Michigan	Amanda Hulfachor & Chris Hittinger
yHQL158	Candida mycetangii	Ascomycota	Saccharomycotina	46.525703	-86.671012	Sap	Pinus	Pinus sp.	Pine	YHQL_A&CH13	10	8	Michigan	Amanda Hulfachor & Chris Hittinger
yHQL77	Candida mycetangii	Ascomycota	Saccharomycotina	46.485556	-86.660833	Nut	Fagus	Fagus sp.	Beech	YHQL_A&CH22	30	8	Michigan	ABH/CTH
yHRVM21	Candida mycetangii	Ascomycota	Saccharomycotina	46.482739	-86.671216	Plant Matter	Pinus	Pinus strobus	White Pine	YHRVM_12CAHD2	22	8	Michigan	"Chris Hittinger, Amanda Hulfachor"
yHRVM38	Candida mycetangii	Ascomycota	Saccharomycotina	46.482739	-86.671216	Plant Matter	Fagus	Fagus sp.	Beech	YHRVM_8CAHD2	30	8	Michigan	"Chris Hittinger, Amanda Hulfachor "
yHRVM40	Candida mycetangii	Ascomycota	Saccharomycotina	46.482739	-86.671216	Plant Matter	Fagus	Fagus sp.	Beech	YHRVM_11CAHD2	30	8	Michigan	"Chris Hittinger, Amanda Hulfachor "
yHQL135	Candida nitratophila	Ascomycota	Saccharomycotina	46.525703	-86.671012	Sap	Pinus	Pinus sp.	Pine	YHQL_A&CH13	22	8	Michigan	Amanda Hulfachor & Chris Hittinger
yHQL170	Candida nitratophila	Ascomycota	Saccharomycotina	46.525703	-86.671012	Sap	Pinus	Pinus sp.	Pine	YHQL_A&CH13	10	8	Michigan	Amanda Hulfachor & Chris Hittinger
yHQL60	Candida nitratophila	Ascomycota	Saccharomycotina	46.525703	-86.671012	Sap	Pinus	Pinus sp.	Pine	YHQL_A&CH13	22	8	Michigan	Amanda Hulfachor & Chris Hittinger
yHKS273	Candida norvegica	Ascomycota	Saccharomycotina	43.395533	-87.86644	Bark	Acer	Acer saccharum	Sugar Maple	YHKS_#76	10	8	Wisconsin	Kayla Sylvester
yHKS383	Candida norvegica	Ascomycota	Saccharomycotina	43.695741	-87.718414	Soil	Fagus	Fagus grandifolia	American Beech	YHKS_#132	10	8	Wisconsin	Kayla Sylvester
yHKS707	Candida norvegica	Ascomycota	Saccharomycotina	43.695741	-87.718414	Soil	Fagus	Fagus grandifolia	American Beech	YHKS_#240	10	8	Wisconsin	Kayla Sylvester
yHQL676	Candida norvegica	Ascomycota	Saccharomycotina	44.460714	-88.067646	Leaves	Unknown	Unknown	Unknown	YHQL_2	30	8	Wisconsin	"Sorlie, Lisa"
yHKB444	Candida parapsilosis	Ascomycota	Saccharomycotina	29.9511	-90.0715	Soil	NA	NA	NA	YHKB_RT17	10	0.8	Louisiana	Kelly Buh
yHMJ4	Candida parapsilosis	Ascomycota	Saccharomycotina	45.027429	-93.43854	Fruit/Leaves	Rhamnus	Rhamnus cathartica	Buckthorn	YHMJ_6	30	0.8	Minnesota	Martin Jarzyna
yHKB319	Candida pseudoglaebosa	Ascomycota	Saccharomycotina	47.2718	-88.4263	Water	Unknown	Unknown	Pitcherplant	YHKB_RW11	30	0.8	Michigan	Russell Wrobel
yHKB347	Candida pseudoglaebosa	Ascomycota	Saccharomycotina	47.2718	-88.4263	Water	Unknown	Unknown	Pitcherplant	YHKB_RW11	22	0.8	Michigan	Russell Wrobel
yHKB354	Candida pseudoglaebosa	Ascomycota	Saccharomycotina	47.2718	-88.4263	Water	Unknown	Unknown	Pitcherplant	YHKB_RW11	30	0.8	Michigan	Russell Wrobel
yHKB415	Candida pseudoglaebosa	Ascomycota	Saccharomycotina	44.89	-88.3073	Soil	NA	NA	NA	YHKB_LS5	10	0.8	Wisconsin	Lisa Sorlie
yHKB417	Candida pseudoglaebosa	Ascomycota	Saccharomycotina	44.89	-88.3073	Fruit	Malus	Malus sp.	Apple Tree	YHKB_LS8	10	0.8	Wisconsin	Lisa Sorlie
yHKB419	Candida pseudoglaebosa	Ascomycota	Saccharomycotina	44.89	-88.3073	Soil/Plant Matter	Unknown	Unknown	Unknown	YHKB_LS6	10	0.8	Wisconsin	Lisa Sorlie
yHKB448	Candida pseudoglaebosa	Ascomycota	Saccharomycotina	47.2718	-88.4263	Water	Unknown	Unknown	Pitcher plant	YHKB_RW11	10	0.8	Michigan	Russell Wrobel
yHKB457	Candida pseudoglaebosa	Ascomycota	Saccharomycotina	47.173	-88.4488	Fruit	Vaccinium	Vaccinium sp.	Blueberry	YHKB_RW9	10	0.8	Michigan	Russell Wrobel
yHKS310	Candida pseudolambica	Ascomycota	Saccharomycotina	43.695741	-87.718414	Soil	Fagus	Fagus grandifolia	American Beech	YHKS_#126	30	8	Wisconsin	Kayla Sylvester
yHKS47	Candida pseudolambica	Ascomycota	Saccharomycotina	44.560833	-88.093161	Bark	Quercus	Quercus sp.	Oak	YHKS_#31	30	8	Wisconsin	Kayla Sylvester
yHKS59	Candida pseudolambica	Ascomycota	Saccharomycotina	38.816346	-92.383262	Soil	Acer	Acer sp.	Maple	YHKS_#7M	30	8	Missouri	William Alexander
yHQL363	Candida pseudolambica	Ascomycota	Saccharomycotina	42.013309	-89.890341	Soil	NA	NA	NA	YHQL_AS#10	30	8	Illinois	Angela Sheddan
yHQL372	Candida pseudolambica	Ascomycota	Saccharomycotina	42.013309	-89.890341	Soil	NA	NA	NA	YHQL_AS#15	30	8	Illinois	Angela Sheddan
yHQL487	Candida pseudolambica	Ascomycota	Saccharomycotina	42.013309	-89.890341	Soil	NA	NA	NA	YHQL_AS#10	10	8	Illinois	Angela Sheddan
yHKB18	Candida pseudolambica	Ascomycota	Saccharomycotina	29.9403	-90.1207	Soil	NA	NA	NA	YHKB_BFF1	30	0.8	Louisiana	Katie Burjek
yHKB21	Candida pseudolambica	Ascomycota	Saccharomycotina	29.9403	-90.1207	Soil	NA	NA	NA	YHKB_BFF1	22	0.8	Louisiana	Katie Burjek
yHMJ8	Candida pseudolambica	Ascomycota	Saccharomycotina	45.027429	-93.43854	Fruit	Rhus	Rhus glabra	Smooth Sumac	YHMJ_9	30	0.8	Minnesota	martin jarzyna
yHKS644	Candida pseudorhagii	Ascomycota	Saccharomycotina	47.4416	-87.878877	Soil	Pinus	Pinus sp.	Pine	YHKS_#251	22	8	Michigan	Chris Hittinger
yHKS646	Candida pseudorhagii	Ascomycota	Saccharomycotina	47.4416	-87.878877	Soil	Pinus	Pinus sp.	Pine	YHKS_#251	22	8	Michigan	Chris Hittinger
yHMJ558	Candida railenensis	Ascomycota	Saccharomycotina	43.761667	-71.668611	Pine Cone	Unknown	Unknown	Unknown	YHMJ_61	22	unknown	New Hampshire	C. T. Hittinger
yHMJ561	Candida railenensis	Ascomycota	Saccharomycotina	43.761667	-71.668611	Pine Cone	Unknown	Unknown	Unknown	YHMJ_61	22	unknown	New Hampshire	C. T. Hittinger
yHMJ565	Candida railenensis	Ascomycota	Saccharomycotina	43.761944	-71.668611	Nut	Quercus	Quercus sp.	Oak	YHMJ_63	22	unknown	New Hampshire	C. T. Hittinger
yHMJ573	Candida railenensis	Ascomycota	Saccharomycotina	43.761944	-71.668611	Soil	NA	NA	NA	YHMJ_65	22	unknown	New Hampshire	C. T. Hittinger
yHMJ605	Candida railenensis	Ascomycota	Saccharomycotina	43.761667	-71.668611	Bark	Betula	Betula sp.	Birch	YHMJ_59	22	unknown	New Hampshire	C. T. Hittinger
yHRM8	Candida railenensis	Ascomycota	Saccharomycotina	NA	NA	Soil	Betula	Betula sp.	Birch	YHRM_1.6	22	8	Wisconsin	RM
yHKS200	Candida railenensis	Ascomycota	Saccharomycotina	43.695818	-87.718146	Soil	Fagus	Fagus grandifolia	American Beech	YHKS_#47	10	8	Wisconsin	Kayla Sylvester
yHKS201	Candida railenensis	Ascomycota	Saccharomycotina	43.695818	-87.718146	Soil	Acer	Acer sp.	Maple	YHKS_#49	10	8	Wisconsin	Kayla Sylvester
yHKS203	Candida railenensis	Ascomycota	Saccharomycotina	43.695818	-87.718146	Soil	Acer	Acer sp.	Maple	YHKS_#49	10	8	Wisconsin	Kayla Sylvester
yHKS205	Candida railenensis	Ascomycota	Saccharomycotina	43.695818	-87.718146	Soil	Fagus	Fagus grandifolia	American Beech	YHKS_#50	10	8	Wisconsin	Kayla Sylvester
yHKS263	Candida railenensis	Ascomycota	Saccharomycotina	43.567496	-72.289615	Nut	Fagus	Fagus grandifolia	American Beech	YHKS_#93	22	8	New Hampshire	Alysha Heimberg
yHKS279	Candida railenensis	Ascomycota	Saccharomycotina	43.400119	-87.876439	Bark	Gleditsia	Gleditsia triacanthos	Honey Locust	YHKS_#87	10	8	Wisconsin	Kayla Sylvester
yHKS354	Candida railenensis	Ascomycota	Saccharomycotina	43.695741	-87.718414	Nut	Fagus	Fagus grandifolia	American Beech	YHKS_#129	22	8	Wisconsin	Kayla Sylvester
yHKS366	Candida railenensis	Ascomycota	Saccharomycotina	43.695741	-87.718414	Soil	Fagus	Fagus grandifolia	American Beech	YHKS_#132	22	8	Wisconsin	Kayla Sylvester
yHKS368	Candida railenensis	Ascomycota	Saccharomycotina	43.695741	-87.718414	Bark	Fagus	Fagus grandifolia	American Beech	YHKS_#135	22	8	Wisconsin	Kayla Sylvester
yHKS468	Candida railenensis	Ascomycota	Saccharomycotina	48.725722	-122.359948	Bark	Thuja	Thuja plicata	Pacific Redcedar	YHKS_#152	22	8	Washington	Mary B. O'Neill
yHKS597	Candida railenensis	Ascomycota	Saccharomycotina	43.695741	-87.718414	Soil	Fagus	Fagus grandifolia	American Beech	YHKS_#228	22	8	Wisconsin	Kayla Sylvester
yHKS600	Candida railenensis	Ascomycota	Saccharomycotina	43.695741	-87.718414	Soil	Fagus	Fagus grandifolia	American Beech	YHKS_#231	22	8	Wisconsin	Kayla Sylvester
yHKS611	Candida railenensis	Ascomycota	Saccharomycotina	43.695741	-87.718414	Soil	Fagus	Fagus grandifolia	American Beech	YHKS_#239	22	8	Wisconsin	Kayla Sylvester
yHKS621	Candida railenensis	Ascomycota	Saccharomycotina	43.695741	-87.718414	Soil	Fagus	Fagus grandifolia	American Beech	YHKS_#231	30	8	Wisconsin	Kayla Sylvester
yHKS696	Candida railenensis	Ascomycota	Saccharomycotina	43.695741	-87.718414	Soil	Fagus	Fagus grandifolia	American Beech	YHKS_#231	10	8	Wisconsin	Kayla Sylvester
yHKS712	Candida railenensis	Ascomycota	Saccharomycotina	43.695741	-87.718414	Bark	Betula	Betula papyrifera	White Birch	YHKS_#246	10	8	Wisconsin	Kayla Sylvester
yHQL338	Candida railenensis	Ascomycota	Saccharomycotina	42.013309	-89.890341	Twigs	Morus	Morus sp.	Mulberry	YHQL_AS#2	22	8	Illinois	Angela Sheddan
yHQL339	Candida railenensis	Ascomycota	Saccharomycotina	42.013309	-89.890341	Twigs	Morus	Morus alba	White Mulberry	YHQL_AS#2	22	8	Illinois	Angela Sheddan
yHQL340	Candida railenensis	Ascomycota	Saccharomycotina	42.013309	-89.890341	Soil	Morus	Morus alba	White Mulberry	YHQL_AS#3	22	8	Illinois	Angela Sheddan
yHRVM119	Candida railenensis	Ascomycota	Saccharomycotina	37.505725	-76.39895	Fungus	NA	NA	NA	YHRVM_13D3	10	8	Virginia	D. Leith Nye
yHRVM312	Candida railenensis	Ascomycota	Saccharomycotina	43.812565	-91.20873	Bark	Carya	Carya ovata	Shabark Hickory	YHRVM_3D5	10	8	Wisconsin	Drew Doering
yHRVM314	Candida railenensis	Ascomycota	Saccharomycotina	47.291441	-122.302015	Sap	Pseudotsuga	Pseudotsuga menziesii	Douglas Fir	YHRVM_9D5	10	8	Washington	Quinn Langdon
yHRVM315	Candida railenensis	Ascomycota	Saccharomycotina	43.983207	-123.09471	Soil	Unknown	Unknown	Unknown	YHRVM_14D5	10	8	Oregon	Quinn Langdon
yHRVM319	Candida railenensis	Ascomycota	Saccharomycotina	47.291441	-122.302015	Fruit	Gaultheria	Gaultheria shallon	Salal	YHRVM_13D5	10	8	Washington	Quinn Langdon
yHKB110	Candida railenensis	Ascomycota	Saccharomycotina	44	-88	Soil	Fagus	Fagus grandifolia	American Beech	YHKB_KBOCT3	22	0.8	Wisconsin	Bill Saucier
yHKB111	Candida railenensis	Ascomycota	Saccharomycotina	44	-88	Soil	Pinus	Pinus strobus	White Pine	YHKB_KBOCT5	22	0.8	Wisconsin	Bill Saucier
yHKB117	Candida railenensis	Ascomycota	Saccharomycotina	44.3878	-71.1731	Fruit/Leaves	Malus	Malus sp.	Apple	YHKB_NH7	22	0.8	New Hampshire	Beth Sargent
yHKB132	Candida railenensis	Ascomycota	Saccharomycotina	44	-88	Soil	Quercus	Quercus rubra	Red Oak	YHKB_KBOCT6	22	0.8	Wisconsin	Bill Saucier
yHKB165	Candida railenensis	Ascomycota	Saccharomycotina	44	-88	Soil	Quercus	Quercus rubra	Red Oak	YHKB_KBOCT7	10	0.8	Wisconsin	Bill Saucier
yHKB166	Candida railenensis	Ascomycota	Saccharomycotina	44	-88	Soil	Quercus	Quercus rubra	Red Oak	YHKB_KBOCT6	10	0.8	Wisconsin	Bill Saucier
yHKB188	Candida railenensis	Ascomycota	Saccharomycotina	44.3878	-71.1731	Fruit/Leaves	Malus	Malus sp.	Apple	YHKB_NH7	10	0.8	New Hampshire	Beth Sargent
yHKB337	Candida railenensis	Ascomycota	Saccharomycotina	42.1872	-93.5956	Duff	Unknown	Unknown	Unknown	YHKB_RT6	22	0.8	Iowa	Kelly Buh
yHKB340	Candida railenensis	Ascomycota	Saccharomycotina	42.1872	-93.5956	Duff	Unknown	Unknown	Unknown	YHKB_RT6	22	0.8	Iowa	Kelly Buh
yHKB402	Candida railenensis	Ascomycota	Saccharomycotina	44	-88	Soil	Quercus	Quercus rubra	Red Oak	YHKB_KBOCT6	4	0.8	Wisconsin	Bill Saucier
yHKB460	Candida railenensis	Ascomycota	Saccharomycotina	47.2718	-88.4263	Plant Matter	Lycopodium	Lycopodium obscurum	Princess Pine	YHKB_RW4	10	0.8	Michigan	Russell Wrobel
