Specific	Species	pval	Observed	Expected	Difference	BH_Padj
Sawdust	Debaryomyces sp.	0.0032	1	0.0032	0.9968	0.0715
Fungus	Suhomyces tanzawaensis	0.0037	2	0.1276	1.8724	0.0752631578947368
Sap	Candida nitratophila	0.0037	1	0.0037	0.9963	0.0752631578947368
Flower/Leaves	Cyberlindnera sp.	0.0038	1	0.0038	0.9962	0.0752631578947368
Leaves	Meyerozyma caribbica	0.0038	6	1.6447	4.3553	0.0752631578947368
Flower	Candida bombi	0.004	1	0.004	0.996	0.0752631578947368
Nut	Candida boleticola	0.004	2	0.0996	1.9004	0.0752631578947368
Humus	Trichosporon moniliiforme	0.0043	1	0.0043	0.9957	0.0784756097560975
Leaves/Bark	Mrakia psychrophila	0.0045	1	0.0045	0.9955	0.0784756097560975
Sap	Saccharomycopsis sp.	0.0045	1	0.0045	0.9955	0.0784756097560975
Sap	Kuraishia capsulata	0.0048	1	0.0048	0.9952	0.0817142857142857
Fruit	Aureobasidium pullulans	0.0052	4	0.7923	3.2077	0.0845
Grass	Meyerozyma guilliermondii	0.0052	1	0.0052	0.9948	0.0845
Leaves	Leotiomycetes sp.	0.0054	4	0.8197	3.1803	0.0858
Seed	Candida sorboxylosa	0.0057	1	0.0057	0.9943	0.0863396226415094
Soil/Bark	Ogataea naganishii	0.0059	1	0.0059	0.9941	0.0863396226415094
Bark	Saccharomyces eubayanus	0.006	6	1.9912	4.0088	0.0863396226415094
Leaves	Nakazawaea anatomiae/populi sp. complex	0.006	4	0.8168	3.1832	0.0863396226415094
Bark	Kluyveromyces lactis	0.0061	11	5.1354	5.8646	0.0863396226415094
Seed	Pichia sporocuriosa	0.0062	1	0.0062	0.9938	0.0863396226415094
Sand	Kazachstania martiniae	0.0063	4	0.7381	3.2619	0.0863396226415094
Soil/Plant Matter	Sugiyamaella novakii	0.0064	1	0.0064	0.9936	0.0863396226415094
Soil/Twigs/Fungus	Candida inconspicua	0.0082	1	0.0082	0.9918	0.105368421052632
Bark	Torulaspora delbrueckii	0.0083	32	21.544	10.456	0.105368421052632
Leaves	Kwoniella heavenensis	0.0084	2	0.1863	1.8137	0.105368421052632
Nut	Candida railenensis	0.0084	3	0.4483	2.5517	0.105368421052632
Leaves	Candida xestobii	0.0087	2	0.178	1.822	0.10725
Sawdust	Schwanniomyces vanrijiae	0.0094	1	0.0094	0.9906	0.112493333333333
Sap	Cyberlindnera fabianii	0.0095	1	0.0095	0.9905	0.112493333333333
Berries/Needles	Nakazawaea holstii	0.0097	1	0.0097	0.9903	0.112493333333333
Needles	Hanseniaspora valbyensis	0.0098	1	0.0098	0.9902	0.112493333333333
Needles	Kwoniella pini	0.01	1	0.01	0.99	0.112493333333333
Ash	Geotrichum candidum	0.0102	1	0.0102	0.9898	0.112493333333333
Twigs	Candida zeylanoides	0.0104	1	0.0104	0.9896	0.112493333333333
Fungus	Candida boleticola	0.0106	3	0.5007	2.4993	0.112493333333333
Grass	Wickerhamomyces onychis	0.0106	1	0.0107	0.9893	0.112493333333333
Sand	Saccharomyces cerevisiae	0.0107	3	0.4416	2.5584	0.112493333333333
Twigs	Phialemoniopsis ocularis	0.0109	1	0.0109	0.9891	0.112493333333333
Soil/Twigs/Fungus	Geotrichum candidum	0.0111	1	0.0112	0.9888	0.112493333333333
Soil/Bark	Lachancea nothofagi	0.0116	1	0.0117	0.9883	0.112493333333333
Wood	Cyberlindnera jadinii	0.0116	1	0.0116	0.9884	0.112493333333333
Wood	Sugiyamaella smithiae	0.0116	1	0.0116	0.9884	0.112493333333333
Twigs	Wickerhamomyces anomalus	0.0117	2	0.1734	1.8266	0.112493333333333
Wood	Wickerhamomyces anomalus	0.0118	2	0.1615	1.8385	0.112493333333333
Pine Cone	Zygoascus meyerae/hellenicus	0.012	1	0.012	0.988	0.112894736842105
Bulb	Cystofilobasidium infirmominatum	0.0123	1	0.0123	0.9877	0.114214285714286
Ash	Pichia kudriavzevii	0.0125	1	0.0126	0.9874	0.1144
Fruit/Leaves	Krasilnikovozyma huempii	0.0127	1	0.0127	0.9873	0.1144
Feather	Tausonia pullulans	0.0128	1	0.0128	0.9872	0.1144
Spider	Cryptococcus flavescens	0.013	1	0.013	0.987	0.114753086419753
Fruit/Leaves	Cystofilobasidium	0.0137	1	0.0137	0.9863	0.119457317073171
Soil	Kazachstania martiniae	0.014	18	11.3085	6.6915	0.120602409638554
Leaves	Candida sp.	0.0146	4	1.0169	2.9831	0.123652941176471
Bulb	Rhodosporidiobolus colostri	0.0147	1	0.0148	0.9852	0.123652941176471
Fruit	Kuraishia molischiana	0.0155	2	0.217	1.783	0.128206896551724
Spider	Aureobasidium pullulans	0.0156	1	0.0156	0.9844	0.128206896551724
Moss	Ogataea dorogensis	0.0159	1	0.0159	0.9841	0.1291875
Nut	Kluyveromyces dobzhanskii	0.0162	2	0.1991	1.8009	0.13014606741573
Humus	Cyberlindnera veronae	0.017	1	0.0171	0.9829	0.13178431372549
Moss	Thelebolus sp.	0.0172	1	0.0172	0.9828	0.13178431372549
