Specific	Species	pval	Observed	Expected	Difference	BH_Padj
Twigs	Lachancea fermentati	0.1579	1	0.1692	0.8308	0.345255351681957
Plant Matter	Yamadazyma mexicana	0.1593	1	0.171	0.829	0.34641641337386
Sap	Candida railenensis	0.1594	1	0.1715	0.8285	0.34641641337386
Moss	Debaryomyces hansenii	0.161	1	0.1726	0.8274	0.348294910179641
Grass	Cystofilobasidium capitatum	0.1624	1	0.1745	0.8255	0.348294910179641
Needles	Nakazawaea holstii	0.1624	1	0.1742	0.8258	0.348294910179641
Soil	Candida sake	0.1625	16	12.6117	3.3883	0.348294910179641
Moss	Mrakia sp.	0.1627	3	1.4329	1.5671	0.348294910179641
Needles	Rhodotorula nothofagi	0.1654	1	0.1802	0.8198	0.352392857142857
Fruit/Leaves	Teunomyces cretensis/kruisii complex	0.1656	1	0.1802	0.8198	0.352392857142857
Soil/Grass	Candida sake	0.1661	1	0.1789	0.8211	0.352408011869436
Moss	Tausonia pullulans	0.1679	1	0.1825	0.8175	0.355173076923077
Sand	Leucosporidium scottii	0.1694	1	0.1828	0.8172	0.356869117647059
Bark	Sydowia polyspora	0.1697	2	0.7818	1.2182	0.356869117647059
Leaves	Suhomyces xylopsoci/prunicola/pyralidae	0.171	1	0.1803	0.8197	0.357708454810496
Leaves	Piskurozyma taiwanensis	0.1711	1	0.1793	0.8207	0.357708454810496
Leaves	Pueraria montana	0.1716	1	0.1804	0.8196	0.357708454810496
Leaves	Pichia terricola	0.1724	1	0.18	0.82	0.358331395348837
Leaves	Groenewaldozyma salmanticensis	0.1734	1	0.1813	0.8187	0.359365217391304
Bulb	Cystofilobasidium capitatum	0.1741	1	0.1879	0.8121	0.359773121387283
Leaves	Leucosporidium fellii	0.1752	1	0.1844	0.8156	0.36100288184438
Leaves	Zygosaccharomyces florentinus	0.1758	1	0.1846	0.8154	0.361198275862069
Bark	Metschnikowia viticola	0.1768	2	0.7907	1.2093	0.361585714285714
Fungus	Candida savonica	0.177	1	0.1892	0.8108	0.361585714285714
Leaves	Saturnispora zaruensis	0.1787	1	0.1875	0.8125	0.364018518518519
Duff	Candida boidinii	0.18	1	0.1943	0.8057	0.365625
Fruit/Leaves	Rhodotorula nothofagi	0.1816	1	0.1997	0.8003	0.367369014084507
Flower/Leaves	Mrakia gelida	0.1821	1	0.2	0.8	0.367369014084507
Plant Matter	Schwanniomyces polymorphus	0.1824	1	0.1965	0.8035	0.367369014084507
Bark	Cyberlindnera veronae	0.1847	2	0.7995	1.2005	0.370956460674157
Duff	Saccharomyces cerevisiae	0.1855	2	0.7911	1.2089	0.371519607843137
Fruit/Leaves	Meyerozyma caribbica	0.1868	1	0.2063	0.7937	0.372437325905292
Plant Matter	Cryptococcus victoriae	0.187	1	0.2021	0.7979	0.372437325905292
Lichen	Lachancea thermotolerans	0.1885	1	0.2063	0.7937	0.374269329896907
Nut	Nakazawaea holstii	0.1899	1	0.2083	0.7917	0.374269329896907
Bark	Phaeoacremonium rubrigenum	0.1909	1	0.1909	0.8091	0.374269329896907
Bark	Talaromyces amestolkiae	0.1911	1	0.1911	0.8089	0.374269329896907
Soil	Candida boidinii	0.1922	3	1.6095	1.3905	0.374269329896907
Bark	Wickerhamomyces hampsirensis	0.1924	1	0.1924	0.8076	0.374269329896907
Bark	Cryptococcus carnescens	0.1926	1	0.1926	0.8074	0.374269329896907
Bark	Suhomyces atakaporum	0.1937	1	0.1937	0.8063	0.374269329896907
Fruit	Hanseniaspora sp.	0.1948	1	0.2094	0.7906	0.374269329896907
Bark	Cyberlindnera japonica	0.1963	1	0.1963	0.8037	0.374269329896907
Bark	Saccharomyces uvarum	0.1963	1	0.1963	0.8037	0.374269329896907
Bark	Pichia occidentalis	0.1965	1	0.1965	0.8035	0.374269329896907
Bark	Tremella moriformis	0.197	1	0.197	0.803	0.374269329896907
Moss	Pichia manshurica	0.1975	1	0.2154	0.7846	0.374269329896907
Bark	Kuraishia ogatae	0.198	1	0.198	0.802	0.374269329896907
Bark	Hypocrea lixii	0.1981	1	0.1981	0.8019	0.374269329896907
Nut	Meyerozyma caribbica	0.1991	1	0.2182	0.7818	0.374269329896907
Leaves	Leucosporidium scottii	0.1992	2	0.8307	1.1693	0.374269329896907
Bark	Lachancea lanzarotensis	0.1993	1	0.1993	0.8007	0.374269329896907
Bark	Cyberlindnera suaveolens	0.1994	1	0.1994	0.8006	0.374269329896907
Needles	Hanseniaspora vineae	0.2002	1	0.2213	0.7787	0.374269329896907
Bark	Candida subhashii	0.2012	1	0.2012	0.7988	0.374269329896907
Bark	Rhodosporidium babjevae	0.2013	1	0.2013	0.7987	0.374269329896907
Bark	Cryptococcus cuniculi	0.2015	1	0.2015	0.7985	0.374269329896907
Bark	Ogataea zsoltii	0.2016	1	0.2016	0.7984	0.374269329896907
Fruit	Kwoniella shandongensis	0.2027	1	0.2177	0.7823	0.374269329896907
Bark	Tremella encephala	0.2028	1	0.2028	0.7972	0.374269329896907
Fruit	Candida germanica	0.2028	1	0.2181	0.7819	0.374269329896907
Bark	Cystofilobasidium sp.	0.2031	1	0.2031	0.7969	0.374269329896907
Bark	Fibulobasidium inconspicuum	0.2049	1	0.2049	0.7951	0.37560358056266
Lichen	Saccharomyces paradoxus	0.205	1	0.2262	0.7738	0.37560358056266
Bark	Saturnispora dispora	0.2054	1	0.2054	0.7946	0.37560358056266
Sawdust	Cystofilobasidium capitatum	0.2063	1	0.2237	0.7763	0.376286989795918
Duff	Schwanniomyces pseudopolymorphus	0.207	1	0.2282	0.7718	0.376603053435115
Fruit	Pichia fermentans	0.2086	2	0.8537	1.1463	0.37855076142132
Needles	Cyberlindnera saturnus	0.2105	1	0.2334	0.7666	0.38103164556962
Wood	Cyberlindnera saturnus	0.2117	1	0.2362	0.7638	0.382236111111111
Humus	Mrakia gelida	0.2137	1	0.2393	0.7607	0.384875314861461
Fungus	Scheffersomyces shehatae	0.2206	1	0.244	0.756	0.396304020100503
Fungus	Lachancea thermotolerans/quebecensis	0.2276	1	0.2489	0.7511	0.407854636591479
Fungus	Rhodotorula glutinis	0.2303	1	0.2517	0.7483	0.41166125
Sap	Hanseniaspora uvarum	0.2312	1	0.258	0.742	0.412239401496259
Duff	Lecythophora sp.	0.2345	1	0.2614	0.7386	0.415903465346535
Flower/Leaves	Cystofilobasidium capitatum	0.2349	1	0.2594	0.7406	0.415903465346535
Soil/Bark	Mrakia sp.	0.235	1	0.2602	0.7398	0.415903465346535
Moss	Mrakia gelida	0.2371	2	0.9319	1.0681	0.418583950617284
Flower	Metschnikowia pulcherrima sp. complex	0.2407	1	0.2705	0.7295	0.423892857142857
Leaves	Mrakiella aquatica	0.2433	1	0.2662	0.7338	0.42620293398533
Plant Matter	Candida boleticola	0.2434	1	0.2681	0.7319	0.42620293398533
Moss	Teunomyces cretensis/kruisii complex	0.2438	1	0.277	0.723	0.42620293398533
Soil/Plant Matter	Candida sake	0.2466	1	0.279	0.721	0.429520631067961
Leaves	Hanseniaspora sp.	0.2469	1	0.2701	0.7299	0.429520631067961
Leaves	Candida germanica	0.2475	1	0.2729	0.7271	0.429520631067961
Leaves	Kwoniella betulae	0.2514	1	0.2769	0.7231	0.435232445520581
Duff	Cystofilobasidium capitatum	0.2526	4	2.5504	1.4496	0.43589156626506
Soil	Cyberlindnera culbertsonii	0.253	2	0.9744	1.0256	0.43589156626506
Fruit	Mrakiella cryoconiti	0.255	1	0.283	0.717	0.437401678657074
Bark	Debaryomyces hansenii	0.2551	3	1.7914	1.2086	0.437401678657074
Bark	Cystofilobasidium infirmominatum	0.2572	2	0.9813	1.0187	0.439044047619048
Moss	Lachancea fermentati	0.2575	1	0.2954	0.7046	0.439044047619048
Fruit	Metschnikowia reukaufii	0.2579	1	0.2874	0.7126	0.439044047619048
Flotsam	Torulaspora delbrueckii	0.2594	1	0.2885	0.7115	0.439843601895735
Bark	Nakazawaea anatomiae/populi sp. complex	0.2596	3	1.7978	1.2022	0.439843601895735
Bark	Yamadazyma mexicana	0.2613	2	0.9907	1.0093	0.441478773584906
Plant Matter	Leucosporidium scottii	0.2618	1	0.2996	0.7004	0.441478773584906
Plant Matter	Nakazawaea anatomiae/populi sp. complex	0.265	1	0.3026	0.6974	0.445823529411765
Leaves	Aureobasidium pullulans	0.267	2	1.0019	0.9981	0.448133802816901
Fruit	Metschnikowia viticola	0.2678	1	0.2987	0.7013	0.448423887587822
Plant Matter	Cryptococcus flavescens	0.287	1	0.3291	0.6709	0.479166666666667
Moss	Hanseniaspora uvarum	0.2875	2	1.0528	0.9472	0.479166666666667
Sand	Lachancea fermentati	0.2918	1	0.3354	0.6646	0.485202325581395
Soil	Kluyveromyces dobzhanskii	0.2949	7	5.4982	1.5018	0.489219257540603
Leaves	Pichia fermentans	0.297	2	1.0853	0.9147	0.491438940092166
Leaves/Bark	Mrakia sp.	0.2979	1	0.3479	0.6521	0.491438940092166
Leaves	Pichia manshurica	0.2983	2	1.0897	0.9103	0.491438940092166
Fruit	Metschnikowia pulcherrima sp. complex	0.3011	5	3.6478	1.3522	0.494911494252874
Flower	Cystofilobasidium capitatum	0.3095	1	0.3605	0.6395	0.499280383795309
Needles	Kazachstania martiniae	0.3097	1	0.3669	0.6331	0.499280383795309
Soil/Plant Matter	Mrakia gelida	0.3129	1	0.3675	0.6325	0.499280383795309
Sand	Meyerozyma caribbica	0.315	1	0.371	0.629	0.499280383795309
Soil	Leucosporidium drummii	0.3161	1	0.3161	0.6839	0.499280383795309
Soil	Cystofilobasidium mecerans	0.3163	1	0.3163	0.6837	0.499280383795309
Soil	Rhodotorula nothofagii	0.3172	1	0.3172	0.6828	0.499280383795309
Soil	Scheffersomyces stipitis	0.3174	1	0.3174	0.6826	0.499280383795309
Soil	Candida jaroonii	0.3177	1	0.3177	0.6823	0.499280383795309
Soil	Kazachstania aerobia	0.3177	1	0.3177	0.6823	0.499280383795309
Soil	Phenoliferia glacialis	0.3185	1	0.3185	0.6815	0.499280383795309
Soil	Kloeckera lindneri	0.319	1	0.319	0.681	0.499280383795309
Wood	Torulaspora delbrueckii	0.319	2	1.152	0.848	0.499280383795309
Leaves	Candida norvegica	0.3191	1	0.3665	0.6335	0.499280383795309
Needles	Candida railenensis	0.3191	1	0.3784	0.6216	0.499280383795309
Soil	Vanrija musci	0.3193	1	0.3193	0.6807	0.499280383795309
Soil	Cryptococcus heveanensis	0.3194	1	0.3194	0.6806	0.499280383795309
Soil	Trichosporon xylopini	0.3195	1	0.3195	0.6805	0.499280383795309
Leaves	Rhodotorula mucilaginosa	0.3198	1	0.3656	0.6344	0.499280383795309
Soil	Aureobasidium sp.	0.32	1	0.32	0.68	0.499280383795309
Soil	Candida friedrichii	0.3203	1	0.3203	0.6797	0.499280383795309
Soil	Solicoccozyma aeria	0.3217	1	0.3217	0.6783	0.499280383795309
Leaves	Metschnikowia pulcherrima sp. complex	0.3228	6	4.652	1.348	0.499280383795309
Soil	Rhodotorula paludigena	0.3229	1	0.3229	0.6771	0.499280383795309
Soil	Cryptococcus podzolicus	0.3233	1	0.3233	0.6767	0.499280383795309
Soil	Kluyveromyces lactis	0.3239	10	8.4417	1.5583	0.499280383795309
Soil	Candida pseudorhagii	0.3242	1	0.3242	0.6758	0.499280383795309
Soil	Mrakia aquatica	0.3243	1	0.3243	0.6757	0.499280383795309
Soil	Lachancea thermotolerans	0.3245	14	12.2903	1.7097	0.499280383795309
Soil	Ogataea sp.	0.3255	1	0.3255	0.6745	0.499280383795309
Soil	Cryptococcus tahquamenonensis	0.3262	1	0.3262	0.6738	0.499280383795309
Twigs	Candida railenensis	0.3268	1	0.3913	0.6087	0.499280383795309
Soil	Caulerpa cupressoides	0.3274	1	0.3274	0.6726	0.499280383795309
Plant Matter	Kazachstania martiniae	0.3275	2	1.1734	0.8266	0.499280383795309
Soil	Nakazawaea sp.	0.3289	1	0.3289	0.6711	0.500347872340426
Plant Matter	Kluyveromyces marxianus	0.33	1	0.3912	0.6088	0.500955414012739
Soil	Trichosporon asahii	0.3319	1	0.3319	0.6681	0.502772245762712
Soil	Rhodosporidiobolus poonsookiae	0.3351	1	0.3351	0.6649	0.506546511627907
Soil	Candida melibiosica	0.3363	1	0.3363	0.6637	0.506822105263158
Wood	Lachancea thermotolerans	0.3367	1	0.4021	0.5979	0.506822105263158
Bark	Teunomyces carpophila	0.3393	2	1.1808	0.8192	0.50782949790795
Twigs	Lachancea thermotolerans	0.3393	1	0.4086	0.5914	0.50782949790795
Soil	Cystofilobasidium capitatum	0.3395	24	21.9541	2.0459	0.50782949790795
Wood	Candida sake	0.3426	1	0.4131	0.5869	0.511396659707725
Bark	Cryptococcus gastricus	0.3444	2	1.2003	0.7997	0.5130125
Bark	Sugiyamaella lignohabitans	0.3484	1	0.3867	0.6133	0.517891891891892
Bark	Coniochaeta ligniaria	0.3494	1	0.383	0.617	0.518300829875519
Bark	Ogataea naganishii	0.3527	1	0.388	0.612	0.520949588477366
Bark	Leucosporidium fellii	0.3535	1	0.3896	0.6104	0.520949588477366
Fruit/Leaves	Candida railenensis	0.354	1	0.4275	0.5725	0.520949588477366
Plant Matter	Scheffersomyces ergatensis	0.3541	1	0.4247	0.5753	0.520949588477366
Bark	Cryptococcus surugaensis	0.3549	1	0.3914	0.6086	0.521054414784394
Bark	Ambrosiozyma oregonensis	0.3563	1	0.3943	0.6057	0.521717479674797
Fungus	Candida santamariae	0.3581	1	0.4292	0.5708	0.521717479674797
Bark	Lachancea waltii	0.3584	1	0.3998	0.6002	0.521717479674797
Moss	Cystofilobasidium capitatum	0.3586	2	1.2594	0.7406	0.521717479674797
Duff	Pichia manshurica	0.359	1	0.4357	0.5643	0.521717479674797
Bark	Candida sake	0.3649	9	7.7347	1.2653	0.529216024340771
Fruit	Rhodotorula fujisanensis	0.367	1	0.4358	0.5642	0.530483870967742
Duff	Pichia fermentans	0.3676	1	0.449	0.551	0.530483870967742
Duff	Kluyveromyces marxianus	0.368	1	0.4425	0.5575	0.530483870967742
Leaves	Pichia kluyveri	0.369	1	0.4397	0.5603	0.530855130784708
Fruit	Cystofilobasidium capitatum	0.3701	6	4.9218	1.0782	0.531368473895582
Pine Cone	Candida railenensis	0.3714	1	0.4525	0.5475	0.532166332665331
Fruit	Rhodosporidiobolus colostri	0.3735	1	0.4436	0.5564	0.533116533864542
Needles	Saccharomyces paradoxus	0.3736	1	0.4577	0.5423	0.533116533864542
Nut	Lachancea thermotolerans	0.3743	1	0.4596	0.5404	0.533116533864542
Leaves	Candida boidinii	0.3755	1	0.4501	0.5499	0.533762425447316
Soil	Rhodotorula mucilaginosa	0.3859	2	1.2917	0.7083	0.547457341269841
Bark	Nakazawaea holstii	0.3874	4	3.1449	0.8551	0.54849702970297
Soil	Scheffersomyces shehatae	0.3917	2	1.2998	0.7002	0.553489130434783
Sand	Cyberlindnera saturnus	0.3968	1	0.4938	0.5062	0.559589743589744
Soil	Candida norvegica	0.3983	2	1.3148	0.6852	0.559638506876228
Soil	Vanrija humicola	0.3984	3	2.2508	0.7492	0.559638506876228
Duff	Scheffersomyces ergatensis	0.3993	1	0.492	0.508	0.559802941176471
Soil	Mrakia frigida	0.4046	3	2.2641	0.7359	0.5651572265625
Soil/Plant Matter	Cystofilobasidium capitatum	0.4047	1	0.5026	0.4974	0.5651572265625
Soil/Grass	Torulaspora delbrueckii	0.4072	1	0.5026	0.4974	0.567539961013645
Soil	Candida santamariae	0.409	3	2.2714	0.7286	0.568939688715953
Fruit	Candida pseudolambica	0.4169	1	0.5145	0.4855	0.578802912621359
Plant Matter	Nakazawaea holstii	0.4181	1	0.5303	0.4697	0.579343992248062
Bark	Barnettozyma californica	0.419	2	1.3921	0.6079	0.579468085106383
Duff	Lachancea thermotolerans	0.4205	2	1.4124	0.5876	0.580419884169884
Twigs	Metschnikowia pulcherrima sp. complex	0.4221	1	0.5415	0.4585	0.581505780346821
Plant Matter	Saccharomyces paradoxus	0.423	2	1.4354	0.5646	0.581625
Leaves	Hanseniaspora uvarum	0.4247	6	5.2032	0.7968	0.582841650671785
Soil	Lachancea fermentati	0.4277	6	5.2112	0.7888	0.58583429118774
Leaves	Hanseniaspora osmophila	0.4301	1	0.5352	0.4648	0.587995219885277
Fungus	Leucosporidium scottii	0.4332	1	0.5498	0.4502	0.591103053435114
Duff	Teunomyces cretensis/kruisii complex	0.4344	1	0.5591	0.4409	0.591611428571429
Soil/Plant Matter	Mrakia sp.	0.436	1	0.5544	0.4456	0.592661596958175
Leaves	Teunomyces carpophila	0.4415	1	0.5523	0.4477	0.598541666666667
Plant Matter	Kluyveromyces dobzhanskii	0.442	1	0.5737	0.4263	0.598541666666667
Leaves	Rhodosporidiobolus colostri	0.4457	1	0.5535	0.4465	0.602411153119093
Fruit	Hanseniaspora vineae	0.4487	2	1.5056	0.4944	0.605321698113208
Duff	Wickerhamomyces anomalus	0.4516	1	0.5927	0.4073	0.608086629001883
Lichen	Torulaspora delbrueckii	0.4539	1	0.5746	0.4254	0.61003477443609
Fruit	Saccharomyces cerevisiae	0.4619	2	1.5253	0.4747	0.619621951219512
Bark	Mrakia sp.	0.4697	16	15.3049	0.6951	0.628905430711611
Nut	Metschnikowia pulcherrima sp. complex	0.4744	1	0.6276	0.3724	0.633455637707948
Soil	Mrakia gelida	0.475	17	16.4034	0.596599999999999	0.633455637707948
Plant Matter	Curvibasidium cygneicollum	0.4764	1	0.6331	0.3669	0.633455637707948
Pine Cone	Metschnikowia pulcherrima sp. complex	0.4777	1	0.6355	0.3645	0.633455637707948
Bark	Candida germanica	0.4785	1	0.5941	0.4059	0.633455637707948
Bark	Candida savonica	0.4786	1	0.5876	0.4124	0.633455637707948
Bark	Nakazawaea molendini-olei	0.4793	1	0.5862	0.4138	0.633455637707948
Bark	Metschnikowia sp.	0.482	1	0.5879	0.4121	0.635848708487085
Bark	Mrakiella aquatica	0.4853	1	0.5949	0.4051	0.639023020257827
Fruit	Leotiomycetes sp.	0.4869	1	0.6472	0.3528	0.639951286764706
Leaves	Mrakia frigida	0.4905	1	0.6369	0.3631	0.6435
Leaves	Pichia kudriavzevii	0.4937	1	0.6492	0.3508	0.646511904761905
Fruit	Cryptococcus sp.	0.4948	1	0.6539	0.3461	0.646767824497258
Fruit/Leaves	Hanseniaspora uvarum	0.4977	1	0.6748	0.3252	0.649360655737705
Duff	Meyerozyma caribbica	0.4986	1	0.6761	0.3239	0.649360655737705
Plant Matter	Saccharomyces cerevisiae	0.5052	1	0.6873	0.3127	0.65676
Plant Matter	Hanseniaspora vineae	0.5123	1	0.7021	0.2979	0.664781306715064
Soil	Geotrichum candidum	0.514	2	1.6058	0.3942	0.665778985507246
Moss	Candida sake	0.5158	1	0.7136	0.2864	0.666902350813743
Seed	Torulaspora delbrueckii	0.5189	1	0.7146	0.2854	0.668621621621622
Fruit	Tausonia pullulans	0.519	1	0.7101	0.2899	0.668621621621622
Leaves	Candida boleticola	0.5305	1	0.7165	0.2835	0.68220773381295
Soil	Candida parapsilosis	0.5336	1	0.6296	0.3704	0.682843915343915
Soil	Kwoniella heveanensis	0.5344	1	0.6363	0.3637	0.682843915343915
Soil	Zygosaccharomyces florentinus	0.5344	1	0.6364	0.3636	0.682843915343915
Fungus	Mrakia blollopis	0.5365	1	0.7334	0.2666	0.682843915343915
Soil	Pichia terricola	0.5378	1	0.6407	0.3593	0.682843915343915
Soil	Sugiyamaella paludigena	0.5383	1	0.6446	0.3554	0.682843915343915
Soil	Mrakia robertii	0.5387	1	0.6441	0.3559	0.682843915343915
Soil	Groenewaldozyma salmanticensis	0.5395	1	0.635	0.365	0.682843915343915
Bark	Curvibasidium cygneicollum	0.5401	4	3.7778	0.2222	0.682843915343915
Soil	Cryptococcus pseudolongus	0.5406	1	0.6464	0.3536	0.682843915343915
Plant Matter	Cyberlindnera saturnus	0.5415	1	0.7714	0.2286	0.682843915343915
Soil	Goffeauzyma gastrica	0.5455	1	0.6496	0.3504	0.685197898423818
Soil	Naganishia albida	0.5457	1	0.6504	0.3496	0.685197898423818
Soil	Vanrija albida	0.5465	1	0.6492	0.3508	0.685197898423818
Fungus	Pichia manshurica	0.5472	1	0.7569	0.2431	0.685197898423818
Soil	Starmerella bombicola	0.5483	1	0.6557	0.3443	0.685229094076655
Soil	Pueraria montana	0.5498	1	0.6597	0.3403	0.685229094076655
Soil	Lachancea waltii	0.5501	1	0.6514	0.3486	0.685229094076655
Soil	Meyerozyma caribbica	0.5535	6	5.8161	0.1839	0.688265217391304
Duff	Mrakia sp.	0.5566	3	2.8705	0.1295	0.690012110726643
Twigs	Mrakia sp.	0.5576	1	0.8019	0.1981	0.690012110726643
Sand	Lachancea thermotolerans	0.5578	1	0.7969	0.2031	0.690012110726643
Sand	Candida sake	0.5609	1	0.8079	0.1921	0.692648531951641
Bark	Cryptococcus sp.	0.5659	2	1.7975	0.2025	0.697618103448276
Plant Matter	Hanseniaspora uvarum	0.5763	2	1.9054	0.0946	0.709216006884682
Duff	Mrakia gelida	0.5781	2	1.904	0.0960000000000001	0.710208762886598
Soil	Cryptococcus sp.	0.5825	3	2.8651	0.1349	0.713408390410959
Bark	Scheffersomyces shehatae	0.5827	1	0.7936	0.2064	0.713408390410959
Bark	Lachancea thermotolerans/quebecensis	0.584	1	0.7847	0.2153	0.713777777777778
Bark	Candida norvegica	0.5861	1	0.7888	0.2112	0.714393039049236
Bark	Schizosaccharomyces japonicus	0.5876	1	0.7886	0.2114	0.714393039049236
Bark	Candida railenensis	0.588	7	7.126	-0.126	0.714393039049236
Bark	Candida tropicalis	0.5885	1	0.7968	0.2032	0.714393039049236
Leaves	Hanseniaspora vineae	0.5945	2	1.9357	0.0643	0.720453389830509
Bark	Mrakiella cryoconiti	0.5998	1	0.8149	0.1851	0.724782939189189
Sand	Saccharomyces paradoxus	0.6001	1	0.8996	0.1004	0.724782939189189
Fruit/Leaves	Mrakia sp.	0.606	1	0.8973	0.1027	0.730674536256324
Moss	Torulaspora delbrueckii	0.6084	2	2.0088	-0.00879999999999992	0.732333333333333
Leaves	Saccharomyces eubayanus	0.6104	1	0.9003	0.0997	0.733505882352941
Bark	Cryptococcus flavescens	0.6207	2	1.9724	0.0276000000000001	0.744631711409396
Nut	Mrakia sp.	0.6274	1	0.9588	0.0412	0.751408710217755
Soil	Rhodosporidiobolus colostri	0.6285	2	1.9321	0.0679000000000001	0.751467391304348
Duff	Kluyveromyces lactis	0.6298	1	0.9657	0.0343	0.751764607679466
Soil	Hanseniaspora osmophila	0.6345	2	1.9475	0.0525	0.7561125
Pine Cone	Mrakia sp.	0.6366	1	0.9736	0.0264	0.757352745424293
Bark	Lachancea fermentati	0.6428	3	3.1757	-0.1757	0.763458471760797
Leaves	Lachancea kluyveri	0.6586	2	2.1851	-0.1851	0.780927031509121
Fungus	Rhodotorula nothofagi	0.6619	1	1.0477	-0.0477000000000001	0.783540562913907
Bark	Candida sp.	0.6682	2	2.168	-0.168	0.789690909090909
Bark	Aureobasidium pullulans	0.6773	2	2.1859	-0.1859	0.798632619439868
Soil	Saccharomyces eubayanus	0.678	3	3.2454	-0.2454	0.798632619439868
Soil	Zygowilliopsis californica	0.688	1	0.9698	0.0302	0.803330357142857
Soil	Kodamaea meredithiae	0.6881	1	0.9651	0.0349	0.803330357142857
Soil	Candida inconspicua	0.6889	1	0.9739	0.0261	0.803330357142857
Soil	Scheffersomyces spartinae	0.6893	1	0.9687	0.0313	0.803330357142857
Soil	Nakazawaea molendini-olei	0.6902	1	0.9681	0.0319	0.803330357142857
Soil	Candida savonica	0.6904	1	0.9711	0.0289	0.803330357142857
Soil	Metschnikowia sp.	0.6904	1	0.9747	0.0253	0.803330357142857
Twigs	Torulaspora delbrueckii	0.692	1	1.1304	-0.1304	0.803330357142857
Soil	Pichia sp.	0.6921	1	0.9731	0.0269	0.803330357142857
Leaves	Candida sake	0.6974	3	3.5431	-0.5431	0.804231078904992
Sand	Hanseniaspora uvarum	0.6976	1	1.1863	-0.1863	0.804231078904992
Soil	Lachancea kluyveri	0.6982	7	7.7183	-0.7183	0.804231078904992
Soil	Mrakiella aquatica	0.6983	1	0.9819	0.0181	0.804231078904992
Soil	Schwanniomyces vanrijiae	0.6985	1	0.9759	0.0241	0.804231078904992
Needles	Torulaspora delbrueckii	0.7016	1	1.1455	-0.1455	0.806501607717042
Leaves	Kluyveromyces lactis	0.7069	2	2.3679	-0.3679	0.810447916666667
Plant Matter	Candida railenensis	0.7073	1	1.1966	-0.1966	0.810447916666667
Leaves	Trichosporon porosum	0.7145	1	1.2046	-0.2046	0.817388
Bark	Cystofilobasidium capitatum	0.7194	12	13.4072	-1.4072	0.820434126984127
Soil	Lecythophora sp.	0.7217	2	2.2659	-0.2659	0.820434126984127
Plant Matter	Torulaspora delbrueckii	0.7218	3	3.6586	-0.6586	0.820434126984127
Bark	Mrakia blollopis	0.7226	2	2.3733	-0.3733	0.820434126984127
Fruit	Mrakia gelida	0.7229	3	3.6622	-0.6622	0.820434126984127
Bark	Rhodotorula fujisanensis	0.729	1	1.1749	-0.1749	0.826045958795563
Bark	Schwanniomyces polymorphus	0.7365	1	1.1962	-0.1962	0.830413385826772
Plant Matter	Candida sake	0.737	1	1.3131	-0.3131	0.830413385826772
Bark	Schwanniomyces pseudopolymorphus	0.7374	1	1.1878	-0.1878	0.830413385826772
Fungus	Hanseniaspora vineae	0.7375	1	1.3021	-0.3021	0.830413385826772
Duff	Candida railenensis	0.7509	1	1.3582	-0.3582	0.844172169811321
Fungus	Saccharomyces paradoxus	0.7564	2	2.6536	-0.6536	0.849020408163265
Bark	Trichosporon porosum	0.761	2	2.5783	-0.5783	0.852844827586207
Leaves	Teunomyces cretensis/kruisii complex	0.764	1	1.3688	-0.3688	0.854866979655712
Soil	Teunomyces cretensis/kruisii complex	0.7664	4	4.8338	-0.8338	0.856103744149766
Sand	Cystofilobasidium capitatum	0.7675	1	1.4207	-0.4207	0.856103744149766
Fruit	Lachancea thermotolerans	0.77	2	2.7219	-0.7219	0.857554517133956
Duff	Candida sake	0.7766	1	1.4573	-0.4573	0.863483128834356
Fruit	Candida sake	0.7785	2	2.777	-0.777	0.863483128834356
Bark	Saccharomyces paradoxus	0.781	7	8.5199	-1.5199	0.863483128834356
Fungus	Lachancea kluyveri	0.7829	1	1.4857	-0.4857	0.863483128834356
Leaves	Nakazawaea holstii	0.7851	1	1.4547	-0.4547	0.863483128834356
Leaves	Wickerhamomyces anomalus	0.7856	1	1.4765	-0.4765	0.863483128834356
Soil	Candida albicans	0.786	1	1.2803	-0.2803	0.863483128834356
Duff	Torulaspora delbrueckii	0.787	3	4.0819	-1.0819	0.863483128834356
Bark	Candida pseudolambica	0.7873	1	1.3875	-0.3875	0.863483128834356
Bark	Vanrija humicola	0.7874	1	1.3764	-0.3764	0.863483128834356
Soil	Pichia membranifaciens	0.7887	2	2.5907	-0.5907	0.863584226646248
Soil	Lachancea thermotolerans/quebecensis	0.7912	1	1.29	-0.29	0.864996941896024
Bark	Lecythophora sp.	0.7948	1	1.3889	-0.3889	0.865726788432268
Bark	Lachancea thermotolerans	0.7953	6	7.5277	-1.5277	0.865726788432268
Soil	Schizosaccharomyces japonicus	0.7955	1	1.2954	-0.2954	0.865726788432268
Soil	Pichia manshurica	0.7997	3	3.8669	-0.8669	0.868974924012158
Leaves	Kluyveromyces dobzhanskii	0.8049	1	1.5571	-0.5571	0.87329817905918
Sand	Mrakia sp.	0.8117	1	1.6169	-0.6169	0.878444024205749
Soil	Wickerhamomyces anomalus	0.8121	4	5.1652	-1.1652	0.878444024205749
Duff	Saccharomyces paradoxus	0.8137	1	1.6003	-0.6003	0.878845166163142
Fungus	Kluyveromyces lactis	0.8152	1	1.613	-0.613	0.879137254901961
Bark	Mrakia gelida	0.8258	8	10.1587	-2.1587	0.889227409638554
