4t10t22t30
0t0.840764331210191t0.932960893854749t0.951048951048951
0.840764331210191t0t0.624413145539906t0.752475247524752
0.932960893854749t0.624413145539906t0t0.633507853403141
0.951048951048951t0.752475247524752t0.633507853403141t0
