Yeast_sp	Plant_genus	pval	Observed	Expected	Difference	BH_Padj
Cryptococcus victoriae	Rubus	0.1124	1	0.1186	0.8814	0.2220996996997
Rhodotorula nothofagi	Rhamnus	0.1156	1	0.1215	0.8785	0.227738922155689
Wickerhamomyces anomalus	Morus	0.116	1	0.122	0.878	0.227844776119403
Candida sake	Abies	0.1164	1	0.1213	0.8787	0.22795
Cryptococcus gastricus	Acer	0.1183	2	0.6235	1.3765	0.230983382789318
Pichia membranifaciens	Ilex	0.1188	1	0.1237	0.8763	0.231273372781065
Pichia membranifaciens	Pyrus	0.1198	1	0.1258	0.8742	0.23253215339233
Meyerozyma caribbica	Ulmus	0.1206	1	0.1275	0.8725	0.232801169590643
Mrakia gelida	Syringa	0.1207	1	0.1267	0.8733	0.232801169590643
Candida sp.	Carya	0.121	1	0.1263	0.8737	0.232801169590643
Cryptococcus sp.	Fraxinus	0.1237	1	0.1308	0.8692	0.236689275362319
Candida santamariae	Thuja	0.1241	1	0.1309	0.8691	0.236689275362319
Metschnikowia pulcherrima sp. complex	Fraxinus	0.1241	2	0.617	1.383	0.236689275362319
Tausonia pullulans	Acer	0.1251	2	0.6353	1.3647	0.237632
Candida germanica	Malus	0.1257	1	0.1306	0.8694	0.237632
Tausonia pullulans	Thuja	0.1262	1	0.1336	0.8664	0.237632
Cryptococcus sp.	Tsuga	0.1264	1	0.1327	0.8673	0.237632
Wickerhamomyces anomalus	Ilex	0.1264	1	0.1337	0.8663	0.237632
Meyerozyma caribbica	Fraxinus	0.1288	1	0.1365	0.8635	0.241454131054131
Cryptococcus sp.	Ilex	0.1292	1	0.1356	0.8644	0.241515909090909
Suhomyces atakaporum	Fagus	0.1297	1	0.1297	0.8703	0.241763739376771
Curvibasidium cygneicollum	Equisetum	0.1314	1	0.1392	0.8608	0.243165921787709
Hanseniaspora sp.	Malus	0.1316	1	0.1383	0.8617	0.243165921787709
Aureobasidium pullulans	Rhododendron	0.1319	1	0.1384	0.8616	0.243165921787709
Cyberlindnera culbertsonii	Fagus	0.1323	1	0.1323	0.8677	0.243165921787709
Wickerhamomyces anomalus	Betula	0.1323	2	0.6497	1.3503	0.243165921787709
Candida sake	Festuca	0.1331	1	0.1428	0.8572	0.243954874651811
Nakazawaea molendini-olei	Malus	0.1347	1	0.1413	0.8587	0.24606648199446
Lachancea lanzarotensis	Fagus	0.135	1	0.135	0.865	0.24606648199446
Sugiyamaella novakii	Fagus	0.1356	1	0.1356	0.8644	0.246477348066298
Pichia kudriavzevii	Rubus	0.1379	1	0.1448	0.8552	0.248359239130435
Lachancea quebecensis	Pinus	0.1381	1	0.1442	0.8558	0.248359239130435
Torulaspora delbrueckii	Zea	0.1381	1	0.1424	0.8576	0.248359239130435
Scheffersomyces stipitis	Fagus	0.1388	1	0.1388	0.8612	0.248359239130435
Ambrosiozyma oregonensis	Fagus	0.1389	1	0.1389	0.8611	0.248359239130435
Hanseniaspora uvarum	Pyrus	0.1389	2	0.668	1.332	0.248359239130435
Sugiyamaella paludigena	Fagus	0.1395	1	0.1395	0.8605	0.248756097560976
Cystofilobasidium capitatum	Tilia	0.1419	1	0.1484	0.8516	0.252351891891892
Cryptococcus flavescens	Ilex	0.143	1	0.1542	0.8458	0.253294623655914
Blastobotrys buckinghamii	Fagus	0.1432	1	0.1432	0.8568	0.253294623655914
Candida montana	Fagus	0.145	1	0.145	0.855	0.255790884718499
Mrakia gelida	Alnus	0.1463	1	0.1549	0.8451	0.257394117647059
Leucosporidium scottii	Populus	0.1472	1	0.1582	0.8418	0.258286933333333
Kazachstania martiniae	Juniperus	0.1507	1	0.1611	0.8389	0.263025925925926
Suhomyces bolitotheri	Pyrus	0.1509	1	0.1598	0.8402	0.263025925925926
Rhodotorula nothofagii	Quercus	0.1511	1	0.1511	0.8489	0.263025925925926
Suhomyces tanzawaensis	Betula	0.1517	1	0.1586	0.8414	0.263373614775726
Pichia pastoris	Quercus	0.1525	1	0.1525	0.8475	0.263544502617801
Trichosporon xylopini	Quercus	0.1529	1	0.1529	0.8471	0.263544502617801
Fibulobasidium inconspicuum	Quercus	0.153	1	0.153	0.847	0.263544502617801
Candida tropicalis	Betula	0.1545	1	0.1621	0.8379	0.264052331606218
Thelebolus sp.	Quercus	0.1546	1	0.1546	0.8454	0.264052331606218
Saccharomyces paradoxus	Quercus	0.1547	7	4.5204	2.4796	0.264052331606218
Sugiyamaella lignohabitans	Quercus	0.1549	1	0.1549	0.8451	0.264052331606218
Candida subhashii	Quercus	0.1554	1	0.1554	0.8446	0.26422015503876
Vanrija albida	Quercus	0.1563	1	0.1563	0.8437	0.265065463917526
Candida silvanorum	Quercus	0.1576	1	0.1576	0.8424	0.266583033419023
Cryptococcus pseudolongus	Quercus	0.1586	1	0.1586	0.8414	0.267575447570333
Pichia scaptomyzae	Quercus	0.159	1	0.159	0.841	0.267575447570333
Diozsegia sp.	Quercus	0.1597	1	0.1597	0.8403	0.268055470737913
Rhodotorula nothofagi	Vaccinium	0.1601	1	0.1738	0.8262	0.268055470737913
Kluyveromyces marxianus	Populus	0.1621	1	0.1738	0.8262	0.270715228426396
Cryptococcus flavescens	Betula	0.1628	2	0.7308	1.2692	0.271195949367089
Mrakia sp.	Artomyces	0.1633	1	0.1735	0.8265	0.271341919191919
Geotrichum candidum	Malus	0.164	1	0.176	0.824	0.271818639798489
Mrakia sp.	Tilia	0.1649	1	0.1755	0.8245	0.272083
Cystofilobasidium capitatum	Ulmus	0.165	2	0.7283	1.2717	0.272083
Saccharomyces cerevisiae	Prunus	0.1654	1	0.1797	0.8203	0.272083
Hanseniaspora uvarum	Betula	0.1685	5	2.9819	2.0181	0.275967164179104
Aureobasidium pullulans	Carya	0.1686	1	0.1841	0.8159	0.275967164179104
Metschnikowia pulcherrima sp. complex	Taxus	0.1708	1	0.1826	0.8174	0.278874441687345
Rhodotorula nothofagi	Ulmus	0.1713	1	0.185	0.815	0.278998514851485
Lachancea nothofagi	Pinus	0.1736	1	0.1853	0.8147	0.282046419753086
Cystofilobasidium capitatum	Cornus	0.1763	1	0.1882	0.8118	0.285727586206897
Kazachstania servazzii	Quercus	0.1769	2	0.7759	1.2241	0.285995577395577
Nakazawaea holstii	Ilex	0.1787	1	0.1967	0.8033	0.288197549019608
Cystofilobasidium capitatum	Tulipa	0.1801	1	0.1931	0.8069	0.289359512195122
Cystofilobasidium capitatum	Syringa	0.1803	1	0.1941	0.8059	0.289359512195122
Cystofilobasidium capitatum	Pseudotsuga	0.1811	1	0.1947	0.8053	0.289936253041363
Yamadazyma mexicana	Pinus	0.1816	1	0.1935	0.8065	0.290031067961165
Saccharomyces cerevisiae	Rhododendron	0.1833	1	0.2002	0.7998	0.292037288135593
Hanseniaspora vineae	Pinus	0.187	2	0.7935	1.2065	0.297212560386473
Ogataea naganishii	Acer	0.1878	1	0.1988	0.8012	0.297681730769231
Lachancea thermotolerans	Amelanchier	0.1882	1	0.2051	0.7949	0.297681730769231
Saccharomyces paradoxus	Betula	0.1914	4	2.3116	1.6884	0.30201726618705
Wickerhamomyces hampshirensis	Acer	0.1941	1	0.2051	0.7949	0.305544976076555
Suhomyces xylopsoci/prunicola/pyralidae	Acer	0.195	1	0.2056	0.7944	0.306229116945107
Candida xestobii	Acer	0.1965	1	0.2077	0.7923	0.307066666666667
Saccharomyces cerevisiae	Quercus	0.1965	4	2.3461	1.6539	0.307066666666667
Candida sake	Equisetum	0.1974	1	0.2155	0.7845	0.307066666666667
Wickerhamomyces anomalus	Populus	0.1974	1	0.2169	0.7831	0.307066666666667
Trichosporon porosum	Populus	0.198	1	0.2161	0.7839	0.30727358490566
Candida railenensis	Betula	0.1989	4	2.3324	1.6676	0.307944
Suhomyces bolitotheri	Rubus	0.2001	1	0.2191	0.7809	0.309074647887324
Saccharomyces cerevisiae	Morus	0.2015	1	0.2218	0.7782	0.310508196721311
Debaryomyces hansenii	Populus	0.2023	1	0.2213	0.7787	0.31101261682243
Cryptococcus wisconsinensis	Acer	0.2042	1	0.2167	0.7833	0.313201864801865
Rhodotorula nothofagi	Carya	0.205	1	0.2249	0.7751	0.313697674418605
Cryptococcus flavescens	Rubus	0.2061	1	0.2252	0.7748	0.314649187935035
Kazachstania servazzii	Malus	0.2068	1	0.2251	0.7749	0.314987037037037
Leotiomycetes sp.	Malus	0.2075	1	0.2281	0.7719	0.315323325635104
Kluyveromyces lactis	Salix	0.209	1	0.2283	0.7717	0.316870967741935
Lachancea thermotolerans	Equisetum	0.2102	1	0.2313	0.7687	0.317957701149425
Metschnikowia pulcherrima sp. complex	Festuca	0.2136	1	0.2348	0.7652	0.322359633027523
Cystofilobasidium capitatum	Alnus	0.2171	1	0.2385	0.7615	0.326158636363636
Cyberlindnera veronae	Betula	0.2172	1	0.2355	0.7645	0.326158636363636
Aureobasidium pullulans	Thuja	0.218	1	0.2428	0.7572	0.326158636363636
Kazachstania kunashirensis	Betula	0.2181	1	0.2379	0.7621	0.326158636363636
Cystofilobasidium capitatum	Abies	0.2198	1	0.2434	0.7566	0.32751467268623
Saccharomyces cerevisiae	Carya	0.2202	1	0.2456	0.7544	0.32751467268623
Mrakia gelida	Juniperus	0.2205	1	0.2427	0.7573	0.32751467268623
Cryptococcus flavescens	Populus	0.2234	1	0.2484	0.7516	0.331074774774775
Mrakia sp.	Populus	0.23	3	1.6819	1.3181	0.339917488789238
Mrakia gelida	Amelanchier	0.2304	1	0.2563	0.7437	0.339917488789238
Kazachstania martiniae	Prunus	0.2312	1	0.2574	0.7426	0.340334675615213
Torulaspora delbrueckii	Ginkgo	0.2323	2	0.9247	1.0753	0.341190625
Cryptococcus gastricus	Malus	0.2346	1	0.2625	0.7375	0.343801336302895
Mrakia gelida	Quercus	0.2356	7	5.1192	1.8808	0.344499555555556
Leucosporidium scottii	Malus	0.2369	1	0.2656	0.7344	0.345632372505543
Candida santamariae	Quercus	0.2375	2	0.9288	1.0712	0.345704194260486
Torulaspora delbrueckii	Prunus	0.238	2	0.9289	1.0711	0.345704194260486
Lachancea kluyveri	Betula	0.2392	3	1.6963	1.3037	0.346681938325991
Lecythophora sp.	Quercus	0.2403	2	0.939	1.061	0.346709846827133
Lachancea kluyveri	Salix	0.2404	1	0.2729	0.7271	0.346709846827133
Hanseniaspora osmophila	Malus	0.2408	1	0.2688	0.7312	0.346709846827133
Lachancea kluyveri	Malus	0.2414	2	0.9375	1.0625	0.346814847161572
Rhodosporidiobolus colostri	Quercus	0.2422	2	0.9329	1.0671	0.347127114967462
Vanrija humicola	Quercus	0.2427	2	0.9462	1.0538	0.347127114967462
Metschnikowia pulcherrima sp. complex	Arctostaphylos	0.2432	1	0.2696	0.7304	0.347127114967462
Pichia fermentans	Malus	0.2438	1	0.2727	0.7273	0.347230303030303
Candida sp.	Fagus	0.2458	2	0.9578	1.0422	0.349322678185745
Lachancea thermotolerans	Ostrya	0.2469	1	0.2813	0.7187	0.35012974137931
Hanseniaspora vineae	Ilex	0.25	1	0.2862	0.7138	0.352339316239316
Kluyveromyces marxianus	Pinus	0.2501	1	0.2777	0.7223	0.352339316239316
Cryptococcus wisconsinensis	Fagus	0.2504	1	0.2679	0.7321	0.352339316239316
Cyberlindnera fabianii	Fagus	0.2506	1	0.2689	0.7311	0.352339316239316
Candida sake	Fagus	0.2517	5	3.4423	1.5577	0.353131343283582
Hanseniaspora osmophila	Pinus	0.2523	1	0.281	0.719	0.35322
Wickerhamomyces hampshirensis	Fagus	0.2532	1	0.2747	0.7253	0.353727388535032
Mrakia sp.	Abies	0.2591	1	0.2913	0.7087	0.361202966101695
Kodamaea meredithiae	Fagus	0.2606	1	0.2799	0.7201	0.362177637130802
Rhodotorula nothofagi	Fagus	0.2609	3	1.7968	1.2032	0.362177637130802
Mrakia sp.	Ailanthus	0.2615	1	0.2928	0.7072	0.362246315789474
Kazachstania martiniae	Pinus	0.2626	2	0.9916	1.0084	0.363005882352941
Aureobasidium pullulans	Populus	0.2656	1	0.3008	0.6992	0.36638322851153
Candida sp.	Malus	0.2692	1	0.3056	0.6944	0.370210855949896
Lachancea kluyveri	Ulmus	0.2695	1	0.3056	0.6944	0.370210855949896
Torulaspora delbrueckii	Salix	0.2703	2	1.0113	0.9887	0.37053625
Lachancea kluyveri	Morus	0.2756	1	0.3203	0.6797	0.376234024896266
Metschnikowia pulcherrima sp. complex	Malus	0.2756	3	1.8234	1.1766	0.376234024896266
Hanseniaspora uvarum	Equisetum	0.2795	1	0.3186	0.6814	0.380768115942029
Mrakiella aquatica	Acer	0.2813	1	0.3108	0.6892	0.382428512396694
Candida norvegica	Acer	0.2841	1	0.3153	0.6847	0.383899797979798
Pichia sp.	Quercus	0.2845	1	0.3074	0.6926	0.383899797979798
Schizosaccharomyces japonicus	Quercus	0.2847	1	0.3087	0.6913	0.383899797979798
Mrakia blollopis	Acer	0.2857	2	1.0502	0.9498	0.383899797979798
Saccharomyces eubayanus	Pinus	0.2867	1	0.3322	0.6678	0.383899797979798
Candida sp.	Pinus	0.2868	1	0.3298	0.6702	0.383899797979798
Lachancea thermotolerans/quebecensis	Quercus	0.288	1	0.3104	0.6896	0.383899797979798
Piskurozyma taiwanensis	Quercus	0.2882	1	0.3134	0.6866	0.383899797979798
Scheffersomyces shehatae	Betula	0.2885	1	0.3252	0.6748	0.383899797979798
Scheffersomyces ergatensis	Pinus	0.2888	1	0.3313	0.6687	0.383899797979798
Teunomyces cretensis/kruisii complex	Pinus	0.2888	1	0.3328	0.6672	0.383899797979798
Mrakia gelida	Ostrya	0.2903	1	0.3368	0.6632	0.385115725806452
Metschnikowia pulcherrima sp. complex	Equisetum	0.2948	1	0.3391	0.6609	0.390298591549296
Kluyveromyces dobzhanskii	Fagus	0.2956	3	1.9149	1.0851	0.390571887550201
Cystofilobasidium capitatum	Acer	0.2988	7	5.4475	1.5525	0.394008817635271
Hanseniaspora uvarum	Rhamnus	0.2999	1	0.3493	0.6507	0.39414592445328
Debaryomyces hansenii	Fagus	0.3012	2	1.0966	0.9034	0.39414592445328
Trichosporon porosum	Fagus	0.3012	2	1.0888	0.9112	0.39414592445328
Candida sake	Ulmus	0.3013	1	0.3531	0.6469	0.39414592445328
Kazachstania martiniae	Ilex	0.304	1	0.3559	0.6441	0.396888888888889
Cryptococcus sp.	Malus	0.3055	1	0.3531	0.6469	0.398057425742574
Mrakia sp.	Amanita	0.3074	1	0.353	0.647	0.399741501976285
Lachancea thermotolerans	Vaccinium	0.3108	1	0.3625	0.6375	0.403365680473373
Cystofilobasidium capitatum	Thuja	0.3117	2	1.1289	0.8711	0.403737401574803
Torulaspora delbrueckii	Fraxinus	0.3225	2	1.1503	0.8497	0.416905697445973
Torulaspora delbrueckii	Morus	0.3307	2	1.1686	0.8314	0.426667843137255
Cystofilobasidium capitatum	Juniperus	0.3337	1	0.3941	0.6059	0.429695890410959
Mrakia gelida	Prunus	0.337	1	0.4055	0.5945	0.43309765625
Saccharomyces paradoxus	Ulmus	0.3386	1	0.406	0.594	0.434305653021443
Candida sake	Quercus	0.3397	5	3.8526	1.1474	0.434868871595331
Pichia kluyveri	Betula	0.344	1	0.4032	0.5968	0.439518446601942
Lachancea thermotolerans	Morus	0.3462	1	0.4109	0.5891	0.441472093023256
Curvibasidium cygneicollum	Rubus	0.3524	1	0.4289	0.5711	0.447643243243243
Saccharomyces paradoxus	Acer	0.3524	4	3.0252	0.9748	0.447643243243243
Metschnikowia pulcherrima sp. complex	Picea	0.3538	1	0.4257	0.5743	0.447693076923077
Yamadazyma mexicana	Acer	0.3538	1	0.4164	0.5836	0.447693076923077
Kazachstania serrabonitensis	Acer	0.3579	1	0.4179	0.5821	0.451776245210728
Lachancea quebecensis	Fagus	0.3584	1	0.4115	0.5885	0.451776245210728
Meyerozyma caribbica	Fagus	0.3593	2	1.2342	0.7658	0.451809923664122
Candida pseudolambica	Acer	0.3598	1	0.4205	0.5795	0.451809923664122
Candida germanica	Fagus	0.3638	1	0.4182	0.5818	0.455471102661597
Cystofilobasidium capitatum	Rubus	0.3641	2	1.2608	0.7392	0.455471102661597
Lachancea thermotolerans	Carya	0.3668	1	0.4488	0.5512	0.457977988614801
Cystofilobasidium infirmominatum	Acer	0.3691	1	0.4292	0.5708	0.459976893939394
Saccharomyces paradoxus	Fagus	0.3731	5	3.9936	1.0064	0.464082797731569
Mrakia blollopis	Pinus	0.375	1	0.4579	0.5421	0.465566037735849
Mrakia sp.	Juniperus	0.3803	1	0.458	0.542	0.471236842105263
Cyberlindnera saturnus	Pinus	0.381	1	0.4662	0.5338	0.471236842105263
Candida railenensis	Carya	0.3825	1	0.4736	0.5264	0.472204502814259
Torulaspora delbrueckii	Ilex	0.3856	2	1.3078	0.6922	0.475140074906367
Torulaspora delbrueckii	Carya	0.3872	2	1.3178	0.6822	0.476219813084112
Wickerhamomyces onychis	Quercus	0.3902	1	0.4557	0.5443	0.479014179104478
Saccharomyces paradoxus	Tsuga	0.3917	1	0.4858	0.5142	0.479960148975791
Mrakia sp.	Thuja	0.394	2	1.3536	0.6464	0.481881040892193
Hanseniaspora uvarum	Vaccinium	0.3959	1	0.4961	0.5039	0.482573357664234
Cyberlindnera veronae	Quercus	0.397	1	0.4678	0.5322	0.482573357664234
Nakazawaea molendini-olei	Quercus	0.3973	1	0.4675	0.5325	0.482573357664234
Mrakia gelida	Morus	0.3984	1	0.4973	0.5027	0.482573357664234
Saccharomyces paradoxus	Ilex	0.3984	1	0.4962	0.5038	0.482573357664234
Kluyveromyces lactis	Betula	0.3991	2	1.3591	0.6409	0.482573357664234
Candida santamariae	Betula	0.3998	1	0.4884	0.5116	0.482573357664234
Rhodotorula mucilaginosa	Quercus	0.4006	1	0.4672	0.5328	0.482573357664234
Mrakia gelida	Fraxinus	0.4018	1	0.5057	0.4943	0.482573357664234
Candida albicans	Quercus	0.4019	1	0.4733	0.5267	0.482573357664234
Candida railenensis	Pinus	0.4057	2	1.378	0.622	0.486248816029144
Mrakiella aquatica	Quercus	0.4111	1	0.4808	0.5192	0.491825090909091
Cystofilobasidium capitatum	Populus	0.413	2	1.3876	0.6124	0.492665579710145
Candida boleticola	Acer	0.4133	1	0.5074	0.4926	0.492665579710145
Kazachstania martiniae	Quercus	0.4195	4	3.2737	0.7263	0.498301621621622
Rhodotorula fujisanensis	Acer	0.42	1	0.5182	0.4818	0.498301621621622
Cystofilobasidium capitatum	Picea	0.4203	1	0.536	0.464	0.498301621621622
Metschnikowia pulcherrima sp. complex	Acer	0.4255	5	4.269	0.731	0.503559352517986
Hanseniaspora uvarum	Morus	0.4271	1	0.5443	0.4557	0.504545421903052
Metschnikowia pulcherrima sp. complex	Betula	0.4294	4	3.3255	0.6745	0.505800715563506
Hanseniaspora uvarum	Fraxinus	0.4297	1	0.5478	0.4522	0.505800715563506
Lachancea kluyveri	Populus	0.4387	1	0.5647	0.4353	0.5154725
Metschnikowia pulcherrima sp. complex	Ulmus	0.4395	1	0.5657	0.4343	0.515491978609626
Mrakia gelida	Pyrus	0.4466	1	0.5807	0.4193	0.522090973451327
Candida pseudolambica	Fagus	0.4476	1	0.5493	0.4507	0.522090973451327
Barnettozyma californica	Fagus	0.4481	1	0.548	0.452	0.522090973451327
Mrakia sp.	Rhamnus	0.4483	1	0.5813	0.4187	0.522090973451327
Kazachstania martiniae	Populus	0.4498	1	0.5926	0.4074	0.522912367491166
Candida sp.	Betula	0.4521	1	0.5656	0.4344	0.524659259259259
Scheffersomyces ergatensis	Betula	0.46	1	0.5868	0.4132	0.532887323943662
Candida railenensis	Thuja	0.4706	1	0.6208	0.3792	0.544208787346221
Metschnikowia pulcherrima sp. complex	Morus	0.4751	1	0.6199	0.3801	0.547718739054291
Rhodosporidiobolus colostri	Acer	0.4753	1	0.6169	0.3831	0.547718739054291
Mrakia blollopis	Quercus	0.477	2	1.5475	0.4525	0.548716783216783
Hanseniaspora osmophila	Acer	0.4835	1	0.6257	0.3743	0.555223385689354
Cystofilobasidium infirmominatum	Quercus	0.49	1	0.623	0.377	0.561707317073171
Kazachstania serrabonitensis	Quercus	0.4916	1	0.6269	0.3731	0.561751819757366
Candida pseudolambica	Quercus	0.4921	1	0.6191	0.3809	0.561751819757366
Cryptococcus sp.	Betula	0.4926	1	0.6523	0.3477	0.561751819757366
Mrakia frigida	Quercus	0.4946	1	0.6274	0.3726	0.563056747404844
Schwanniomyces polymorphus	Fagus	0.5244	1	0.6839	0.3161	0.595950259067357
Teunomyces cretensis/kruisii complex	Acer	0.5348	1	0.7216	0.2784	0.606721379310345
Metschnikowia pulcherrima sp. complex	Pyrus	0.5428	1	0.7504	0.2496	0.61473734939759
Cyberlindnera saturnus	Betula	0.5759	1	0.8185	0.1815	0.651103436426117
Torulaspora delbrueckii	Ostrya	0.5806	1	0.8091	0.1909	0.655291252144082
Candida santamariae	Fagus	0.5847	1	0.818	0.182	0.658224957264957
Tausonia pullulans	Fagus	0.5852	1	0.8169	0.1831	0.658224957264957
Wickerhamomyces anomalus	Acer	0.5879	1	0.8347	0.1653	0.660133447098976
Mrakia sp.	Ulmus	0.5893	1	0.8651	0.1349	0.660578194207836
Leucosporidium scottii	Fagus	0.5907	1	0.8257	0.1743	0.660904584040747
Cryptococcus sp.	Acer	0.5916	1	0.8395	0.1605	0.660904584040747
Torulaspora delbrueckii	Cercis	0.5946	1	0.8669	0.1331	0.663130169491525
Aureobasidium pullulans	Betula	0.6008	1	0.8828	0.1172	0.668208431703204
Mrakia gelida	Populus	0.6015	1	0.8921	0.1079	0.668208431703204
Metschnikowia pulcherrima sp. complex	Thuja	0.6022	1	0.8994	0.1006	0.668208431703204
Candida sake	Betula	0.6146	2	2.0261	-0.0261	0.680819528619529
Cystofilobasidium capitatum	Betula	0.6176	4	4.2088	-0.2088	0.682398993288591
Cystofilobasidium capitatum	Pyrus	0.6181	1	0.9212	0.0788	0.682398993288591
Kazachstania martiniae	Malus	0.6198	1	0.9349	0.0651	0.683129648241206
Rhodotorula nothofagi	Quercus	0.6277	2	2.0302	-0.0301999999999998	0.690679933110368
Metschnikowia pulcherrima sp. complex	Rubus	0.6305	1	0.9888	0.0112	0.692602671118531
Tausonia pullulans	Quercus	0.6369	1	0.9284	0.0716	0.698467
Nakazawaea holstii	Betula	0.6436	1	0.9708	0.0292	0.704485572139303
Hanseniaspora osmophila	Quercus	0.6456	1	0.9415	0.0585	0.704485572139303
Pichia membranifaciens	Fagus	0.6456	1	0.9647	0.0353	0.704485572139303
Saccharomyces eubayanus	Fagus	0.6495	1	0.9623	0.0377	0.707567880794702
Hanseniaspora uvarum	Populus	0.6517	1	1.006	-0.00600000000000001	0.708791074380165
Mrakia sp.	Ilex	0.6598	1	1.0532	-0.0531999999999999	0.716416501650165
Kazachstania martiniae	Acer	0.6628	2	2.1839	-0.1839	0.718488303130148
Mrakia sp.	Tsuga	0.6664	1	1.0572	-0.0571999999999999	0.721202631578947
Cyberlindnera saturnus	Acer	0.6738	1	1.0451	-0.0450999999999999	0.728013793103448
Metschnikowia pulcherrima sp. complex	Populus	0.6792	1	1.1123	-0.1123	0.732645245901639
Mrakia gelida	Acer	0.6817	3	3.4344	-0.4344	0.734138461538462
Candida sake	Malus	0.6855	1	1.1216	-0.1216	0.737024509803922
Scheffersomyces ergatensis	Quercus	0.6907	1	1.0828	-0.0828	0.741403915171289
Candida sp.	Quercus	0.6953	1	1.0891	-0.0891	0.744128455284553
Pichia membranifaciens	Quercus	0.6955	1	1.0969	-0.0969	0.744128455284553
Curvibasidium cygneicollum	Fagus	0.6999	2	2.3272	-0.3272	0.747155267423015
Kluyveromyces lactis	Fagus	0.7006	2	2.3389	-0.3389	0.747155267423015
Aureobasidium pullulans	Acer	0.7039	1	1.1403	-0.1403	0.749459870550162
Nakazawaea holstii	Acer	0.7316	1	1.2309	-0.2309	0.777694345718902
Lachancea thermotolerans	Pinus	0.7382	1	1.2716	-0.2716	0.782712721417069
Debaryomyces hansenii	Quercus	0.7387	1	1.2462	-0.2462	0.782712721417069
Candida railenensis	Malus	0.7443	1	1.3021	-0.3021	0.78737845659164
Torulaspora delbrueckii	Tsuga	0.7455	1	1.3097	-0.3097	0.78738202247191
Saccharomyces paradoxus	Malus	0.7474	1	1.3158	-0.3158	0.788123717948718
Saccharomyces paradoxus	Pinus	0.7555	1	1.3544	-0.3544	0.794750479233227
Candida sake	Acer	0.7561	2	2.6087	-0.6087	0.794750479233227
Lachancea fermentati	Acer	0.7617	1	1.3444	-0.3444	0.798086942675159
Torulaspora delbrueckii	Pyrus	0.7617	1	1.3768	-0.3768	0.798086942675159
Hanseniaspora uvarum	Fagus	0.7667	4	5.0512	-1.0512	0.802048648648649
Hanseniaspora vineae	Quercus	0.7786	2	2.6746	-0.6746	0.813204444444444
Torulaspora delbrueckii	Quercus	0.784	10	11.9799	-1.9799	0.817546751188589
Mrakia gelida	Malus	0.7866	1	1.4903	-0.4903	0.818960126582278
Lachancea kluyveri	Fagus	0.7984	2	2.8752	-0.8752	0.829932385466035
Mrakia gelida	Pinus	0.805	1	1.5592	-0.5592	0.835473186119874
Kazachstania martiniae	Fagus	0.812	2	2.8691	-0.8691	0.841411023622047
Hanseniaspora uvarum	Malus	0.8227	1	1.6717	-0.6717	0.851158176100629
Hanseniaspora uvarum	Pinus	0.8362	1	1.7308	-0.7308	0.863767032967033
Curvibasidium cygneicollum	Acer	0.8463	1	1.7581	-0.7581	0.872829780564263
Candida railenensis	Quercus	0.8523	3	4.4983	-1.4983	0.876990625
Mrakia gelida	Fagus	0.853	3	4.5257	-1.5257	0.876990625
Lachancea kluyveri	Quercus	0.8611	2	3.2673	-1.2673	0.88393728549142
Cystofilobasidium capitatum	Fagus	0.8678	5	7.141	-2.141	0.889427414330218
Nakazawaea holstii	Quercus	0.8722	1	1.8861	-0.8861	0.892546811819596
Mrakia sp.	Quercus	0.8795	7	9.6945	-2.6945	0.898619565217391
Torulaspora delbrueckii	Betula	0.8875	4	6.2235	-2.2235	0.905387596899225
Saccharomyces cerevisiae	Fagus	0.8908	1	2.0481	-1.0481	0.907347368421053
Cystofilobasidium capitatum	Malus	0.9156	1	2.3582	-1.3582	0.931166615146832
Hanseniaspora vineae	Fagus	0.919	1	2.3273	-1.3273	0.933182098765432
Cystofilobasidium capitatum	Pinus	0.9272	1	2.4578	-1.4578	0.940057935285054
Mrakia sp.	Malus	0.9428	1	2.8076	-1.8076	0.954403692307692
Lachancea thermotolerans	Acer	0.9501	1	2.8054	-1.8054	0.960316129032258
Candida railenensis	Acer	0.9609	1	3.0252	-2.0252	0.96974263803681
Torulaspora delbrueckii	Malus	0.9734	1	3.4705	-2.4705	0.980853292496171
Cystofilobasidium capitatum	Quercus	0.9753	4	8.1351	-4.1351	0.981265137614679
Torulaspora delbrueckii	Pinus	0.9788	1	3.5823	-2.5823	0.983283053435114
Lachancea thermotolerans	Fagus	0.9817	1	3.6629	-2.6629	0.984692987804878
Hanseniaspora uvarum	Acer	0.9856	1	3.8761	-2.8761	0.987100152207002
Hanseniaspora uvarum	Quercus	0.9988	1	5.7709	-4.7709	0.9988
