Yeast_sp	Plant_genus	pval	Observed	Expected	Difference	BH_Padj
Lecythophora sp.	Tortula	0.0119	1	0.0119	0.9881	0.099889156626506
Candida argentea	Vaccinium	0.012	1	0.012	0.988	0.099889156626506
Barnettozyma californica	Quercus	0.0122	3	0.6236	2.3764	0.099889156626506
Cyberlindnera saturnus	Carya	0.0123	2	0.1671	1.8329	0.099889156626506
Candida sorboxylosa	Ginkgo	0.0125	1	0.0125	0.9875	0.099889156626506
Pichia sporocuriosa	Ginkgo	0.0125	1	0.0125	0.9875	0.099889156626506
Ogataea polymorpha	Rhododendron	0.0126	1	0.0126	0.9874	0.099889156626506
Saccharomyces eubayanus	Cedrus	0.0126	1	0.0126	0.9874	0.099889156626506
Teunomyces cretensis/kruisii complex	Tortula	0.0129	1	0.0129	0.9871	0.100943181818182
Hanseniaspora vineae	Ostrya	0.0132	2	0.1742	1.8258	0.100943181818182
Rhodosporidiobolus colostri	Claytonia	0.0132	1	0.0132	0.9868	0.100943181818182
Kwoniella heavenensis	Amelanchier	0.0135	1	0.0135	0.9865	0.100943181818182
Talaromyces amestolkiae	Tsuga	0.0135	1	0.0135	0.9865	0.100943181818182
Mrakiella cryoconiti	Arctostaphylos	0.0138	1	0.0138	0.9862	0.100968965517241
Candida pseudolambica	Rhus	0.0141	1	0.0141	0.9859	0.100968965517241
Cystofilobasidium infirmominatum	Tulipa	0.0142	1	0.0143	0.9857	0.100968965517241
Rhodotorula glutinis	Ilex	0.0147	1	0.0147	0.9853	0.100968965517241
Cryptococcus victoriae	Monotropa	0.015	1	0.015	0.985	0.100968965517241
Candida glabrata	Carya	0.0153	1	0.0153	0.9847	0.100968965517241
Kazachstania aerobia	Fraxinus	0.0153	1	0.0153	0.9847	0.100968965517241
Mrakia psychrophila	Ilex	0.0158	1	0.0158	0.9842	0.100968965517241
Kwoniella shandongensis	Ailanthus	0.0159	1	0.016	0.984	0.100968965517241
Saccharomyces cerevisiae	Sumac	0.0159	1	0.0159	0.9841	0.100968965517241
Hanseniaspora vineae	Ginkgo	0.016	2	0.2014	1.7986	0.100968965517241
