State	StrainID	Species_Old	Genus_Old	Phylum	GPS	Lat	Long	Associated	General	Specific	Fruits	Fruit.Family	Fruit.Type	Rotting	Plant.Genus	Plant.Species	Common.Name	Other.Associations	Notes	Set	Morpho	SetID	IsoTemp	Specific.Location	Collected.By	X	X.1	Species	Subphylum	Genus	Region
Alaska	yHKS632	Mrakia sp.	Mrakia	Basidiomycota	60.691550, -151.289609	60.69155	-151.289609	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	From same bag as #210	#211	a	YHKS_#211	10	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS632	Mrakia sp.	Basidiomycota	Mrakia	Arctic
Alaska	yHKS638	Mrakia sp.	Mrakia	Basidiomycota	60.691550, -151.289609	60.69155	-151.289609	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	From same bag as #210	#211	b	YHKS_#211	10	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS638	Mrakia sp.	Basidiomycota	Mrakia	Arctic
Alaska	yHKB45	Candida sake	Candida	Ascomycota	60.4789127:-150.3230643	60.4789127	-150.3230643	Soil	Soil	Soil	NA	NA	NA	NA	Unknown	Unknown	Unknown	Moss	Uncultured	8G	a	YHKB_8G	22	Engineer Lake, AK	NA	TRUE	yHKB45	Candida sake	Saccharomycotina	Candida	Arctic
Alaska	yHKS634	Candida sake	Candida	Ascomycota	60.476499, -150.330873	60.476499	-150.330873	Soil	Soil	Soil	NA	NA	NA	NA	Unknown	Unknown	Unknown	Moss	NA	#202	b	YHKS_#202	10	Kenai Wildlife Reserve, Alaska (Engineer Lake)	Jacob Barnes	TRUE	yHKS634	Candida sake	Saccharomycotina	Candida	Arctic
Alaska	yHKS635	Mrakia gelida	Mrakia	Basidiomycota	60.691550, -151.289609	60.69155	-151.289609	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Alnus	Alnus sp.	Alder	NA	From same bag as #208	#207	a	YHKS_#207	10	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS635	Mrakia gelida	Basidiomycota	Mrakia	Arctic
Alaska	yHKS567	Candida sake	Candida	Ascomycota	60.476499, -150.330873	60.476499	-150.330873	Soil	Soil	Soil	NA	NA	NA	NA	Unknown	Unknown	Unknown	Moss	NA	#202	a	YHKS_#202	22	Kenai Wildlife Reserve, Alaska (Engineer Lake)	Jacob Barnes	TRUE	yHKS567	Candida sake	Saccharomycotina	Candida	Arctic
Alaska	yHKS629	Candida sake	Candida	Ascomycota	60.476499, -150.330873	60.476499	-150.330873	Soil	Soil	Soil	NA	NA	NA	NA	Unknown	Unknown	Unknown	Moss	NA	#202	a	YHKS_#202	10	Kenai Wildlife Reserve, Alaska (Engineer Lake)	Jacob Barnes	TRUE	yHKS629	Candida sake	Saccharomycotina	Candida	Arctic
Arkansas	yHKB305	Saccharomyces cerevisiae	Saccharomyces	Ascomycota	35.6745,-90.0998	35.6745	-90.0998	Soil	Soil	Soil	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	RT21	a	YHKB_RT21	30	Keiser, AR	Kelly Buh	TRUE	yHKB305	Saccharomyces cerevisiae	Saccharomycotina	Saccharomyces	South
Arkansas	yHKB310	Saccharomyces cerevisiae	Saccharomyces	Ascomycota	35.6745,-90.0998	35.6745	-90.0998	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	RT21	b	YHKB_RT21	30	Keiser, AR	Kelly Buh	TRUE	yHKB310	Saccharomyces cerevisiae	Saccharomycotina	Saccharomyces	South
California	yHQL442	Saccharomyces paradoxus	Saccharomyces	Ascomycota	37.626981,-119.635941	37.626981	-119.635941	Tree	Plant Matter	Needles	NA	NA	NA	NA	Pinus	Pinus lambertiana	Sugar Pine	Sarcodes sanguinea	Lichen	QL#20	a	YHQL_QL#20	10	Yosemite Nat'l Park, CA, 37°37'37.1332N X 119°38'9.3862W	Bill Vagt	TRUE	yHQL442	Saccharomyces paradoxus	Saccharomycotina	Saccharomyces	West
