State	StrainID	Species_Old	Genus_Old	Phylum	GPS	Lat	Long	Associated	General	Specific	Fruits	Fruit.Family	Fruit.Type	Rotting	Plant.Genus	Plant.Species	Common.Name	Other.Associations	Notes	Set	Morpho	SetID	IsoTemp	Specific.Location	Collected.By	X	X.1	Species	Subphylum	Genus	Region
California	yHQL441	Candida sake	Candida	Ascomycota	39.876949,-123.724678	39.876949	-123.724678	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Quercus	Quercus virginiana	Live Oak	NA	NA	QL#19	b	YHQL_QL#19	10	Rock creek campground, Standish-Hickey State Rec Area, CA 39°52'37.018N X 123°43'28.841W	Bill Vagt	TRUE	yHQL441	Candida sake	Saccharomycotina	Candida	West
California	yHQL418	Saccharomyces paradoxus	Saccharomyces	Ascomycota	39.467750, -123.156111	39.46775	-123.156111	Miscellaneous	Miscellaneous	Flotsam	NA	NA	NA	NA	NA	NA	NA	NA	Eel river flotsom, stuff caught on tree branch during spring runnoff	QL#27	a	YHQL_QL#27	22	Potter Valley, CA	Harry Iwatsuki	TRUE	yHQL418	Saccharomyces paradoxus	Saccharomycotina	Saccharomyces	West
California	yHQL417	Lachancea kluyveri	Lachancea	Ascomycota	39.467750, -123.156111	39.46775	-123.156111	Miscellaneous	Miscellaneous	Flotsam	NA	NA	NA	NA	NA	NA	NA	NA	Eel river flotsom, stuff caught on tree branch during spring runnoff	QL#27	b	YHQL_QL#27	30	Potter Valley, CA	Harry Iwatsuki	TRUE	yHQL417	Lachancea kluyveri	Saccharomycotina	Lachancea	West
California	yHQL321	Hanseniaspora vineae	Hanseniaspora	Ascomycota	37.626981,-119.635941	37.626981	-119.635941	Tree	Plant Matter	Needles	NA	NA	NA	NA	Pinus	Pinus lambertiana	Sugar Pine	Lichen	Lichen	QL#20	a	YHQL_QL#20	22	Yosemite Nat'l Park, CA, 37°37'37.1332N X 119°38'9.3862W	Bill Vagt	TRUE	yHQL321	Hanseniaspora vineae	Saccharomycotina	Hanseniaspora	West
California	yHQL447	Cystofilobasidium capitatum	Cystofilobasidium	Basidiomycota	37.457021,-119.643303	37.457021	-119.643303	Tree	Soil	Soil	NA	NA	NA	NA	Quercus	Quercus velutina	Black Oak	NA	NA	QL#21	d	YHQL_QL#21	10	Yosemite Nat'l Park, CA, 37°27'25.274N X 119°38'35.891W	Bill Vagt	TRUE	yHQL447	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	West
California	yHQL416	Torulaspora delbrueckii	Torulaspora	Ascomycota	39.467750, -123.156111	39.46775	-123.156111	Miscellaneous	Miscellaneous	Flotsam	NA	NA	NA	NA	NA	NA	NA	NA	Eel river flotsom, stuff caught on tree branch during spring runnoff	QL#27	a	YHQL_QL#27	30	Potter Valley, CA	Harry Iwatsuki	TRUE	yHQL416	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	West
California	yHQL496	Saccharomyces paradoxus	Saccharomyces	Ascomycota	37.626981,-119.635941	37.626981	-119.635941	Tree	Plant Matter	Needles	NA	NA	NA	NA	Pinus	Pinus lambertiana	Sugar Pine	Sarcodes sanguinea	Lichen	QL#20	c	YHQL_QL#20	10	Yosemite Nat'l Park, CA, 37°37'37.1332N X 119°38'9.3862W	Bill Vagt	TRUE	yHQL496	Saccharomyces paradoxus	Saccharomycotina	Saccharomyces	West
California	yHQL419	Lachancea thermotolerans	Lachancea	Ascomycota	39.467750, -123.156111	39.46775	-123.156111	Miscellaneous	Miscellaneous	Flotsam	NA	NA	NA	NA	NA	NA	NA	NA	Eel river flotsom, stuff caught on tree branch during spring runnoff	QL#27	b	YHQL_QL#27	22	Potter Valley, CA	Harry Iwatsuki	TRUE	yHQL419	Lachancea thermotolerans	Saccharomycotina	Lachancea	West
California	yHQL440	Candida sake	Candida	Ascomycota	39.876949,-123.724678	39.876949	-123.724678	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Quercus	Quercus virginiana	Live Oak	NA	NA	QL#19	b	YHQL_QL#19	10	Rock creek campground, Standish-Hickey State Rec Area, CA 39°52'37.018N X 123°43'28.841W	Bill Vagt	TRUE	yHQL440	Candida sake	Saccharomycotina	Candida	West
California	yHQL305	Metschnikowia pulcherrima	Metschnikowia	Ascomycota	39.876949,-123.724678	39.876949	-123.724678	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Quercus	Quercus virginiana	Live Oak	NA	NA	QL#19	a	YHQL_QL#19	30	Rock creek campground, Standish-Hickey State Rec Area, CA 39°52'37.018N X 123°43'28.841W	Bill Vagt	TRUE	yHQL305	Metschnikowia pulcherrima sp. complex	Saccharomycotina	Metschnikowia	West
Georgia	yHQL466	Torulaspora delbrueckii	Torulaspora	Ascomycota	33.947037, -83.360477	33.947037	-83.360477	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	bark from unidentified hardwood tree	KS#295	a	YHQL_KS#295	10	120 milburn ave, athens, GA, 30605	Zasadil	TRUE	yHQL466	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	Southeast
Georgia	yHKB5	Saccharomyces cerevisiae	Saccharomyces	Ascomycota	34.888:-84.436	34.888	-84.436	Soil	Soil/Plant Matter	Soil	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	Wildlife refuge	AK4A	a	YHKB_AK4A	30	Red Top Mountain State Park (Cantersville, GA)	Kurt and Anna (Quinn's friends)	TRUE	yHKB5	Saccharomyces cerevisiae	Saccharomycotina	Saccharomyces	Southeast
Georgia	yHKB7	Kazachstania martiniae	Kazachstania	Ascomycota	34.888:-84.436	34.888	-84.436	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	AK3A	a	YHKB_AK3A	30	Red Top Mountain State Park (Cantersville, VA)	Kurt and Anna (Quinn's friends)	TRUE	yHKB7	Kazachstania martiniae	Saccharomycotina	Kazachstania	Southeast
Georgia	yHKB2	Torulaspora delbrueckii	Torulaspora	Ascomycota	34.888:-84.436	34.888	-84.436	Soil	Soil/Plant Matter	Soil	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	Wildlife refuge	AK4A	a	YHKB_AK4A	22	Red Top Mountain State Park (Cantersville, GA)	Kurt and Anna (Quinn's friends)	TRUE	yHKB2	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	Southeast
Georgia	yHKB6	Cyberlindnera saturnus	Cyberlindnera	Ascomycota	34.888:-84.436	34.888	-84.436	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	AK1	b	YHKB_AK1	30	Red Top Mountain State Park (Cantersville, GA)	Kurt and Anna (Quinn's friends)	TRUE	yHKB6	Cyberlindnera saturnus	Saccharomycotina	Cyberlindnera	Southeast
Georgia	yHKB3	Kazachstania martiniae	Kazachstania	Ascomycota	34.888:-84.436	34.888	-84.436	Fungus	Fungus	Fungus	NA	NA	NA	NA	Unknown	Unknown	Unknown	Fungus	NA	AK3A	b	YHKB_AK3A	30	Red Top Mountain State Park (Cantersville, GA)	Kurt and Anna (Quinn's friends)	TRUE	yHKB3	Kazachstania martiniae	Saccharomycotina	Kazachstania	Southeast
Illinois	yHRVM264	Mrakia gelida	Mrakia	Basidiomycota	42.034808, -88.292849	42.034808	-88.292849	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	23D4-CS	d	YHRVM_23D4-CS	10	Elgin, IL	Goose Island CS	TRUE	yHRVM264	Mrakia gelida	Basidiomycota	Mrakia	Ohio Valley
Illinois	yHQL398	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Miscellaneous	Miscellaneous	Wood	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	submerged	AS#9	c	YHQL_AS#9	22	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL398	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	Ohio Valley
Illinois	yHRVM190	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.034808, -88.292849	42.034808	-88.292849	Tree	Plant Matter	Bark	NA	NA	NA	NA	Salix	Salix sp.	Weeping Willow	NA	NA	21D4-CS	c	YHRVM_21D4-CS	30	Elgin, IL	Goose Island CS	TRUE	yHRVM190	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	Ohio Valley
Illinois	yHQL510	Mrakia gelida	Mrakia	Basidiomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Plant Matter	Bark	NA	NA	NA	NA	Platanus	Platanus sp.	Sycamore	NA	sycamore	AS#13	a	YHQL_AS#13	10	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL510	Mrakia gelida	Basidiomycota	Mrakia	Ohio Valley
Illinois	yHQL358	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	AS#6	b	YHQL_AS#6	30	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL358	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	Ohio Valley
Illinois	yHRVM172	Cyberlindnera sp.	Cyberlindnera	Ascomycota	42.135106, -87.758928	42.135106	-87.758928	Plant	Soil	Soil	NA	NA	NA	NA	Rudbeckia	Rudbeckia hirta	Black-eyed-Susan	NA	NA	33D4-CS	a	YHRVM_33D4-CS	22	Glencoe, IL	Goose Island CS	TRUE	yHRVM172	Cyberlindnera saturnus	Saccharomycotina	Cyberlindnera	Ohio Valley
Illinois	yHQL512	Hanseniaspora uvarum	Hanseniaspora	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Soil	Soil	Soil	NA	NA	NA	NA	Prunus	Prunus sp.	Plum	NA	under wild plum	AS#16	a	YHQL_AS#16	10	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL512	Hanseniaspora uvarum	Saccharomycotina	Hanseniaspora	Ohio Valley
Illinois	yHQL507	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Miscellaneous	Miscellaneous	Wood	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	submerged	AS#9	a	YHQL_AS#9	10	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL507	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	Ohio Valley
Illinois	yHRVM177	Torulaspora delbrueckii	Torulaspora	Ascomycota	41.783079, -87.580511	41.783079	-87.580511	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	28D4-CS	c	YHRVM_28D4-CS	30	Jackson Park, IL	Goose Island CS	TRUE	yHRVM177	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	Ohio Valley
Illinois	yHRVM162	Torulaspora delbrueckii	Torulaspora	Ascomycota	41.542595, -87.682994	41.542595	-87.682994	Soil	Soil/Plant Matter	Duff	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	25D4-CS	b	YHRVM_25D4-CS	30	Flossmoor, IL	Goose Island CS	TRUE	yHRVM162	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	Ohio Valley
Illinois	yHQL390	Lachancea thermotolerans	Lachancea	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Miscellaneous	Miscellaneous	Wood	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	stump interior	AS#5	a	YHQL_AS#5	22	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL390	Lachancea thermotolerans	Saccharomycotina	Lachancea	Ohio Valley
Illinois	yHQL477	Mrakia gelida	Mrakia	Basidiomycota	41.5332N,-89.5136	41.5332	-89.5136	Tree	Moss	Moss	NA	NA	NA	NA	Morus	Morus alba	White Mulberry	Moss	mulberry tree	AS#1	e	YHQL_AS#1	10	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL477	Mrakia gelida	Basidiomycota	Mrakia	Ohio Valley
Illinois	yHQL483	Cyberlindnera sp.	Cyberlindnera	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	wetland	AS#7	a	YHQL_AS#7	10	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL483	Cyberlindnera saturnus	Saccharomycotina	Cyberlindnera	Ohio Valley
Illinois	yHQL479	Metschnikowia pulcherrima	Metschnikowia	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Plant Matter	Twigs	NA	NA	NA	NA	Morus	Morus alba	White Mulberry	NA	mulberry	AS#2	a	YHQL_AS#2	10	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL479	Metschnikowia pulcherrima sp. complex	Saccharomycotina	Metschnikowia	Ohio Valley
Illinois	yHQL486	Candida sake	Candida	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Miscellaneous	Miscellaneous	Wood	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	submerged	AS#9	b	YHQL_AS#9	10	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL486	Candida sake	Saccharomycotina	Candida	Ohio Valley
Illinois	yHRVM181	Kazachstania martiniae	Kazachstania	Ascomycota	41.814458, -88.070870	41.814458	-88.07087	Tree	Plant Matter	Fruit	Crabapple	Rosaceae	Pome	NA	Malus	Malus sp.	Crabapple	NA	NA	29D4-CS	a	YHRVM_29D4-CS	22	Lisle, IL ; Morten Arboretum	Goose Island CS	TRUE	yHRVM181	Kazachstania martiniae	Saccharomycotina	Kazachstania	Ohio Valley
Illinois	yHQL348	Hanseniaspora uvarum	Hanseniaspora	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Soil	Soil	Soil	NA	NA	NA	NA	Prunus	Prunus sp.	Plum	NA	under wild plum	AS#16	a	YHQL_AS#16	22	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL348	Hanseniaspora uvarum	Saccharomycotina	Hanseniaspora	Ohio Valley
Illinois	yHQL374	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Soil	Soil	Soil	NA	NA	NA	NA	Prunus	Prunus sp.	Plum	NA	under wild plum	AS#16	b	YHQL_AS#16	30	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL374	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	Ohio Valley
Illinois	yHQL355	Hanseniaspora uvarum	Hanseniaspora	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Soil	Soil	NA	NA	NA	NA	Morus	Morus alba	White Mulberry	NA	under mulberry	AS#3	b	YHQL_AS#3	30	Chadwick, Illinois	Angela Sheddan	TRUE	yHQL355	Hanseniaspora uvarum	Saccharomycotina	Hanseniaspora	Ohio Valley
Illinois	yHQL364	Lachancea kluyveri	Lachancea	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Soil	Soil	NA	NA	NA	NA	Morus	Morus alba	White Mulberry	NA	riverbank/under mulberry	AS#11	a	YHQL_AS#11	30	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL364	Lachancea kluyveri	Saccharomycotina	Lachancea	Ohio Valley
Illinois	yHRVM215	Cystofilobasidium capitatum	Cystofilobasidium	Basidiomycota	42.135106, -87.758928	42.135106	-87.758928	Plant	Plant Matter	Bulb	NA	NA	NA	NA	Tulipa	Tulipa sp.	Tulip	NA	NA	32D4-CS	b	YHRVM_32D4-CS	10	Glencoe, IL	Goose Island CS	TRUE	yHRVM215	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	Ohio Valley
Illinois	yHRVM199	Cystofilobasidium capitatum	Cystofilobasidium	Basidiomycota	42.135106, -87.758928	42.135106	-87.758928	Plant	Plant Matter	Bulb	NA	NA	NA	NA	Tulipa	Tulipa sp.	Tulip	NA	NA	32D4-CS	a	YHRVM_32D4-CS	10	Glencoe, IL	Goose Island CS	TRUE	yHRVM199	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	Ohio Valley
Illinois	yHQL366	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Soil	Soil	NA	NA	NA	NA	Morus	Morus alba	White Mulberry	NA	riverbank/under mulberry	AS#11	c	YHQL_AS#11	30	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL366	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	Ohio Valley
Illinois	yHRVM158	Torulaspora delbrueckii	Torulaspora	Ascomycota	41.542595, -87.682994	41.542595	-87.682994	Soil	Soil/Plant Matter	Duff	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	25D4-CS	a	YHRVM_25D4-CS	22	Flossmoor, IL	Goose Island CS	TRUE	yHRVM158	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	Ohio Valley
Illinois	yHRVM180	Lachancea kluyveri	Lachancea	Ascomycota	42.034808, -88.292849	42.034808	-88.292849	Tree	Plant Matter	Bark	NA	NA	NA	NA	Salix	Salix sp.	Weeping Willow	NA	NA	21D4-CS	b	YHRVM_21D4-CS	22	Elgin, IL	Goose Island CS	TRUE	yHRVM180	Lachancea kluyveri	Saccharomycotina	Lachancea	Ohio Valley
Illinois	yHRVM156	Hanseniaspora vineae	Hanseniaspora	Ascomycota	42.034808, -88.292849	42.034808	-88.292849	Tree	Plant Matter	Bark	NA	NA	NA	NA	Salix	Salix sp.	Weeping Willow	NA	NA	21D4-CS	a	YHRVM_21D4-CS	22	Elgin, IL	Goose Island CS	TRUE	yHRVM156	Hanseniaspora vineae	Saccharomycotina	Hanseniaspora	Ohio Valley
Illinois	yHKB382	Cystofilobasidium capitatum	Cystofilobasidium	Basidiomycota	41.8089,-88.0112	41.8089	-88.0112	Soil	Soil/Plant Matter	Duff	NA	NA	NA	NA	NA	NA	NA	NA	NA	DG2	a	YHKB_DG2	4	Downers Grove, IL	Kelly Buh	TRUE	yHKB382	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	Ohio Valley
Illinois	yHQL353	Lachancea thermotolerans	Lachancea	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Plant Matter	Twigs	NA	NA	NA	NA	Morus	Morus alba	White Mulberry	NA	mulberry	AS#2	b	YHQL_AS#2	30	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL353	Lachancea thermotolerans	Saccharomycotina	Lachancea	Ohio Valley
Illinois	yHRVM291	Torulaspora delbrueckii	Torulaspora	Ascomycota	41.542595, -87.682994	41.542595	-87.682994	Soil	Soil/Plant Matter	Duff	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	25D4-CS	a	YHRVM_25D4-CS	10	Flossmoor, IL	Goose Island CS	TRUE	yHRVM291	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	Ohio Valley
Illinois	yHQL485	Cyberlindnera sp.	Cyberlindnera	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	wetland	AS#8	a	YHQL_AS#8	10	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL485	Cyberlindnera saturnus	Saccharomycotina	Cyberlindnera	Ohio Valley
Illinois	yHRVM143	Torulaspora delbrueckii	Torulaspora	Ascomycota	41.783079, -87.580511	41.783079	-87.580511	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	28D4-CS	a	YHRVM_28D4-CS	30	Jackson Park, IL	Goose Island CS	TRUE	yHRVM143	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	Ohio Valley
Illinois	yHQL354	Hanseniaspora uvarum	Hanseniaspora	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Soil	Soil	NA	NA	NA	NA	Morus	Morus alba	White Mulberry	NA	under mulberry	AS#3	a	YHQL_AS#3	30	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL354	Hanseniaspora uvarum	Saccharomycotina	Hanseniaspora	Ohio Valley
Illinois	yHQL359	Cyberlindnera sp.	Cyberlindnera	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	wetland	AS#8	a	YHQL_AS#8	30	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL359	Cyberlindnera saturnus	Saccharomycotina	Cyberlindnera	Ohio Valley
Illinois	yHQL399	Cyberlindnera sp.	Cyberlindnera	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	duck pond	AS#15	a	YHQL_AS#15	22	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL399	Cyberlindnera saturnus	Saccharomycotina	Cyberlindnera	Ohio Valley
Illinois	yHRVM169	Hanseniaspora uvarum	Hanseniaspora	Ascomycota	42.135106, -87.758928	42.135106	-87.758928	Soil	Soil	Soil	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	31D4-CS	b	YHRVM_31D4-CS	22	Glencoe, IL	Goose Island CS	TRUE	yHRVM169	Hanseniaspora uvarum	Saccharomycotina	Hanseniaspora	Ohio Valley
Illinois	yHQL511	Cyberlindnera saturnus	Cyberlindnera	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	duck pond	AS#15	a	YHQL_AS#15	10	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL511	Cyberlindnera saturnus	Saccharomycotina	Cyberlindnera	Ohio Valley
Illinois	yHQL481	Hanseniaspora uvarum	Hanseniaspora	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Soil	Soil	NA	NA	NA	NA	Morus	Morus alba	White Mulberry	NA	under mulberry	AS#3	a	YHQL_AS#3	10	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL481	Hanseniaspora uvarum	Saccharomycotina	Hanseniaspora	Ohio Valley
Illinois	yHQL373	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Soil	Soil	Soil	NA	NA	NA	NA	Prunus	Prunus sp.	Plum	NA	under wild plum	AS#16	a	YHQL_AS#16	30	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL373	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	Ohio Valley
Illinois	yHQL346	Saccharomyces cerevisiae	Saccharomyces	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Soil	Soil	NA	NA	NA	NA	Morus	Morus alba	White Mulberry	NA	riverbank/under mulberry	AS#11	a	YHQL_AS#11	22	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL346	Saccharomyces cerevisiae	Saccharomycotina	Saccharomyces	Ohio Valley
Illinois	yHKB90	Hanseniaspora uvarum	Hanseniaspora	Ascomycota	41.795027:-88.021231	41.795027	-88.021231	Tree	Plant Matter	Bark	NA	NA	NA	Rotting	Unknown	Unknown	Unknown	NA	NA	DG5	b	YHKB_DG5	22	Downers Grove, IL (home backyard)	Kelly Buh	TRUE	yHKB90	Hanseniaspora uvarum	Saccharomycotina	Hanseniaspora	Ohio Valley
Illinois	yHQL489	Hanseniaspora uvarum	Hanseniaspora	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Soil	Soil	Soil	NA	NA	NA	NA	Prunus	Prunus sp.	Plum	NA	under wild plum	AS#16	b	YHQL_AS#16	10	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL489	Hanseniaspora uvarum	Saccharomycotina	Hanseniaspora	Ohio Valley
